V4_2,Data_Marking,CV,Time_codelist,Time,Geography_codelist,Geography,Contribution_codelist,Contribution,Contributor_codelist,Contributor,Gender_codelist,Gender,Industry_codelist,Industry,Provision_codelist,Provision
,..,,Year,2016,K02000001,,,2% to 3%,,Employee,,All,,"Agriculture, forestry and fishing",,Group self-invested personal pension
,..,,Year,2016,K02000001,,,3% to 4%,,Employee,,All,,"Agriculture, forestry and fishing",,Group self-invested personal pension
,..,,Year,2016,K02000001,,,4% to 5%,,Employee,,All,,"Agriculture, forestry and fishing",,Group self-invested personal pension
,..,,Year,2016,K02000001,,,5% to 6%,,Employee,,All,,"Agriculture, forestry and fishing",,Group self-invested personal pension
,..,,Year,2016,K02000001,,,6% to 7%,,Employee,,All,,"Agriculture, forestry and fishing",,Group self-invested personal pension
,..,,Year,2016,K02000001,,,7% and over,,Employee,,All,,"Agriculture, forestry and fishing",,Group self-invested personal pension
,x,25.0,Year,2016,K02000001,,,Zero,,Employee,,All,,Mining and quarrying,,All
8.0,,15.0,Year,2016,K02000001,,,Under 2%,,Employee,,All,,Mining and quarrying,,All
,x,24.0,Year,2016,K02000001,,,2% to 3%,,Employee,,All,,Mining and quarrying,,All
6.0,,18.0,Year,2016,K02000001,,,3% to 4%,,Employee,,All,,Mining and quarrying,,All
6.0,,19.0,Year,2016,K02000001,,,4% to 5%,,Employee,,All,,Mining and quarrying,,All
,x,21.0,Year,2016,K02000001,,,5% to 6%,,Employee,,All,,Mining and quarrying,,All
,x,27.0,Year,2016,K02000001,,,6% to 7%,,Employee,,All,,Mining and quarrying,,All
,x,21.0,Year,2016,K02000001,,,7% and over,,Employee,,All,,Mining and quarrying,,All
,-,0.0,Year,2016,K02000001,,,Zero,,Employee,,All,,Mining and quarrying,,Defined benefit
,x,62.0,Year,2016,K02000001,,,Under 2%,,Employee,,All,,Mining and quarrying,,Defined benefit
,x,,Year,2016,K02000001,,,2% to 3%,,Employee,,All,,Mining and quarrying,,Defined benefit
,x,34.0,Year,2016,K02000001,,,3% to 4%,,Employee,,All,,Mining and quarrying,,Defined benefit
,-,0.0,Year,2016,K02000001,,,4% to 5%,,Employee,,All,,Mining and quarrying,,Defined benefit
,x,,Year,2016,K02000001,,,5% to 6%,,Employee,,All,,Mining and quarrying,,Defined benefit
,x,43.0,Year,2016,K02000001,,,6% to 7%,,Employee,,All,,Mining and quarrying,,Defined benefit
,x,43.0,Year,2016,K02000001,,,7% and over,,Employee,,All,,Mining and quarrying,,Defined benefit
,x,33.0,Year,2016,K02000001,,,Zero,,Employee,,All,,Mining and quarrying,,Defined contribution
,x,24.0,Year,2016,K02000001,,,Under 2%,,Employee,,All,,Mining and quarrying,,Defined contribution
,x,54.0,Year,2016,K02000001,,,2% to 3%,,Employee,,All,,Mining and quarrying,,Defined contribution
,x,23.0,Year,2016,K02000001,,,3% to 4%,,Employee,,All,,Mining and quarrying,,Defined contribution
,x,24.0,Year,2016,K02000001,,,4% to 5%,,Employee,,All,,Mining and quarrying,,Defined contribution
,x,28.0,Year,2016,K02000001,,,5% to 6%,,Employee,,All,,Mining and quarrying,,Defined contribution
,x,61.0,Year,2016,K02000001,,,6% to 7%,,Employee,,All,,Mining and quarrying,,Defined contribution
,x,32.0,Year,2016,K02000001,,,7% and over,,Employee,,All,,Mining and quarrying,,Defined contribution
,x,38.0,Year,2016,K02000001,,,Zero,,Employee,,All,,Mining and quarrying,,Group personal pension
,x,27.0,Year,2016,K02000001,,,Under 2%,,Employee,,All,,Mining and quarrying,,Group personal pension
,x,53.0,Year,2016,K02000001,,,2% to 3%,,Employee,,All,,Mining and quarrying,,Group personal pension
,x,63.0,Year,2016,K02000001,,,3% to 4%,,Employee,,All,,Mining and quarrying,,Group personal pension
,x,37.0,Year,2016,K02000001,,,4% to 5%,,Employee,,All,,Mining and quarrying,,Group personal pension
,x,48.0,Year,2016,K02000001,,,5% to 6%,,Employee,,All,,Mining and quarrying,,Group personal pension
,x,52.0,Year,2016,K02000001,,,6% to 7%,,Employee,,All,,Mining and quarrying,,Group personal pension
,x,40.0,Year,2016,K02000001,,,7% and over,,Employee,,All,,Mining and quarrying,,Group personal pension
,-,0.0,Year,2016,K02000001,,,Zero,,Employee,,All,,Mining and quarrying,,Group stakeholder pension
,x,32.0,Year,2016,K02000001,,,Under 2%,,Employee,,All,,Mining and quarrying,,Group stakeholder pension
,x,32.0,Year,2016,K02000001,,,2% to 3%,,Employee,,All,,Mining and quarrying,,Group stakeholder pension
,x,64.0,Year,2016,K02000001,,,3% to 4%,,Employee,,All,,Mining and quarrying,,Group stakeholder pension
,x,47.0,Year,2016,K02000001,,,4% to 5%,,Employee,,All,,Mining and quarrying,,Group stakeholder pension
,x,47.0,Year,2016,K02000001,,,5% to 6%,,Employee,,All,,Mining and quarrying,,Group stakeholder pension
,x,75.0,Year,2016,K02000001,,,6% to 7%,,Employee,,All,,Mining and quarrying,,Group stakeholder pension
,x,,Year,2016,K02000001,,,7% and over,,Employee,,All,,Mining and quarrying,,Group stakeholder pension
,:,,Year,2016,K02000001,,,Zero,,Employee,,All,,Mining and quarrying,,Group self-invested personal pension
,:,,Year,2016,K02000001,,,Under 2%,,Employee,,All,,Mining and quarrying,,Group self-invested personal pension
,:,,Year,2016,K02000001,,,2% to 3%,,Employee,,All,,Mining and quarrying,,Group self-invested personal pension
,:,,Year,2016,K02000001,,,3% to 4%,,Employee,,All,,Mining and quarrying,,Group self-invested personal pension
,:,,Year,2016,K02000001,,,4% to 5%,,Employee,,All,,Mining and quarrying,,Group self-invested personal pension
,:,,Year,2016,K02000001,,,5% to 6%,,Employee,,All,,Mining and quarrying,,Group self-invested personal pension
,:,,Year,2016,K02000001,,,6% to 7%,,Employee,,All,,Mining and quarrying,,Group self-invested personal pension
,:,,Year,2016,K02000001,,,7% and over,,Employee,,All,,Mining and quarrying,,Group self-invested personal pension
93.0,,4.5,Year,2016,K02000001,,,Zero,,Employee,,All,,Manufacturing,,All
599.0,,1.7,Year,2016,K02000001,,,Under 2%,,Employee,,All,,Manufacturing,,All
196.0,,3.1,Year,2016,K02000001,,,2% to 3%,,Employee,,All,,Manufacturing,,All
209.0,,3.0,Year,2016,K02000001,,,3% to 4%,,Employee,,All,,Manufacturing,,All
204.0,,3.1,Year,2016,K02000001,,,4% to 5%,,Employee,,All,,Manufacturing,,All
162.0,,3.4,Year,2016,K02000001,,,5% to 6%,,Employee,,All,,Manufacturing,,All
97.0,,4.4,Year,2016,K02000001,,,6% to 7%,,Employee,,All,,Manufacturing,,All
243.0,,2.8,Year,2016,K02000001,,,7% and over,,Employee,,All,,Manufacturing,,All
18.0,,11.0,Year,2016,K02000001,,,Zero,,Employee,,All,,Manufacturing,,Defined benefit
35.0,,7.1,Year,2016,K02000001,,,Under 2%,,Employee,,All,,Manufacturing,,Defined benefit
14.0,,12.0,Year,2016,K02000001,,,2% to 3%,,Employee,,All,,Manufacturing,,Defined benefit
24.0,,8.9,Year,2016,K02000001,,,3% to 4%,,Employee,,All,,Manufacturing,,Defined benefit
44.0,,6.7,Year,2016,K02000001,,,4% to 5%,,Employee,,All,,Manufacturing,,Defined benefit
57.0,,5.6,Year,2016,K02000001,,,5% to 6%,,Employee,,All,,Manufacturing,,Defined benefit
36.0,,7.1,Year,2016,K02000001,,,6% to 7%,,Employee,,All,,Manufacturing,,Defined benefit
126.0,,3.9,Year,2016,K02000001,,,7% and over,,Employee,,All,,Manufacturing,,Defined benefit
21.0,,9.4,Year,2016,K02000001,,,Zero,,Employee,,All,,Manufacturing,,Defined contribution
258.0,,2.6,Year,2016,K02000001,,,Under 2%,,Employee,,All,,Manufacturing,,Defined contribution
56.0,,5.8,Year,2016,K02000001,,,2% to 3%,,Employee,,All,,Manufacturing,,Defined contribution
72.0,,5.1,Year,2016,K02000001,,,3% to 4%,,Employee,,All,,Manufacturing,,Defined contribution
69.0,,5.3,Year,2016,K02000001,,,4% to 5%,,Employee,,All,,Manufacturing,,Defined contribution
49.0,,6.3,Year,2016,K02000001,,,5% to 6%,,Employee,,All,,Manufacturing,,Defined contribution
28.0,,8.3,Year,2016,K02000001,,,6% to 7%,,Employee,,All,,Manufacturing,,Defined contribution
44.0,,6.6,Year,2016,K02000001,,,7% and over,,Employee,,All,,Manufacturing,,Defined contribution
36.0,,7.4,Year,2016,K02000001,,,Zero,,Employee,,All,,Manufacturing,,Group personal pension
214.0,,2.9,Year,2016,K02000001,,,Under 2%,,Employee,,All,,Manufacturing,,Group personal pension
90.0,,4.5,Year,2016,K02000001,,,2% to 3%,,Employee,,All,,Manufacturing,,Group personal pension
81.0,,4.8,Year,2016,K02000001,,,3% to 4%,,Employee,,All,,Manufacturing,,Group personal pension
62.0,,5.6,Year,2016,K02000001,,,4% to 5%,,Employee,,All,,Manufacturing,,Group personal pension
39.0,,7.0,Year,2016,K02000001,,,5% to 6%,,Employee,,All,,Manufacturing,,Group personal pension
22.0,,9.4,Year,2016,K02000001,,,6% to 7%,,Employee,,All,,Manufacturing,,Group personal pension
49.0,,6.3,Year,2016,K02000001,,,7% and over,,Employee,,All,,Manufacturing,,Group personal pension
13.0,,12.0,Year,2016,K02000001,,,Zero,,Employee,,All,,Manufacturing,,Group stakeholder pension
61.0,,5.4,Year,2016,K02000001,,,Under 2%,,Employee,,All,,Manufacturing,,Group stakeholder pension
31.0,,7.8,Year,2016,K02000001,,,2% to 3%,,Employee,,All,,Manufacturing,,Group stakeholder pension
25.0,,8.7,Year,2016,K02000001,,,3% to 4%,,Employee,,All,,Manufacturing,,Group stakeholder pension
25.0,,8.7,Year,2016,K02000001,,,4% to 5%,,Employee,,All,,Manufacturing,,Group stakeholder pension
16.0,,11.0,Year,2016,K02000001,,,5% to 6%,,Employee,,All,,Manufacturing,,Group stakeholder pension
9.0,,15.0,Year,2016,K02000001,,,6% to 7%,,Employee,,All,,Manufacturing,,Group stakeholder pension
20.0,,10.0,Year,2016,K02000001,,,7% and over,,Employee,,All,,Manufacturing,,Group stakeholder pension
,x,32.0,Year,2016,K02000001,,,Zero,,Employee,,All,,Manufacturing,,Group self-invested personal pension
7.0,,16.0,Year,2016,K02000001,,,Under 2%,,Employee,,All,,Manufacturing,,Group self-invested personal pension
,x,31.0,Year,2016,K02000001,,,2% to 3%,,Employee,,All,,Manufacturing,,Group self-invested personal pension
,x,24.0,Year,2016,K02000001,,,3% to 4%,,Employee,,All,,Manufacturing,,Group self-invested personal pension
,x,31.0,Year,2016,K02000001,,,4% to 5%,,Employee,,All,,Manufacturing,,Group self-invested personal pension
,x,43.0,Year,2016,K02000001,,,5% to 6%,,Employee,,All,,Manufacturing,,Group self-invested personal pension
,x,61.0,Year,2016,K02000001,,,6% to 7%,,Employee,,All,,Manufacturing,,Group self-invested personal pension
,x,26.0,Year,2016,K02000001,,,7% and over,,Employee,,All,,Manufacturing,,Group self-invested personal pension
,x,21.0,Year,2016,K02000001,,,Zero,,Employee,,All,,"Electricity, gas, steam and air conditioning supply",,All
15.0,,10.0,Year,2016,K02000001,,,Under 2%,,Employee,,All,,"Electricity, gas, steam and air conditioning supply",,All
15.0,,11.0,Year,2016,K02000001,,,2% to 3%,,Employee,,All,,"Electricity, gas, steam and air conditioning supply",,All
14.0,,11.0,Year,2016,K02000001,,,3% to 4%,,Employee,,All,,"Electricity, gas, steam and air conditioning supply",,All
30.0,,8.0,Year,2016,K02000001,,,4% to 5%,,Employee,,All,,"Electricity, gas, steam and air conditioning supply",,All
39.0,,6.9,Year,2016,K02000001,,,5% to 6%,,Employee,,All,,"Electricity, gas, steam and air conditioning supply",,All
29.0,,8.1,Year,2016,K02000001,,,6% to 7%,,Employee,,All,,"Electricity, gas, steam and air conditioning supply",,All
13.0,,12.0,Year,2016,K02000001,,,7% and over,,Employee,,All,,"Electricity, gas, steam and air conditioning supply",,All
,x,38.0,Year,2016,K02000001,,,Zero,,Employee,,All,,"Electricity, gas, steam and air conditioning supply",,Defined benefit
,x,45.0,Year,2016,K02000001,,,Under 2%,,Employee,,All,,"Electricity, gas, steam and air conditioning supply",,Defined benefit
,x,25.0,Year,2016,K02000001,,,2% to 3%,,Employee,,All,,"Electricity, gas, steam and air conditioning supply",,Defined benefit
,x,25.0,Year,2016,K02000001,,,3% to 4%,,Employee,,All,,"Electricity, gas, steam and air conditioning supply",,Defined benefit
20.0,,9.8,Year,2016,K02000001,,,4% to 5%,,Employee,,All,,"Electricity, gas, steam and air conditioning supply",,Defined benefit
27.0,,8.3,Year,2016,K02000001,,,5% to 6%,,Employee,,All,,"Electricity, gas, steam and air conditioning supply",,Defined benefit
18.0,,10.0,Year,2016,K02000001,,,6% to 7%,,Employee,,All,,"Electricity, gas, steam and air conditioning supply",,Defined benefit
10.0,,14.0,Year,2016,K02000001,,,7% and over,,Employee,,All,,"Electricity, gas, steam and air conditioning supply",,Defined benefit
,x,38.0,Year,2016,K02000001,,,Zero,,Employee,,All,,"Electricity, gas, steam and air conditioning supply",,Defined contribution
13.0,,11.0,Year,2016,K02000001,,,Under 2%,,Employee,,All,,"Electricity, gas, steam and air conditioning supply",,Defined contribution
,x,23.0,Year,2016,K02000001,,,2% to 3%,,Employee,,All,,"Electricity, gas, steam and air conditioning supply",,Defined contribution
,x,22.0,Year,2016,K02000001,,,3% to 4%,,Employee,,All,,"Electricity, gas, steam and air conditioning supply",,Defined contribution
7.0,,16.0,Year,2016,K02000001,,,4% to 5%,,Employee,,All,,"Electricity, gas, steam and air conditioning supply",,Defined contribution
7.0,,17.0,Year,2016,K02000001,,,5% to 6%,,Employee,,All,,"Electricity, gas, steam and air conditioning supply",,Defined contribution
,x,22.0,Year,2016,K02000001,,,6% to 7%,,Employee,,All,,"Electricity, gas, steam and air conditioning supply",,Defined contribution
,x,53.0,Year,2016,K02000001,,,7% and over,,Employee,,All,,"Electricity, gas, steam and air conditioning supply",,Defined contribution
,x,34.0,Year,2016,K02000001,,,Zero,,Employee,,All,,"Electricity, gas, steam and air conditioning supply",,Group personal pension
,x,74.0,Year,2016,K02000001,,,Under 2%,,Employee,,All,,"Electricity, gas, steam and air conditioning supply",,Group personal pension
7.0,,16.0,Year,2016,K02000001,,,2% to 3%,,Employee,,All,,"Electricity, gas, steam and air conditioning supply",,Group personal pension
6.0,,16.0,Year,2016,K02000001,,,3% to 4%,,Employee,,All,,"Electricity, gas, steam and air conditioning supply",,Group personal pension
,x,29.0,Year,2016,K02000001,,,4% to 5%,,Employee,,All,,"Electricity, gas, steam and air conditioning supply",,Group personal pension
,x,22.0,Year,2016,K02000001,,,5% to 6%,,Employee,,All,,"Electricity, gas, steam and air conditioning supply",,Group personal pension
7.0,,16.0,Year,2016,K02000001,,,6% to 7%,,Employee,,All,,"Electricity, gas, steam and air conditioning supply",,Group personal pension
,x,33.0,Year,2016,K02000001,,,7% and over,,Employee,,All,,"Electricity, gas, steam and air conditioning supply",,Group personal pension
,x,,Year,2016,K02000001,,,Zero,,Employee,,All,,"Electricity, gas, steam and air conditioning supply",,Group stakeholder pension
,x,,Year,2016,K02000001,,,Under 2%,,Employee,,All,,"Electricity, gas, steam and air conditioning supply",,Group stakeholder pension
,x,37.0,Year,2016,K02000001,,,2% to 3%,,Employee,,All,,"Electricity, gas, steam and air conditioning supply",,Group stakeholder pension
,x,63.0,Year,2016,K02000001,,,3% to 4%,,Employee,,All,,"Electricity, gas, steam and air conditioning supply",,Group stakeholder pension
,x,63.0,Year,2016,K02000001,,,4% to 5%,,Employee,,All,,"Electricity, gas, steam and air conditioning supply",,Group stakeholder pension
,x,39.0,Year,2016,K02000001,,,5% to 6%,,Employee,,All,,"Electricity, gas, steam and air conditioning supply",,Group stakeholder pension
,x,,Year,2016,K02000001,,,6% to 7%,,Employee,,All,,"Electricity, gas, steam and air conditioning supply",,Group stakeholder pension
,-,0.0,Year,2016,K02000001,,,7% and over,,Employee,,All,,"Electricity, gas, steam and air conditioning supply",,Group stakeholder pension
,-,0.0,Year,2016,K02000001,,,Zero,,Employee,,All,,"Electricity, gas, steam and air conditioning supply",,Group self-invested personal pension
,-,0.0,Year,2016,K02000001,,,Under 2%,,Employee,,All,,"Electricity, gas, steam and air conditioning supply",,Group self-invested personal pension
,-,0.0,Year,2016,K02000001,,,2% to 3%,,Employee,,All,,"Electricity, gas, steam and air conditioning supply",,Group self-invested personal pension
,-,0.0,Year,2016,K02000001,,,3% to 4%,,Employee,,All,,"Electricity, gas, steam and air conditioning supply",,Group self-invested personal pension
,-,0.0,Year,2016,K02000001,,,4% to 5%,,Employee,,All,,"Electricity, gas, steam and air conditioning supply",,Group self-invested personal pension
,-,0.0,Year,2016,K02000001,,,5% to 6%,,Employee,,All,,"Electricity, gas, steam and air conditioning supply",,Group self-invested personal pension
,x,,Year,2016,K02000001,,,6% to 7%,,Employee,,All,,"Electricity, gas, steam and air conditioning supply",,Group self-invested personal pension
,x,75.0,Year,2016,K02000001,,,7% and over,,Employee,,All,,"Electricity, gas, steam and air conditioning supply",,Group self-invested personal pension
,x,29.0,Year,2016,K02000001,,,Zero,,Employee,,All,,"Water supply; sewerage, waste management and remediation activities",,All
38.0,,6.6,Year,2016,K02000001,,,Under 2%,,Employee,,All,,"Water supply; sewerage, waste management and remediation activities",,All
12.0,,12.0,Year,2016,K02000001,,,2% to 3%,,Employee,,All,,"Water supply; sewerage, waste management and remediation activities",,All
7.0,,17.0,Year,2016,K02000001,,,3% to 4%,,Employee,,All,,"Water supply; sewerage, waste management and remediation activities",,All
17.0,,11.0,Year,2016,K02000001,,,4% to 5%,,Employee,,All,,"Water supply; sewerage, waste management and remediation activities",,All
16.0,,11.0,Year,2016,K02000001,,,5% to 6%,,Employee,,All,,"Water supply; sewerage, waste management and remediation activities",,All
8.0,,15.0,Year,2016,K02000001,,,6% to 7%,,Employee,,All,,"Water supply; sewerage, waste management and remediation activities",,All
13.0,,12.0,Year,2016,K02000001,,,7% and over,,Employee,,All,,"Water supply; sewerage, waste management and remediation activities",,All
