V4_2,Standard Error,Unweighted Count,Time_codelist,Time,Geography_codelist,Geography,Measurement Type_codelist,Measurement Type,Crime Type_codelist,Crime Type,Age_codelist,Age,Sex_codelist,Sex
2.444675499,2.432999086,411,Quarter,2017 Q1,E12000003,,,Incidence rate,,Acquaintance violence,,75+,,All adults
0.0,0.0,145,Quarter,2017 Q1,E12000004,,,Incidence rate,,Acquaintance violence,,16-24,,Female
8.879384138999999,6.35417923,136,Quarter,2017 Q1,E12000006,,,Incidence rate,,Acquaintance violence,,16-24,,Female
15.64647812,5.103791931,1267,Quarter,2017 Q1,E92000001,,,Incidence rate,,Acquaintance violence,,16-24,,Female
5.681241324,5.671644493,173,Quarter,2017 Q1,E12000007,,,Incidence rate,,Acquaintance violence,,16-24,,Female
6.646103537,6.694639589,97,Quarter,2017 Q1,E12000001,,,Incidence rate,,Acquaintance violence,,16-24,,Female
0.0,0.0,142,Quarter,2017 Q1,E12000002,,,Incidence rate,,Acquaintance violence,,16-24,,Female
20.02515379,12.04028028,162,Quarter,2017 Q1,E12000008,,,Incidence rate,,Acquaintance violence,,16-24,,Female
12.21152984,12.26981096,124,Quarter,2017 Q1,E12000009,,,Incidence rate,,Acquaintance violence,,16-24,,Female
6.99336646,5.173897137,96,Quarter,2017 Q1,W92000004,,,Incidence rate,,Acquaintance violence,,16-24,,Female
54.17532677,33.10842189,148,Quarter,2017 Q1,E12000005,,,Incidence rate,,Acquaintance violence,,16-24,,Female
25.7947996,15.98509049,140,Quarter,2017 Q1,E12000003,,,Incidence rate,,Acquaintance violence,,16-24,,Female
3.053092569,1.408579078,1769,Quarter,2017 Q1,E12000004,,,Incidence rate,,Acquaintance violence,,16+,,Female
10.27953712,2.967682271,2250,Quarter,2017 Q1,E12000006,,,Incidence rate,,Acquaintance violence,,16+,,Female
8.346949745,1.271322933,17487,Quarter,2017 Q1,E92000001,,,Incidence rate,,Acquaintance violence,,16+,,Female
1.039857364,0.850268508,2152,Quarter,2017 Q1,E12000007,,,Incidence rate,,Acquaintance violence,,16+,,Female
13.16676477,8.693419929,1144,Quarter,2017 Q1,E12000001,,,Incidence rate,,Acquaintance violence,,16+,,Female
8.159486872999999,3.043193575,2260,Quarter,2017 Q1,E12000002,,,Incidence rate,,Acquaintance violence,,16+,,Female
11.93673394,4.026207643,2437,Quarter,2017 Q1,E12000008,,,Incidence rate,,Acquaintance violence,,16+,,Female
6.385396499,3.837283231,1992,Quarter,2017 Q1,E12000009,,,Incidence rate,,Acquaintance violence,,16+,,Female
13.56773122,4.903334584,1496,Quarter,2017 Q1,W92000004,,,Incidence rate,,Acquaintance violence,,16+,,Female
15.70231046,6.827174114,1694,Quarter,2017 Q1,E12000005,,,Incidence rate,,Acquaintance violence,,16+,,Female
8.690352118,2.629481884,1789,Quarter,2017 Q1,E12000003,,,Incidence rate,,Acquaintance violence,,16+,,Female
4.60385926,4.59277785,291,Quarter,2017 Q1,E12000004,,,Incidence rate,,Acquaintance violence,,25-34,,Female
3.542503483,2.486310007,374,Quarter,2017 Q1,E12000006,,,Incidence rate,,Acquaintance violence,,25-34,,Female
10.21472222,3.084716364,2840,Quarter,2017 Q1,E92000001,,,Incidence rate,,Acquaintance violence,,25-34,,Female
0.0,0.0,464,Quarter,2017 Q1,E12000007,,,Incidence rate,,Acquaintance violence,,25-34,,Female
4.654519908,4.657634595,190,Quarter,2017 Q1,E12000001,,,Incidence rate,,Acquaintance violence,,25-34,,Female
23.03938751,10.77591819,347,Quarter,2017 Q1,E12000002,,,Incidence rate,,Acquaintance violence,,25-34,,Female
12.88042147,6.446512575,343,Quarter,2017 Q1,E12000008,,,Incidence rate,,Acquaintance violence,,25-34,,Female
25.17988441,22.61532439,282,Quarter,2017 Q1,E12000009,,,Incidence rate,,Acquaintance violence,,25-34,,Female
0.0,0.0,204,Quarter,2017 Q1,W92000004,,,Incidence rate,,Acquaintance violence,,25-34,,Female
14.53937444,14.55109408,263,Quarter,2017 Q1,E12000005,,,Incidence rate,,Acquaintance violence,,25-34,,Female
8.553148111,5.034722558,286,Quarter,2017 Q1,E12000003,,,Incidence rate,,Acquaintance violence,,25-34,,Female
5.565043077,4.364137655,265,Quarter,2017 Q1,E12000004,,,Incidence rate,,Acquaintance violence,,35-44,,Female
15.08698602,7.88529221,383,Quarter,2017 Q1,E12000006,,,Incidence rate,,Acquaintance violence,,35-44,,Female
6.092313014,1.70948998,2925,Quarter,2017 Q1,E92000001,,,Incidence rate,,Acquaintance violence,,35-44,,Female
1.028932563,1.029484894,501,Quarter,2017 Q1,E12000007,,,Incidence rate,,Acquaintance violence,,35-44,,Female
0.0,0.0,157,Quarter,2017 Q1,E12000001,,,Incidence rate,,Acquaintance violence,,35-44,,Female
0.0,0.0,347,Quarter,2017 Q1,E12000002,,,Incidence rate,,Acquaintance violence,,35-44,,Female
14.80518928,7.213015529,408,Quarter,2017 Q1,E12000008,,,Incidence rate,,Acquaintance violence,,35-44,,Female
0.0,0.0,287,Quarter,2017 Q1,E12000009,,,Incidence rate,,Acquaintance violence,,35-44,,Female
23.0617161,18.969,203,Quarter,2017 Q1,W92000004,,,Incidence rate,,Acquaintance violence,,35-44,,Female
2.8495607310000004,2.860992098,279,Quarter,2017 Q1,E12000005,,,Incidence rate,,Acquaintance violence,,35-44,,Female
10.66440991,7.379041002,298,Quarter,2017 Q1,E12000003,,,Incidence rate,,Acquaintance violence,,35-44,,Female
1.222045184,1.224148927,314,Quarter,2017 Q1,E12000004,,,Incidence rate,,Acquaintance violence,,45-54,,Female
13.61301717,6.709588867999999,383,Quarter,2017 Q1,E12000006,,,Incidence rate,,Acquaintance violence,,45-54,,Female
14.13353844,4.441211029,3018,Quarter,2017 Q1,E92000001,,,Incidence rate,,Acquaintance violence,,45-54,,Female
0.0,0.0,377,Quarter,2017 Q1,E12000007,,,Incidence rate,,Acquaintance violence,,45-54,,Female
48.73079133,48.34239114,166,Quarter,2017 Q1,E12000001,,,Incidence rate,,Acquaintance violence,,45-54,,Female
24.67775279,14.5755283,389,Quarter,2017 Q1,E12000002,,,Incidence rate,,Acquaintance violence,,45-54,,Female
15.98175862,12.65870851,481,Quarter,2017 Q1,E12000008,,,Incidence rate,,Acquaintance violence,,45-54,,Female
6.1965387660000015,4.013733158,360,Quarter,2017 Q1,E12000009,,,Incidence rate,,Acquaintance violence,,45-54,,Female
23.11522367,17.45787104,246,Quarter,2017 Q1,W92000004,,,Incidence rate,,Acquaintance violence,,45-54,,Female
29.04314174,24.60425885,258,Quarter,2017 Q1,E12000005,,,Incidence rate,,Acquaintance violence,,45-54,,Female
9.674813626,5.941246266,290,Quarter,2017 Q1,E12000003,,,Incidence rate,,Acquaintance violence,,45-54,,Female
6.830701948,6.820888083,279,Quarter,2017 Q1,E12000004,,,Incidence rate,,Acquaintance violence,,55-64,,Female
25.74197945,14.62880463,352,Quarter,2017 Q1,E12000006,,,Incidence rate,,Acquaintance violence,,55-64,,Female
7.582521887,2.561873714,2677,Quarter,2017 Q1,E92000001,,,Incidence rate,,Acquaintance violence,,55-64,,Female
0.0,0.0,243,Quarter,2017 Q1,E12000007,,,Incidence rate,,Acquaintance violence,,55-64,,Female
25.36535382,25.27380966,181,Quarter,2017 Q1,E12000001,,,Incidence rate,,Acquaintance violence,,55-64,,Female
0.0,0.0,379,Quarter,2017 Q1,E12000002,,,Incidence rate,,Acquaintance violence,,55-64,,Female
13.44661704,6.376482893,395,Quarter,2017 Q1,E12000008,,,Incidence rate,,Acquaintance violence,,55-64,,Female
0.0,0.0,330,Quarter,2017 Q1,E12000009,,,Incidence rate,,Acquaintance violence,,55-64,,Female
32.90209072,17.26563786,267,Quarter,2017 Q1,W92000004,,,Incidence rate,,Acquaintance violence,,55-64,,Female
0.0,0.0,250,Quarter,2017 Q1,E12000005,,,Incidence rate,,Acquaintance violence,,55-64,,Female
2.225417327,2.214370033,268,Quarter,2017 Q1,E12000003,,,Incidence rate,,Acquaintance violence,,55-64,,Female
2.681720626,2.681546086,289,Quarter,2017 Q1,E12000004,,,Incidence rate,,Acquaintance violence,,65-74,,Female
0.0,0.0,346,Quarter,2017 Q1,E12000006,,,Incidence rate,,Acquaintance violence,,65-74,,Female
0.260714338,0.260719011,2620,Quarter,2017 Q1,E92000001,,,Incidence rate,,Acquaintance violence,,65-74,,Female
0.0,0.0,203,Quarter,2017 Q1,E12000007,,,Incidence rate,,Acquaintance violence,,65-74,,Female
0.0,0.0,183,Quarter,2017 Q1,E12000001,,,Incidence rate,,Acquaintance violence,,65-74,,Female
0.0,0.0,375,Quarter,2017 Q1,E12000002,,,Incidence rate,,Acquaintance violence,,65-74,,Female
0.0,0.0,352,Quarter,2017 Q1,E12000008,,,Incidence rate,,Acquaintance violence,,65-74,,Female
0.0,0.0,339,Quarter,2017 Q1,E12000009,,,Incidence rate,,Acquaintance violence,,65-74,,Female
3.146331083,3.1444037660000004,264,Quarter,2017 Q1,W92000004,,,Incidence rate,,Acquaintance violence,,65-74,,Female
0.0,0.0,273,Quarter,2017 Q1,E12000005,,,Incidence rate,,Acquaintance violence,,65-74,,Female
0.0,0.0,260,Quarter,2017 Q1,E12000003,,,Incidence rate,,Acquaintance violence,,65-74,,Female
0.0,0.0,186,Quarter,2017 Q1,E12000004,,,Incidence rate,,Acquaintance violence,,75+,,Female
0.0,0.0,276,Quarter,2017 Q1,E12000006,,,Incidence rate,,Acquaintance violence,,75+,,Female
0.739061139,0.535509798,2140,Quarter,2017 Q1,E92000001,,,Incidence rate,,Acquaintance violence,,75+,,Female
0.0,0.0,191,Quarter,2017 Q1,E12000007,,,Incidence rate,,Acquaintance violence,,75+,,Female
0.0,0.0,170,Quarter,2017 Q1,E12000001,,,Incidence rate,,Acquaintance violence,,75+,,Female
2.089118171,2.093430457,281,Quarter,2017 Q1,E12000002,,,Incidence rate,,Acquaintance violence,,75+,,Female
0.0,0.0,296,Quarter,2017 Q1,E12000008,,,Incidence rate,,Acquaintance violence,,75+,,Female
0.0,0.0,270,Quarter,2017 Q1,E12000009,,,Incidence rate,,Acquaintance violence,,75+,,Female
0.0,0.0,216,Quarter,2017 Q1,W92000004,,,Incidence rate,,Acquaintance violence,,75+,,Female
0.0,0.0,223,Quarter,2017 Q1,E12000005,,,Incidence rate,,Acquaintance violence,,75+,,Female
3.837424416,3.818414687,247,Quarter,2017 Q1,E12000003,,,Incidence rate,,Acquaintance violence,,75+,,Female
14.65753697,8.712097711,131,Quarter,2017 Q1,E12000004,,,Incidence rate,,Acquaintance violence,,16-24,,Male
22.32946267,22.09880979,121,Quarter,2017 Q1,E12000006,,,Incidence rate,,Acquaintance violence,,16-24,,Male
26.49506333,7.68204061,1151,Quarter,2017 Q1,E92000001,,,Incidence rate,,Acquaintance violence,,16-24,,Male
0.0,0.0,151,Quarter,2017 Q1,E12000007,,,Incidence rate,,Acquaintance violence,,16-24,,Male
56.15763302,39.67316839,73,Quarter,2017 Q1,E12000001,,,Incidence rate,,Acquaintance violence,,16-24,,Male
37.66534048,29.3034842,134,Quarter,2017 Q1,E12000002,,,Incidence rate,,Acquaintance violence,,16-24,,Male
43.00281396,26.32704675,167,Quarter,2017 Q1,E12000008,,,Incidence rate,,Acquaintance violence,,16-24,,Male
6.206544055,6.233737855,105,Quarter,2017 Q1,E12000009,,,Incidence rate,,Acquaintance violence,,16-24,,Male
89.85331778,53.34243725,74,Quarter,2017 Q1,W92000004,,,Incidence rate,,Acquaintance violence,,16-24,,Male
50.05922843,30.42069032,147,Quarter,2017 Q1,E12000005,,,Incidence rate,,Acquaintance violence,,16-24,,Male
13.76936864,10.81601838,122,Quarter,2017 Q1,E12000003,,,Incidence rate,,Acquaintance violence,,16-24,,Male
11.5078641,3.148698707,1458,Quarter,2017 Q1,E12000004,,,Incidence rate,,Acquaintance violence,,16+,,Male
20.24389407,6.049139846,1841,Quarter,2017 Q1,E12000006,,,Incidence rate,,Acquaintance violence,,16+,,Male
11.06988825,1.592931509,15255,Quarter,2017 Q1,E92000001,,,Incidence rate,,Acquaintance violence,,16+,,Male
1.377834455,0.7452974170000001,1987,Quarter,2017 Q1,E12000007,,,Incidence rate,,Acquaintance violence,,16+,,Male
13.87879306,6.5806901789999985,915,Quarter,2017 Q1,E12000001,,,Incidence rate,,Acquaintance violence,,16+,,Male
8.661981767999999,4.068370245,2018,Quarter,2017 Q1,E12000002,,,Incidence rate,,Acquaintance violence,,16+,,Male
14.65774351,4.989957662,2246,Quarter,2017 Q1,E12000008,,,Incidence rate,,Acquaintance violence,,16+,,Male
11.43170056,3.822783834,1777,Quarter,2017 Q1,E12000009,,,Incidence rate,,Acquaintance violence,,16+,,Male
17.73336303,7.555464258,1182,Quarter,2017 Q1,W92000004,,,Incidence rate,,Acquaintance violence,,16+,,Male
16.65372111,7.934775506,1538,Quarter,2017 Q1,E12000005,,,Incidence rate,,Acquaintance violence,,16+,,Male
5.570332082999999,2.78120542,1475,Quarter,2017 Q1,E12000003,,,Incidence rate,,Acquaintance violence,,16+,,Male
18.38614112,10.66211764,202,Quarter,2017 Q1,E12000004,,,Incidence rate,,Acquaintance violence,,25-34,,Male
12.41086661,10.86958107,253,Quarter,2017 Q1,E12000006,,,Incidence rate,,Acquaintance violence,,25-34,,Male
11.57814881,4.251265323,2118,Quarter,2017 Q1,E92000001,,,Incidence rate,,Acquaintance violence,,25-34,,Male
0.0,0.0,377,Quarter,2017 Q1,E12000007,,,Incidence rate,,Acquaintance violence,,25-34,,Male
0.0,0.0,116,Quarter,2017 Q1,E12000001,,,Incidence rate,,Acquaintance violence,,25-34,,Male
8.296368333,6.5102629610000005,269,Quarter,2017 Q1,E12000002,,,Incidence rate,,Acquaintance violence,,25-34,,Male
15.52050212,7.830941461,314,Quarter,2017 Q1,E12000008,,,Incidence rate,,Acquaintance violence,,25-34,,Male
5.276140357,3.915126099,199,Quarter,2017 Q1,E12000009,,,Incidence rate,,Acquaintance violence,,25-34,,Male
5.449297082999999,5.4118488970000005,147,Quarter,2017 Q1,W92000004,,,Incidence rate,,Acquaintance violence,,25-34,,Male
33.8128013,33.8371846,225,Quarter,2017 Q1,E12000005,,,Incidence rate,,Acquaintance violence,,25-34,,Male
17.55568474,15.39231374,163,Quarter,2017 Q1,E12000003,,,Incidence rate,,Acquaintance violence,,25-34,,Male
15.29541362,8.761010306000001,222,Quarter,2017 Q1,E12000004,,,Incidence rate,,Acquaintance violence,,35-44,,Male
47.35127903,22.92387151,335,Quarter,2017 Q1,E12000006,,,Incidence rate,,Acquaintance violence,,35-44,,Male
11.22817256,3.794138693,2524,Quarter,2017 Q1,E92000001,,,Incidence rate,,Acquaintance violence,,35-44,,Male
4.3595964480000005,3.2633236310000004,427,Quarter,2017 Q1,E12000007,,,Incidence rate,,Acquaintance violence,,35-44,,Male
5.781157871,5.776917125,135,Quarter,2017 Q1,E12000001,,,Incidence rate,,Acquaintance violence,,35-44,,Male
0.72645116,0.72743241,308,Quarter,2017 Q1,E12000002,,,Incidence rate,,Acquaintance violence,,35-44,,Male
19.30098554,14.31630655,386,Quarter,2017 Q1,E12000008,,,Incidence rate,,Acquaintance violence,,35-44,,Male
0.0,0.0,269,Quarter,2017 Q1,E12000009,,,Incidence rate,,Acquaintance violence,,35-44,,Male
15.70234292,15.4951193,164,Quarter,2017 Q1,W92000004,,,Incidence rate,,Acquaintance violence,,35-44,,Male
0.0,0.0,227,Quarter,2017 Q1,E12000005,,,Incidence rate,,Acquaintance violence,,35-44,,Male
0.0,0.0,215,Quarter,2017 Q1,E12000003,,,Incidence rate,,Acquaintance violence,,35-44,,Male
8.065240761,5.084084046,277,Quarter,2017 Q1,E12000004,,,Incidence rate,,Acquaintance violence,,45-54,,Male
30.08271216,19.28273881,313,Quarter,2017 Q1,E12000006,,,Incidence rate,,Acquaintance violence,,45-54,,Male
11.56032698,3.185612247,2734,Quarter,2017 Q1,E92000001,,,Incidence rate,,Acquaintance violence,,45-54,,Male
3.0652947110000004,2.172263867,348,Quarter,2017 Q1,E12000007,,,Incidence rate,,Acquaintance violence,,45-54,,Male
24.12085212,19.37171101,160,Quarter,2017 Q1,E12000001,,,Incidence rate,,Acquaintance violence,,45-54,,Male
5.868802594,4.157194127,392,Quarter,2017 Q1,E12000002,,,Incidence rate,,Acquaintance violence,,45-54,,Male
2.571217013,2.570598551,394,Quarter,2017 Q1,E12000008,,,Incidence rate,,Acquaintance violence,,45-54,,Male
35.99367175,18.73490449,325,Quarter,2017 Q1,E12000009,,,Incidence rate,,Acquaintance violence,,45-54,,Male
18.37049577,18.4168991,198,Quarter,2017 Q1,W92000004,,,Incidence rate,,Acquaintance violence,,45-54,,Male
8.897020564,7.875103702,262,Quarter,2017 Q1,E12000005,,,Incidence rate,,Acquaintance violence,,45-54,,Male
2.941921852,2.933814737,263,Quarter,2017 Q1,E12000003,,,Incidence rate,,Acquaintance violence,,45-54,,Male
9.515231867,9.450472759,220,Quarter,2017 Q1,E12000004,,,Incidence rate,,Acquaintance violence,,55-64,,Male
6.929137458,4.0416866539999985,291,Quarter,2017 Q1,E12000006,,,Incidence rate,,Acquaintance violence,,55-64,,Male
5.846598214,2.651277945,2504,Quarter,2017 Q1,E92000001,,,Incidence rate,,Acquaintance violence,,55-64,,Male
