V4_1,Standard Error,Unweighted Count,Time_codelist,Time,Geography_codelist,Geography,Output area classification_codelist,Output area classification,Measurement Type_codelist,Measurement Type,Crime Type_codelist,Crime Type,Age_codelist,Age,Sex_codelist,Sex
23.61095791,9.999500383,1183,Quarter,2017 Q1,K04000001,,,Urbanites,,Incidence rate,,Acquaintance violence,,45-54,,All adults
13.77783312,6.513582788,383,Quarter,2017 Q1,K04000001,,,Constrained city dwellers,,Incidence rate,,Acquaintance violence,,55-64,,All adults
0,0,115,Quarter,2017 Q1,K04000001,,,Cosmopolitans,,Incidence rate,,Acquaintance violence,,55-64,,All adults
2.6692638,2.669978524,238,Quarter,2017 Q1,K04000001,,,Ethnicity central,,Incidence rate,,Acquaintance violence,,55-64,,All adults
3.571996522,2.169044383,1026,Quarter,2017 Q1,K04000001,,,Hard-pressed living,,Incidence rate,,Acquaintance violence,,55-64,,All adults
7.30294028,4.274937513,564,Quarter,2017 Q1,K04000001,,,Multicultural metropolitans,,Incidence rate,,Acquaintance violence,,55-64,,All adults
19.26435892,10.18982689,891,Quarter,2017 Q1,K04000001,,,Rural residents,,Incidence rate,,Acquaintance violence,,55-64,,All adults
5.87536267,2.839177329,1433,Quarter,2017 Q1,K04000001,,,Suburbanites,,Incidence rate,,Acquaintance violence,,55-64,,All adults
5.118586747,2.463862028,1014,Quarter,2017 Q1,K04000001,,,Urbanites,,Incidence rate,,Acquaintance violence,,55-64,,All adults
4.983757994,3.52384714,404,Quarter,2017 Q1,K04000001,,,Constrained city dwellers,,Incidence rate,,Acquaintance violence,,65-74,,All adults
0,0,103,Quarter,2017 Q1,K04000001,,,Cosmopolitans,,Incidence rate,,Acquaintance violence,,65-74,,All adults
0,0,156,Quarter,2017 Q1,K04000001,,,Ethnicity central,,Incidence rate,,Acquaintance violence,,65-74,,All adults
5.160476555,2.458281819,1079,Quarter,2017 Q1,K04000001,,,Hard-pressed living,,Incidence rate,,Acquaintance violence,,65-74,,All adults
0.740739343,0.741487293,417,Quarter,2017 Q1,K04000001,,,Multicultural metropolitans,,Incidence rate,,Acquaintance violence,,65-74,,All adults
1.861131555,1.399142397,993,Quarter,2017 Q1,K04000001,,,Rural residents,,Incidence rate,,Acquaintance violence,,65-74,,All adults
1.441918687,0.875356195,1452,Quarter,2017 Q1,K04000001,,,Suburbanites,,Incidence rate,,Acquaintance violence,,65-74,,All adults
1.119541502,0.822406377,988,Quarter,2017 Q1,K04000001,,,Urbanites,,Incidence rate,,Acquaintance violence,,65-74,,All adults
0,0,295,Quarter,2017 Q1,K04000001,,,Constrained city dwellers,,Incidence rate,,Acquaintance violence,,75+,,All adults
0,0,89,Quarter,2017 Q1,K04000001,,,Cosmopolitans,,Incidence rate,,Acquaintance violence,,75+,,All adults
0,0,114,Quarter,2017 Q1,K04000001,,,Ethnicity central,,Incidence rate,,Acquaintance violence,,75+,,All adults
0.831369818,0.832099726,795,Quarter,2017 Q1,K04000001,,,Hard-pressed living,,Incidence rate,,Acquaintance violence,,75+,,All adults
0,0,351,Quarter,2017 Q1,K04000001,,,Multicultural metropolitans,,Incidence rate,,Acquaintance violence,,75+,,All adults
0,0,693,Quarter,2017 Q1,K04000001,,,Rural residents,,Incidence rate,,Acquaintance violence,,75+,,All adults
1.192870599,1.192866079,1178,Quarter,2017 Q1,K04000001,,,Suburbanites,,Incidence rate,,Acquaintance violence,,75+,,All adults
2.379362021,1.700948557,740,Quarter,2017 Q1,K04000001,,,Urbanites,,Incidence rate,,Acquaintance violence,,75+,,All adults
41.54375258,26.63878031,116,Quarter,2017 Q1,K04000001,,,Constrained city dwellers,,Incidence rate,,Acquaintance violence,,16-24,,Female
39.60244424,39.06576921,110,Quarter,2017 Q1,K04000001,,,Cosmopolitans,,Incidence rate,,Acquaintance violence,,16-24,,Female
10.11637325,10.07838782,107,Quarter,2017 Q1,K04000001,,,Ethnicity central,,Incidence rate,,Acquaintance violence,,16-24,,Female
22.61612126,11.12805339,309,Quarter,2017 Q1,K04000001,,,Hard-pressed living,,Incidence rate,,Acquaintance violence,,16-24,,Female
7.961387438,4.897652451,207,Quarter,2017 Q1,K04000001,,,Multicultural metropolitans,,Incidence rate,,Acquaintance violence,,16-24,,Female
0,0,117,Quarter,2017 Q1,K04000001,,,Rural residents,,Incidence rate,,Acquaintance violence,,16-24,,Female
11.06155941,7.759433267,182,Quarter,2017 Q1,K04000001,,,Suburbanites,,Incidence rate,,Acquaintance violence,,16-24,,Female
4.431657561,3.671512218,215,Quarter,2017 Q1,K04000001,,,Urbanites,,Incidence rate,,Acquaintance violence,,16-24,,Female
13.51564262,4.537377844,1291,Quarter,2017 Q1,K04000001,,,Constrained city dwellers,,Incidence rate,,Acquaintance violence,,16+,,Female
11.10238905,11.05550195,630,Quarter,2017 Q1,K04000001,,,Cosmopolitans,,Incidence rate,,Acquaintance violence,,16+,,Female
7.456589466,4.045184048,995,Quarter,2017 Q1,K04000001,,,Ethnicity central,,Incidence rate,,Acquaintance violence,,16+,,Female
12.93383532,3.32021763,3848,Quarter,2017 Q1,K04000001,,,Hard-pressed living,,Incidence rate,,Acquaintance violence,,16+,,Female
3.516480138,1.38102129,2202,Quarter,2017 Q1,K04000001,,,Multicultural metropolitans,,Incidence rate,,Acquaintance violence,,16+,,Female
7.005896181,2.669757363,2393,Quarter,2017 Q1,K04000001,,,Rural residents,,Incidence rate,,Acquaintance violence,,16+,,Female
5.993232524,1.838253791,4043,Quarter,2017 Q1,K04000001,,,Suburbanites,,Incidence rate,,Acquaintance violence,,16+,,Female
10.35152077,3.308560583,3581,Quarter,2017 Q1,K04000001,,,Urbanites,,Incidence rate,,Acquaintance violence,,16+,,Female
21.09277742,10.85208497,235,Quarter,2017 Q1,K04000001,,,Constrained city dwellers,,Incidence rate,,Acquaintance violence,,25-34,,Female
0,0,147,Quarter,2017 Q1,K04000001,,,Cosmopolitans,,Incidence rate,,Acquaintance violence,,25-34,,Female
14.51977896,12.72370719,249,Quarter,2017 Q1,K04000001,,,Ethnicity central,,Incidence rate,,Acquaintance violence,,25-34,,Female
18.63520858,9.381274168,698,Quarter,2017 Q1,K04000001,,,Hard-pressed living,,Incidence rate,,Acquaintance violence,,25-34,,Female
0,0,538,Quarter,2017 Q1,K04000001,,,Multicultural metropolitans,,Incidence rate,,Acquaintance violence,,25-34,,Female
8.287996592,8.283006972,194,Quarter,2017 Q1,K04000001,,,Rural residents,,Incidence rate,,Acquaintance violence,,25-34,,Female
5.416153521,3.979063859,349,Quarter,2017 Q1,K04000001,,,Suburbanites,,Incidence rate,,Acquaintance violence,,25-34,,Female
10.27197836,5.597290843,634,Quarter,2017 Q1,K04000001,,,Urbanites,,Incidence rate,,Acquaintance violence,,25-34,,Female
12.25969163,9.462491936,173,Quarter,2017 Q1,K04000001,,,Constrained city dwellers,,Incidence rate,,Acquaintance violence,,35-44,,Female
0,0,132,Quarter,2017 Q1,K04000001,,,Cosmopolitans,,Incidence rate,,Acquaintance violence,,35-44,,Female
9.269934395,7.321180588,224,Quarter,2017 Q1,K04000001,,,Ethnicity central,,Incidence rate,,Acquaintance violence,,35-44,,Female
14.36513834,6.590914781,542,Quarter,2017 Q1,K04000001,,,Hard-pressed living,,Incidence rate,,Acquaintance violence,,35-44,,Female
2.628341187,2.620512787,469,Quarter,2017 Q1,K04000001,,,Multicultural metropolitans,,Incidence rate,,Acquaintance violence,,35-44,,Female
0,0,285,Quarter,2017 Q1,K04000001,,,Rural residents,,Incidence rate,,Acquaintance violence,,35-44,,Female
1.707289238,1.290952593,642,Quarter,2017 Q1,K04000001,,,Suburbanites,,Incidence rate,,Acquaintance violence,,35-44,,Female
11.68449498,5.835162111,661,Quarter,2017 Q1,K04000001,,,Urbanites,,Incidence rate,,Acquaintance violence,,35-44,,Female
5.283184515,3.870276014,205,Quarter,2017 Q1,K04000001,,,Constrained city dwellers,,Incidence rate,,Acquaintance violence,,45-54,,Female
0,0,79,Quarter,2017 Q1,K04000001,,,Cosmopolitans,,Incidence rate,,Acquaintance violence,,45-54,,Female
0,0,176,Quarter,2017 Q1,K04000001,,,Ethnicity central,,Incidence rate,,Acquaintance violence,,45-54,,Female
19.12993137,11.60671931,694,Quarter,2017 Q1,K04000001,,,Hard-pressed living,,Incidence rate,,Acquaintance violence,,45-54,,Female
0,0,308,Quarter,2017 Q1,K04000001,,,Multicultural metropolitans,,Incidence rate,,Acquaintance violence,,45-54,,Female
14.17642355,6.263993045,455,Quarter,2017 Q1,K04000001,,,Rural residents,,Incidence rate,,Acquaintance violence,,45-54,,Female
14.13527629,7.096612367,720,Quarter,2017 Q1,K04000001,,,Suburbanites,,Incidence rate,,Acquaintance violence,,45-54,,Female
28.5119548,16.39648209,627,Quarter,2017 Q1,K04000001,,,Urbanites,,Incidence rate,,Acquaintance violence,,45-54,,Female
11.10625775,8.08647534,196,Quarter,2017 Q1,K04000001,,,Constrained city dwellers,,Incidence rate,,Acquaintance violence,,55-64,,Female
0,0,55,Quarter,2017 Q1,K04000001,,,Cosmopolitans,,Incidence rate,,Acquaintance violence,,55-64,,Female
0,0,100,Quarter,2017 Q1,K04000001,,,Ethnicity central,,Incidence rate,,Acquaintance violence,,55-64,,Female
6.92138737,4.198297795,558,Quarter,2017 Q1,K04000001,,,Hard-pressed living,,Incidence rate,,Acquaintance violence,,55-64,,Female
15.10374456,8.828926189,276,Quarter,2017 Q1,K04000001,,,Multicultural metropolitans,,Incidence rate,,Acquaintance violence,,55-64,,Female
19.1471936,12.37153309,464,Quarter,2017 Q1,K04000001,,,Rural residents,,Incidence rate,,Acquaintance violence,,55-64,,Female
9.007101675,5.475438281,750,Quarter,2017 Q1,K04000001,,,Suburbanites,,Incidence rate,,Acquaintance violence,,55-64,,Female
3.386718482,2.542683155,545,Quarter,2017 Q1,K04000001,,,Urbanites,,Incidence rate,,Acquaintance violence,,55-64,,Female
0,0,202,Quarter,2017 Q1,K04000001,,,Constrained city dwellers,,Incidence rate,,Acquaintance violence,,65-74,,Female
0,0,54,Quarter,2017 Q1,K04000001,,,Cosmopolitans,,Incidence rate,,Acquaintance violence,,65-74,,Female
0,0,79,Quarter,2017 Q1,K04000001,,,Ethnicity central,,Incidence rate,,Acquaintance violence,,65-74,,Female
1.088559073,1.089726421,592,Quarter,2017 Q1,K04000001,,,Hard-pressed living,,Incidence rate,,Acquaintance violence,,65-74,,Female
0,0,213,Quarter,2017 Q1,K04000001,,,Multicultural metropolitans,,Incidence rate,,Acquaintance violence,,65-74,,Female
0,0,500,Quarter,2017 Q1,K04000001,,,Rural residents,,Incidence rate,,Acquaintance violence,,65-74,,Female
0,0,745,Quarter,2017 Q1,K04000001,,,Suburbanites,,Incidence rate,,Acquaintance violence,,65-74,,Female
1.435555229,1.43534784,499,Quarter,2017 Q1,K04000001,,,Urbanites,,Incidence rate,,Acquaintance violence,,65-74,,Female
0,0,164,Quarter,2017 Q1,K04000001,,,Constrained city dwellers,,Incidence rate,,Acquaintance violence,,75+,,Female
0,0,53,Quarter,2017 Q1,K04000001,,,Cosmopolitans,,Incidence rate,,Acquaintance violence,,75+,,Female
0,0,60,Quarter,2017 Q1,K04000001,,,Ethnicity central,,Incidence rate,,Acquaintance violence,,75+,,Female
1.420209101,1.42143012,455,Quarter,2017 Q1,K04000001,,,Hard-pressed living,,Incidence rate,,Acquaintance violence,,75+,,Female
0,0,191,Quarter,2017 Q1,K04000001,,,Multicultural metropolitans,,Incidence rate,,Acquaintance violence,,75+,,Female
0,0,378,Quarter,2017 Q1,K04000001,,,Rural residents,,Incidence rate,,Acquaintance violence,,75+,,Female
0,0,655,Quarter,2017 Q1,K04000001,,,Suburbanites,,Incidence rate,,Acquaintance violence,,75+,,Female
2.497464439,2.485991009,400,Quarter,2017 Q1,K04000001,,,Urbanites,,Incidence rate,,Acquaintance violence,,75+,,Female
32.56925847,17.57733334,85,Quarter,2017 Q1,K04000001,,,Constrained city dwellers,,Incidence rate,,Acquaintance violence,,16-24,,Male
3.539568597,3.55214632,117,Quarter,2017 Q1,K04000001,,,Cosmopolitans,,Incidence rate,,Acquaintance violence,,16-24,,Male
42.62113185,42.58009069,85,Quarter,2017 Q1,K04000001,,,Ethnicity central,,Incidence rate,,Acquaintance violence,,16-24,,Male
47.36071139,18.98841054,219,Quarter,2017 Q1,K04000001,,,Hard-pressed living,,Incidence rate,,Acquaintance violence,,16-24,,Male
9.620823463,7.965810363,203,Quarter,2017 Q1,K04000001,,,Multicultural metropolitans,,Incidence rate,,Acquaintance violence,,16-24,,Male
72.1502046,46.48826738,110,Quarter,2017 Q1,K04000001,,,Rural residents,,Incidence rate,,Acquaintance violence,,16-24,,Male
23.09479615,15.45879303,190,Quarter,2017 Q1,K04000001,,,Suburbanites,,Incidence rate,,Acquaintance violence,,16-24,,Male
25.28132852,19.75334344,216,Quarter,2017 Q1,K04000001,,,Urbanites,,Incidence rate,,Acquaintance violence,,16-24,,Male
11.72107905,4.181594719,1158,Quarter,2017 Q1,K04000001,,,Constrained city dwellers,,Incidence rate,,Acquaintance violence,,16+,,Male
0.916307673,0.916692301,721,Quarter,2017 Q1,K04000001,,,Cosmopolitans,,Incidence rate,,Acquaintance violence,,16+,,Male
10.10874296,7.119387385,880,Quarter,2017 Q1,K04000001,,,Ethnicity central,,Incidence rate,,Acquaintance violence,,16+,,Male
13.83655908,3.377389543,2965,Quarter,2017 Q1,K04000001,,,Hard-pressed living,,Incidence rate,,Acquaintance violence,,16+,,Male
8.728058189,3.267166388,2004,Quarter,2017 Q1,K04000001,,,Multicultural metropolitans,,Incidence rate,,Acquaintance violence,,16+,,Male
19.39838248,6.928194186,2113,Quarter,2017 Q1,K04000001,,,Rural residents,,Incidence rate,,Acquaintance violence,,16+,,Male
7.188288691,2.211407763,3558,Quarter,2017 Q1,K04000001,,,Suburbanites,,Incidence rate,,Acquaintance violence,,16+,,Male
14.98663569,4.866853818,3038,Quarter,2017 Q1,K04000001,,,Urbanites,,Incidence rate,,Acquaintance violence,,16+,,Male
20.51853129,17.26791818,170,Quarter,2017 Q1,K04000001,,,Constrained city dwellers,,Incidence rate,,Acquaintance violence,,25-34,,Male
0,0,198,Quarter,2017 Q1,K04000001,,,Cosmopolitans,,Incidence rate,,Acquaintance violence,,25-34,,Male
0,0,190,Quarter,2017 Q1,K04000001,,,Ethnicity central,,Incidence rate,,Acquaintance violence,,25-34,,Male
8.570553752,5.09664219,440,Quarter,2017 Q1,K04000001,,,Hard-pressed living,,Incidence rate,,Acquaintance violence,,25-34,,Male
4.341280273,3.094094865,393,Quarter,2017 Q1,K04000001,,,Multicultural metropolitans,,Incidence rate,,Acquaintance violence,,25-34,,Male
5.060428537,5.067772241,147,Quarter,2017 Q1,K04000001,,,Rural residents,,Incidence rate,,Acquaintance violence,,25-34,,Male
8.57256024,6.276840538,306,Quarter,2017 Q1,K04000001,,,Suburbanites,,Incidence rate,,Acquaintance violence,,25-34,,Male
36.43332594,21.57597212,421,Quarter,2017 Q1,K04000001,,,Urbanites,,Incidence rate,,Acquaintance violence,,25-34,,Male
0,0,172,Quarter,2017 Q1,K04000001,,,Constrained city dwellers,,Incidence rate,,Acquaintance violence,,35-44,,Male
0,0,143,Quarter,2017 Q1,K04000001,,,Cosmopolitans,,Incidence rate,,Acquaintance violence,,35-44,,Male
9.051646809,6.762846463,206,Quarter,2017 Q1,K04000001,,,Ethnicity central,,Incidence rate,,Acquaintance violence,,35-44,,Male
0,0,468,Quarter,2017 Q1,K04000001,,,Hard-pressed living,,Incidence rate,,Acquaintance violence,,35-44,,Male
22.4094468,14.94140448,388,Quarter,2017 Q1,K04000001,,,Multicultural metropolitans,,Incidence rate,,Acquaintance violence,,35-44,,Male
43.14529876,29.55455069,231,Quarter,2017 Q1,K04000001,,,Rural residents,,Incidence rate,,Acquaintance violence,,35-44,,Male
12.94676444,7.61869463,533,Quarter,2017 Q1,K04000001,,,Suburbanites,,Incidence rate,,Acquaintance violence,,35-44,,Male
6.549064761,3.348908571,547,Quarter,2017 Q1,K04000001,,,Urbanites,,Incidence rate,,Acquaintance violence,,35-44,,Male
1.992710361,1.996424072,211,Quarter,2017 Q1,K04000001,,,Constrained city dwellers,,Incidence rate,,Acquaintance violence,,45-54,,Male
0,0,118,Quarter,2017 Q1,K04000001,,,Cosmopolitans,,Incidence rate,,Acquaintance violence,,45-54,,Male
4.966636293,4.967973285,130,Quarter,2017 Q1,K04000001,,,Ethnicity central,,Incidence rate,,Acquaintance violence,,45-54,,Male
25.97357927,10.69709849,543,Quarter,2017 Q1,K04000001,,,Hard-pressed living,,Incidence rate,,Acquaintance violence,,45-54,,Male
11.36904291,6.355356662,368,Quarter,2017 Q1,K04000001,,,Multicultural metropolitans,,Incidence rate,,Acquaintance violence,,45-54,,Male
9.145420804,7.733745575,390,Quarter,2017 Q1,K04000001,,,Rural residents,,Incidence rate,,Acquaintance violence,,45-54,,Male
3.531089475,2.261423333,616,Quarter,2017 Q1,K04000001,,,Suburbanites,,Incidence rate,,Acquaintance violence,,45-54,,Male
18.54538424,11.30395108,556,Quarter,2017 Q1,K04000001,,,Urbanites,,Incidence rate,,Acquaintance violence,,45-54,,Male
17.00657132,10.48751546,187,Quarter,2017 Q1,K04000001,,,Constrained city dwellers,,Incidence rate,,Acquaintance violence,,55-64,,Male
0,0,60,Quarter,2017 Q1,K04000001,,,Cosmopolitans,,Incidence rate,,Acquaintance violence,,55-64,,Male
4.771197934,4.774714654,138,Quarter,2017 Q1,K04000001,,,Ethnicity central,,Incidence rate,,Acquaintance violence,,55-64,,Male
0,0,468,Quarter,2017 Q1,K04000001,,,Hard-pressed living,,Incidence rate,,Acquaintance violence,,55-64,,Male
0,0,288,Quarter,2017 Q1,K04000001,,,Multicultural metropolitans,,Incidence rate,,Acquaintance violence,,55-64,,Male
19.38727573,16.30219413,427,Quarter,2017 Q1,K04000001,,,Rural residents,,Incidence rate,,Acquaintance violence,,55-64,,Male
2.701152943,1.75321766,683,Quarter,2017 Q1,K04000001,,,Suburbanites,,Incidence rate,,Acquaintance violence,,55-64,,Male
7.034298986,4.360964469,469,Quarter,2017 Q1,K04000001,,,Urbanites,,Incidence rate,,Acquaintance violence,,55-64,,Male
10.11906697,7.141954563,202,Quarter,2017 Q1,K04000001,,,Constrained city dwellers,,Incidence rate,,Acquaintance violence,,65-74,,Male
0,0,49,Quarter,2017 Q1,K04000001,,,Cosmopolitans,,Incidence rate,,Acquaintance violence,,65-74,,Male
0,0,77,Quarter,2017 Q1,K04000001,,,Ethnicity central,,Incidence rate,,Acquaintance violence,,65-74,,Male
10.24363238,5.310293962,487,Quarter,2017 Q1,K04000001,,,Hard-pressed living,,Incidence rate,,Acquaintance violence,,65-74,,Male
1.523971983,1.526528651,204,Quarter,2017 Q1,K04000001,,,Multicultural metropolitans,,Incidence rate,,Acquaintance violence,,65-74,,Male
3.794200709,2.858523647,493,Quarter,2017 Q1,K04000001,,,Rural residents,,Incidence rate,,Acquaintance violence,,65-74,,Male
2.974226689,1.807025099,707,Quarter,2017 Q1,K04000001,,,Suburbanites,,Incidence rate,,Acquaintance violence,,65-74,,Male
0.804412202,0.804907672,489,Quarter,2017 Q1,K04000001,,,Urbanites,,Incidence rate,,Acquaintance violence,,65-74,,Male
0,0,131,Quarter,2017 Q1,K04000001,,,Constrained city dwellers,,Incidence rate,,Acquaintance violence,,75+,,Male
0,0,36,Quarter,2017 Q1,K04000001,,,Cosmopolitans,,Incidence rate,,Acquaintance violence,,75+,,Male
0,0,54,Quarter,2017 Q1,K04000001,,,Ethnicity central,,Incidence rate,,Acquaintance violence,,75+,,Male
0,0,340,Quarter,2017 Q1,K04000001,,,Hard-pressed living,,Incidence rate,,Acquaintance violence,,75+,,Male
0,0,160,Quarter,2017 Q1,K04000001,,,Multicultural metropolitans,,Incidence rate,,Acquaintance violence,,75+,,Male
0,0,315,Quarter,2017 Q1,K04000001,,,Rural residents,,Incidence rate,,Acquaintance violence,,75+,,Male
2.781789123,2.775994428,523,Quarter,2017 Q1,K04000001,,,Suburbanites,,Incidence rate,,Acquaintance violence,,75+,,Male
2.233534917,2.236277578,340,Quarter,2017 Q1,K04000001,,,Urbanites,,Incidence rate,,Acquaintance violence,,75+,,Male
15.707243,8.721057239,201,Quarter,2017 Q1,K04000001,,,Constrained city dwellers,,Incidence rate,,Common assault with injury,,16-24,,All adults
1.410914561,1.41441256,227,Quarter,2017 Q1,K04000001,,,Cosmopolitans,,Incidence rate,,Common assault with injury,,16-24,,All adults
20.36846409,14.28988508,192,Quarter,2017 Q1,K04000001,,,Ethnicity central,,Incidence rate,,Common assault with injury,,16-24,,All adults
17.53494262,7.310772714,528,Quarter,2017 Q1,K04000001,,,Hard-pressed living,,Incidence rate,,Common assault with injury,,16-24,,All adults
9.049307313,4.970727188,410,Quarter,2017 Q1,K04000001,,,Multicultural metropolitans,,Incidence rate,,Common assault with injury,,16-24,,All adults
33.78358042,23.49562934,227,Quarter,2017 Q1,K04000001,,,Rural residents,,Incidence rate,,Common assault with injury,,16-24,,All adults
10.34686439,7.886566396,372,Quarter,2017 Q1,K04000001,,,Suburbanites,,Incidence rate,,Common assault with injury,,16-24,,All adults
26.85152978,12.2139449,431,Quarter,2017 Q1,K04000001,,,Urbanites,,Incidence rate,,Common assault with injury,,16-24,,All adults
6.530047852,1.920041885,2449,Quarter,2017 Q1,K04000001,,,Constrained city dwellers,,Incidence rate,,Common assault with injury,,16+,,All adults
1.023912239,0.748831458,1351,Quarter,2017 Q1,K04000001,,,Cosmopolitans,,Incidence rate,,Common assault with injury,,16+,,All adults
8.331121824,3.072980967,1875,Quarter,2017 Q1,K04000001,,,Ethnicity central,,Incidence rate,,Common assault with injury,,16+,,All adults
7.186687891,1.543994159,6813,Quarter,2017 Q1,K04000001,,,Hard-pressed living,,Incidence rate,,Common assault with injury,,16+,,All adults
4.717760921,1.26708584,4206,Quarter,2017 Q1,K04000001,,,Multicultural metropolitans,,Incidence rate,,Common assault with injury,,16+,,All adults
6.994982016,2.935466485,4506,Quarter,2017 Q1,K04000001,,,Rural residents,,Incidence rate,,Common assault with injury,,16+,,All adults
