V4_1,Standard Error,Unweighted Count,Time_codelist,Time,Geography_codelist,Geography,Number of hours out of home on an average weekday_codelist,Number of hours out of home on an average weekday,Measurement Type_codelist,Measurement Type,Crime Type_codelist,Crime Type,Age_codelist,Age,Sex_codelist,Sex
46.23250702,34.95246102,177,Quarter,2017 Q1,K04000001,,,Less than 3 hrs,,Incidence rate,,Acquaintance violence,,16-24,,Female
6.352031523,1.548559697,5788,Quarter,2017 Q1,K04000001,,,3-7 hours,,Incidence rate,,Acquaintance violence,,16+,,Female
13.54575851,2.450690346,6845,Quarter,2017 Q1,K04000001,,,7 plus hrs,,Incidence rate,,Acquaintance violence,,16+,,Female
4.749287318,1.807426449,6268,Quarter,2017 Q1,K04000001,,,Less than 3 hrs,,Incidence rate,,Acquaintance violence,,16+,,Female
19.5559717,8.837482819,813,Quarter,2017 Q1,K04000001,,,3-7 hours,,Incidence rate,,Acquaintance violence,,25-34,,Female
7.780879125,2.683871235,1582,Quarter,2017 Q1,K04000001,,,7 plus hrs,,Incidence rate,,Acquaintance violence,,25-34,,Female
2.775610343,2.038800738,642,Quarter,2017 Q1,K04000001,,,Less than 3 hrs,,Incidence rate,,Acquaintance violence,,25-34,,Female
8.378796829,3.349608987,952,Quarter,2017 Q1,K04000001,,,3-7 hours,,Incidence rate,,Acquaintance violence,,35-44,,Female
6.414962478,2.686721672,1509,Quarter,2017 Q1,K04000001,,,7 plus hrs,,Incidence rate,,Acquaintance violence,,35-44,,Female
5.726019925,3.910744137,658,Quarter,2017 Q1,K04000001,,,Less than 3 hrs,,Incidence rate,,Acquaintance violence,,35-44,,Female
4.108318633,2.318344409,912,Quarter,2017 Q1,K04000001,,,3-7 hours,,Incidence rate,,Acquaintance violence,,45-54,,Female
21.53506109,7.653101342,1755,Quarter,2017 Q1,K04000001,,,7 plus hrs,,Incidence rate,,Acquaintance violence,,45-54,,Female
11.14440605,6.835908587,586,Quarter,2017 Q1,K04000001,,,Less than 3 hrs,,Incidence rate,,Acquaintance violence,,45-54,,Female
2.939272564,2.108053615,987,Quarter,2017 Q1,K04000001,,,3-7 hours,,Incidence rate,,Acquaintance violence,,55-64,,Female
21.60433508,7.395208229,1005,Quarter,2017 Q1,K04000001,,,7 plus hrs,,Incidence rate,,Acquaintance violence,,55-64,,Female
3.17925874,1.8708878,931,Quarter,2017 Q1,K04000001,,,Less than 3 hrs,,Incidence rate,,Acquaintance violence,,55-64,,Female
0.57211673,0.572124724,1118,Quarter,2017 Q1,K04000001,,,3-7 hours,,Incidence rate,,Acquaintance violence,,65-74,,Female
3.769049209,3.768605222,184,Quarter,2017 Q1,K04000001,,,7 plus hrs,,Incidence rate,,Acquaintance violence,,65-74,,Female
0,0,1559,Quarter,2017 Q1,K04000001,,,Less than 3 hrs,,Incidence rate,,Acquaintance violence,,65-74,,Female
1.073258444,1.074016291,591,Quarter,2017 Q1,K04000001,,,3-7 hours,,Incidence rate,,Acquaintance violence,,75+,,Female
0,0,40,Quarter,2017 Q1,K04000001,,,7 plus hrs,,Incidence rate,,Acquaintance violence,,75+,,Female
0.576952112,0.576958892,1715,Quarter,2017 Q1,K04000001,,,Less than 3 hrs,,Incidence rate,,Acquaintance violence,,75+,,Female
27.18597139,11.16276312,337,Quarter,2017 Q1,K04000001,,,3-7 hours,,Incidence rate,,Acquaintance violence,,16-24,,Male
23.90489,8.525933979,784,Quarter,2017 Q1,K04000001,,,7 plus hrs,,Incidence rate,,Acquaintance violence,,16-24,,Male
77.03362979,54.33599724,103,Quarter,2017 Q1,K04000001,,,Less than 3 hrs,,Incidence rate,,Acquaintance violence,,16-24,,Male
10.63536854,2.641881525,3529,Quarter,2017 Q1,K04000001,,,3-7 hours,,Incidence rate,,Acquaintance violence,,16+,,Male
12.59859845,2.256488174,8527,Quarter,2017 Q1,K04000001,,,7 plus hrs,,Incidence rate,,Acquaintance violence,,16+,,Male
9.244312783,3.204327809,4326,Quarter,2017 Q1,K04000001,,,Less than 3 hrs,,Incidence rate,,Acquaintance violence,,16+,,Male
8.107820062,4.828990787,286,Quarter,2017 Q1,K04000001,,,3-7 hours,,Incidence rate,,Acquaintance violence,,25-34,,Male
11.57129706,4.902576074,1816,Quarter,2017 Q1,K04000001,,,7 plus hrs,,Incidence rate,,Acquaintance violence,,25-34,,Male
14.747897,14.74959415,156,Quarter,2017 Q1,K04000001,,,Less than 3 hrs,,Incidence rate,,Acquaintance violence,,25-34,,Male
8.31131649,4.858227706,333,Quarter,2017 Q1,K04000001,,,3-7 hours,,Incidence rate,,Acquaintance violence,,35-44,,Male
12.94295781,4.725143088,2038,Quarter,2017 Q1,K04000001,,,7 plus hrs,,Incidence rate,,Acquaintance violence,,35-44,,Male
5.079639811,4.256687836,307,Quarter,2017 Q1,K04000001,,,Less than 3 hrs,,Incidence rate,,Acquaintance violence,,35-44,,Male
16.67194864,10.00923874,429,Quarter,2017 Q1,K04000001,,,3-7 hours,,Incidence rate,,Acquaintance violence,,45-54,,Male
10.2624078,3.68325241,2104,Quarter,2017 Q1,K04000001,,,7 plus hrs,,Incidence rate,,Acquaintance violence,,45-54,,Male
16.9590618,7.597921913,387,Quarter,2017 Q1,K04000001,,,Less than 3 hrs,,Incidence rate,,Acquaintance violence,,45-54,,Male
3.774369718,1.969024421,625,Quarter,2017 Q1,K04000001,,,3-7 hours,,Incidence rate,,Acquaintance violence,,55-64,,Male
7.108397953,4.392933779,1402,Quarter,2017 Q1,K04000001,,,7 plus hrs,,Incidence rate,,Acquaintance violence,,55-64,,Male
4.845713595,2.637846071,685,Quarter,2017 Q1,K04000001,,,Less than 3 hrs,,Incidence rate,,Acquaintance violence,,55-64,,Male
5.241355252,2.252395198,1003,Quarter,2017 Q1,K04000001,,,3-7 hours,,Incidence rate,,Acquaintance violence,,65-74,,Male
3.594144894,3.599548444,329,Quarter,2017 Q1,K04000001,,,7 plus hrs,,Incidence rate,,Acquaintance violence,,65-74,,Male
3.621631336,1.704022894,1361,Quarter,2017 Q1,K04000001,,,Less than 3 hrs,,Incidence rate,,Acquaintance violence,,65-74,,Male
0,0,516,Quarter,2017 Q1,K04000001,,,3-7 hours,,Incidence rate,,Acquaintance violence,,75+,,Male
0,0,54,Quarter,2017 Q1,K04000001,,,7 plus hrs,,Incidence rate,,Acquaintance violence,,75+,,Male
1.675498703,1.244477239,1327,Quarter,2017 Q1,K04000001,,,Less than 3 hrs,,Incidence rate,,Acquaintance violence,,75+,,Male
16.22914219,5.808049994,752,Quarter,2017 Q1,K04000001,,,3-7 hours,,Incidence rate,,Common assault with injury,,16-24,,All adults
15.7870816,4.675889344,1554,Quarter,2017 Q1,K04000001,,,7 plus hrs,,Incidence rate,,Common assault with injury,,16-24,,All adults
21.04148444,17.50095108,280,Quarter,2017 Q1,K04000001,,,Less than 3 hrs,,Incidence rate,,Common assault with injury,,16-24,,All adults
5.258704878,1.120235141,9317,Quarter,2017 Q1,K04000001,,,3-7 hours,,Incidence rate,,Common assault with injury,,16+,,All adults
8.246289072,1.185572321,15372,Quarter,2017 Q1,K04000001,,,7 plus hrs,,Incidence rate,,Common assault with injury,,16+,,All adults
3.660215009,1.081274123,10594,Quarter,2017 Q1,K04000001,,,Less than 3 hrs,,Incidence rate,,Common assault with injury,,16+,,All adults
8.931071746,3.863479847,1099,Quarter,2017 Q1,K04000001,,,3-7 hours,,Incidence rate,,Common assault with injury,,25-34,,All adults
6.805523765,1.820603393,3398,Quarter,2017 Q1,K04000001,,,7 plus hrs,,Incidence rate,,Common assault with injury,,25-34,,All adults
6.008483666,4.632694428,798,Quarter,2017 Q1,K04000001,,,Less than 3 hrs,,Incidence rate,,Common assault with injury,,25-34,,All adults
2.043444766,1.087622213,1285,Quarter,2017 Q1,K04000001,,,3-7 hours,,Incidence rate,,Common assault with injury,,35-44,,All adults
6.662615396,2.025812798,3547,Quarter,2017 Q1,K04000001,,,7 plus hrs,,Incidence rate,,Common assault with injury,,35-44,,All adults
7.476356689,3.407645124,965,Quarter,2017 Q1,K04000001,,,Less than 3 hrs,,Incidence rate,,Common assault with injury,,35-44,,All adults
7.125221822,2.677097326,1341,Quarter,2017 Q1,K04000001,,,3-7 hours,,Incidence rate,,Common assault with injury,,45-54,,All adults
8.502720648,2.706153081,3859,Quarter,2017 Q1,K04000001,,,7 plus hrs,,Incidence rate,,Common assault with injury,,45-54,,All adults
5.991047886,3.46123879,973,Quarter,2017 Q1,K04000001,,,Less than 3 hrs,,Incidence rate,,Common assault with injury,,45-54,,All adults
1.054620429,1.054633369,1612,Quarter,2017 Q1,K04000001,,,3-7 hours,,Incidence rate,,Common assault with injury,,55-64,,All adults
4.724981977,1.736052836,2407,Quarter,2017 Q1,K04000001,,,7 plus hrs,,Incidence rate,,Common assault with injury,,55-64,,All adults
2.089798826,1.113402362,1616,Quarter,2017 Q1,K04000001,,,Less than 3 hrs,,Incidence rate,,Common assault with injury,,55-64,,All adults
0.575721957,0.44758978,2121,Quarter,2017 Q1,K04000001,,,3-7 hours,,Incidence rate,,Common assault with injury,,65-74,,All adults
0.733318288,0.733788807,513,Quarter,2017 Q1,K04000001,,,7 plus hrs,,Incidence rate,,Common assault with injury,,65-74,,All adults
1.808669418,0.785378252,2920,Quarter,2017 Q1,K04000001,,,Less than 3 hrs,,Incidence rate,,Common assault with injury,,65-74,,All adults
0,0,1107,Quarter,2017 Q1,K04000001,,,3-7 hours,,Incidence rate,,Common assault with injury,,75+,,All adults
0,0,94,Quarter,2017 Q1,K04000001,,,7 plus hrs,,Incidence rate,,Common assault with injury,,75+,,All adults
0,0,3042,Quarter,2017 Q1,K04000001,,,Less than 3 hrs,,Incidence rate,,Common assault with injury,,75+,,All adults
4.938135201,2.766767278,415,Quarter,2017 Q1,K04000001,,,3-7 hours,,Incidence rate,,Common assault with injury,,16-24,,Female
7.701609027,3.447832898,770,Quarter,2017 Q1,K04000001,,,7 plus hrs,,Incidence rate,,Common assault with injury,,16-24,,Female
7.281444099,7.27118765,177,Quarter,2017 Q1,K04000001,,,Less than 3 hrs,,Incidence rate,,Common assault with injury,,16-24,,Female
2.807795973,0.883220953,5788,Quarter,2017 Q1,K04000001,,,3-7 hours,,Incidence rate,,Common assault with injury,,16+,,Female
8.282036295,1.682171712,6845,Quarter,2017 Q1,K04000001,,,7 plus hrs,,Incidence rate,,Common assault with injury,,16+,,Female
3.091486959,1.061326026,6268,Quarter,2017 Q1,K04000001,,,Less than 3 hrs,,Incidence rate,,Common assault with injury,,16+,,Female
8.034410179,4.729422622,813,Quarter,2017 Q1,K04000001,,,3-7 hours,,Incidence rate,,Common assault with injury,,25-34,,Female
6.665001788,2.98711459,1582,Quarter,2017 Q1,K04000001,,,7 plus hrs,,Incidence rate,,Common assault with injury,,25-34,,Female
8.108790295,6.24954582,642,Quarter,2017 Q1,K04000001,,,Less than 3 hrs,,Incidence rate,,Common assault with injury,,25-34,,Female
1.338371812,0.946614802,952,Quarter,2017 Q1,K04000001,,,3-7 hours,,Incidence rate,,Common assault with injury,,35-44,,Female
10.18092196,4.00024462,1509,Quarter,2017 Q1,K04000001,,,7 plus hrs,,Incidence rate,,Common assault with injury,,35-44,,Female
7.235868703,4.273007999,658,Quarter,2017 Q1,K04000001,,,Less than 3 hrs,,Incidence rate,,Common assault with injury,,35-44,,Female
3.317426096,2.017742237,912,Quarter,2017 Q1,K04000001,,,3-7 hours,,Incidence rate,,Common assault with injury,,45-54,,Female
8.925206605,4.416679543,1755,Quarter,2017 Q1,K04000001,,,7 plus hrs,,Incidence rate,,Common assault with injury,,45-54,,Female
5.954170691,4.99769053,586,Quarter,2017 Q1,K04000001,,,Less than 3 hrs,,Incidence rate,,Common assault with injury,,45-54,,Female
1.718514112,1.719223362,987,Quarter,2017 Q1,K04000001,,,3-7 hours,,Incidence rate,,Common assault with injury,,55-64,,Female
9.329015059,3.941295881,1005,Quarter,2017 Q1,K04000001,,,7 plus hrs,,Incidence rate,,Common assault with injury,,55-64,,Female
1.298590992,0.902424524,931,Quarter,2017 Q1,K04000001,,,Less than 3 hrs,,Incidence rate,,Common assault with injury,,55-64,,Female
0,0,1118,Quarter,2017 Q1,K04000001,,,3-7 hours,,Incidence rate,,Common assault with injury,,65-74,,Female
2.004429287,2.007727525,184,Quarter,2017 Q1,K04000001,,,7 plus hrs,,Incidence rate,,Common assault with injury,,65-74,,Female
1.107146872,0.800404822,1559,Quarter,2017 Q1,K04000001,,,Less than 3 hrs,,Incidence rate,,Common assault with injury,,65-74,,Female
0,0,591,Quarter,2017 Q1,K04000001,,,3-7 hours,,Incidence rate,,Common assault with injury,,75+,,Female
0,0,40,Quarter,2017 Q1,K04000001,,,7 plus hrs,,Incidence rate,,Common assault with injury,,75+,,Female
0,0,1715,Quarter,2017 Q1,K04000001,,,Less than 3 hrs,,Incidence rate,,Common assault with injury,,75+,,Female
27.88348299,11.46696441,337,Quarter,2017 Q1,K04000001,,,3-7 hours,,Incidence rate,,Common assault with injury,,16-24,,Male
22.9895625,8.128813777,784,Quarter,2017 Q1,K04000001,,,7 plus hrs,,Incidence rate,,Common assault with injury,,16-24,,Male
37.63410672,37.59074363,103,Quarter,2017 Q1,K04000001,,,Less than 3 hrs,,Incidence rate,,Common assault with injury,,16-24,,Male
9.002728475,2.492246237,3529,Quarter,2017 Q1,K04000001,,,3-7 hours,,Incidence rate,,Common assault with injury,,16+,,Male
8.220906185,1.634389228,8527,Quarter,2017 Q1,K04000001,,,7 plus hrs,,Incidence rate,,Common assault with injury,,16+,,Male
4.486873506,2.165249841,4326,Quarter,2017 Q1,K04000001,,,Less than 3 hrs,,Incidence rate,,Common assault with injury,,16+,,Male
10.60568678,6.693003774,286,Quarter,2017 Q1,K04000001,,,3-7 hours,,Incidence rate,,Common assault with injury,,25-34,,Male
6.901513274,2.297647119,1816,Quarter,2017 Q1,K04000001,,,7 plus hrs,,Incidence rate,,Common assault with injury,,25-34,,Male
0,0,156,Quarter,2017 Q1,K04000001,,,Less than 3 hrs,,Incidence rate,,Common assault with injury,,25-34,,Male
3.851762209,3.017917303,333,Quarter,2017 Q1,K04000001,,,3-7 hours,,Incidence rate,,Common assault with injury,,35-44,,Male
4.427844271,2.12999628,2038,Quarter,2017 Q1,K04000001,,,7 plus hrs,,Incidence rate,,Common assault with injury,,35-44,,Male
7.939567449,5.605141087,307,Quarter,2017 Q1,K04000001,,,Less than 3 hrs,,Incidence rate,,Common assault with injury,,35-44,,Male
15.18271321,7.169538239,429,Quarter,2017 Q1,K04000001,,,3-7 hours,,Incidence rate,,Common assault with injury,,45-54,,Male
8.187411053,3.389158991,2104,Quarter,2017 Q1,K04000001,,,7 plus hrs,,Incidence rate,,Common assault with injury,,45-54,,Male
6.04652286,4.305397485,387,Quarter,2017 Q1,K04000001,,,Less than 3 hrs,,Incidence rate,,Common assault with injury,,45-54,,Male
0,0,625,Quarter,2017 Q1,K04000001,,,3-7 hours,,Incidence rate,,Common assault with injury,,55-64,,Male
1.803032846,1.326470056,1402,Quarter,2017 Q1,K04000001,,,7 plus hrs,,Incidence rate,,Common assault with injury,,55-64,,Male
3.224629388,2.380437854,685,Quarter,2017 Q1,K04000001,,,Less than 3 hrs,,Incidence rate,,Common assault with injury,,55-64,,Male
1.214682713,0.944090134,1003,Quarter,2017 Q1,K04000001,,,3-7 hours,,Incidence rate,,Common assault with injury,,65-74,,Male
0,0,329,Quarter,2017 Q1,K04000001,,,7 plus hrs,,Incidence rate,,Common assault with injury,,65-74,,Male
2.624039177,1.422217949,1361,Quarter,2017 Q1,K04000001,,,Less than 3 hrs,,Incidence rate,,Common assault with injury,,65-74,,Male
0,0,516,Quarter,2017 Q1,K04000001,,,3-7 hours,,Incidence rate,,Common assault with injury,,75+,,Male
0,0,54,Quarter,2017 Q1,K04000001,,,7 plus hrs,,Incidence rate,,Common assault with injury,,75+,,Male
0,0,1327,Quarter,2017 Q1,K04000001,,,Less than 3 hrs,,Incidence rate,,Common assault with injury,,75+,,Male
51.52026141,14.23093874,752,Quarter,2017 Q1,K04000001,,,3-7 hours,,Incidence rate,,Common assault,,16-24,,All adults
37.30835393,6.454138663,1554,Quarter,2017 Q1,K04000001,,,7 plus hrs,,Incidence rate,,Common assault,,16-24,,All adults
51.64947685,30.52538667,280,Quarter,2017 Q1,K04000001,,,Less than 3 hrs,,Incidence rate,,Common assault,,16-24,,All adults
18.80848896,2.653123187,9317,Quarter,2017 Q1,K04000001,,,3-7 hours,,Incidence rate,,Common assault,,16+,,All adults
26.04388788,2.104020208,15372,Quarter,2017 Q1,K04000001,,,7 plus hrs,,Incidence rate,,Common assault,,16+,,All adults
11.7998124,2.028489149,10594,Quarter,2017 Q1,K04000001,,,Less than 3 hrs,,Incidence rate,,Common assault,,16+,,All adults
23.18149497,7.188724225,1099,Quarter,2017 Q1,K04000001,,,3-7 hours,,Incidence rate,,Common assault,,25-34,,All adults
25.60610124,4.086389914,3398,Quarter,2017 Q1,K04000001,,,7 plus hrs,,Incidence rate,,Common assault,,25-34,,All adults
21.05303034,7.206367921,798,Quarter,2017 Q1,K04000001,,,Less than 3 hrs,,Incidence rate,,Common assault,,25-34,,All adults
16.7696508,4.546767446,1285,Quarter,2017 Q1,K04000001,,,3-7 hours,,Incidence rate,,Common assault,,35-44,,All adults
21.63275813,3.795458163,3547,Quarter,2017 Q1,K04000001,,,7 plus hrs,,Incidence rate,,Common assault,,35-44,,All adults
20.98685495,7.193208856,965,Quarter,2017 Q1,K04000001,,,Less than 3 hrs,,Incidence rate,,Common assault,,35-44,,All adults
19.29233159,4.911119804,1341,Quarter,2017 Q1,K04000001,,,3-7 hours,,Incidence rate,,Common assault,,45-54,,All adults
28.26357825,4.918992651,3859,Quarter,2017 Q1,K04000001,,,7 plus hrs,,Incidence rate,,Common assault,,45-54,,All adults
26.77754004,8.104207842,973,Quarter,2017 Q1,K04000001,,,Less than 3 hrs,,Incidence rate,,Common assault,,45-54,,All adults
5.019399775,1.815377181,1612,Quarter,2017 Q1,K04000001,,,3-7 hours,,Incidence rate,,Common assault,,55-64,,All adults
20.2065679,5.134196213,2407,Quarter,2017 Q1,K04000001,,,7 plus hrs,,Incidence rate,,Common assault,,55-64,,All adults
7.029611814,2.477196426,1616,Quarter,2017 Q1,K04000001,,,Less than 3 hrs,,Incidence rate,,Common assault,,55-64,,All adults
9.816925852,3.279372618,2121,Quarter,2017 Q1,K04000001,,,3-7 hours,,Incidence rate,,Common assault,,65-74,,All adults
3.012549157,2.3919575,513,Quarter,2017 Q1,K04000001,,,7 plus hrs,,Incidence rate,,Common assault,,65-74,,All adults
4.843811001,1.749100385,2920,Quarter,2017 Q1,K04000001,,,Less than 3 hrs,,Incidence rate,,Common assault,,65-74,,All adults
1.971137982,1.14788725,1107,Quarter,2017 Q1,K04000001,,,3-7 hours,,Incidence rate,,Common assault,,75+,,All adults
0,0,94,Quarter,2017 Q1,K04000001,,,7 plus hrs,,Incidence rate,,Common assault,,75+,,All adults
1.462395031,0.691564515,3042,Quarter,2017 Q1,K04000001,,,Less than 3 hrs,,Incidence rate,,Common assault,,75+,,All adults
7.638771713,3.864483975,415,Quarter,2017 Q1,K04000001,,,3-7 hours,,Incidence rate,,Common assault,,16-24,,Female
20.16818831,5.612207847,770,Quarter,2017 Q1,K04000001,,,7 plus hrs,,Incidence rate,,Common assault,,16-24,,Female
50.78845128,34.94305313,177,Quarter,2017 Q1,K04000001,,,Less than 3 hrs,,Incidence rate,,Common assault,,16-24,,Female
10.84071151,1.89738137,5788,Quarter,2017 Q1,K04000001,,,3-7 hours,,Incidence rate,,Common assault,,16+,,Female
20.23322949,2.734996332,6845,Quarter,2017 Q1,K04000001,,,7 plus hrs,,Incidence rate,,Common assault,,16+,,Female
11.69079751,2.418878907,6268,Quarter,2017 Q1,K04000001,,,Less than 3 hrs,,Incidence rate,,Common assault,,16+,,Female
23.67578622,9.474111939,813,Quarter,2017 Q1,K04000001,,,3-7 hours,,Incidence rate,,Common assault,,25-34,,Female
17.23773314,4.349733311,1582,Quarter,2017 Q1,K04000001,,,7 plus hrs,,Incidence rate,,Common assault,,25-34,,Female
23.2570329,8.243070538,642,Quarter,2017 Q1,K04000001,,,Less than 3 hrs,,Incidence rate,,Common assault,,25-34,,Female
19.18674286,5.864507695,952,Quarter,2017 Q1,K04000001,,,3-7 hours,,Incidence rate,,Common assault,,35-44,,Female
17.27800833,4.64893352,1509,Quarter,2017 Q1,K04000001,,,7 plus hrs,,Incidence rate,,Common assault,,35-44,,Female
15.40698807,6.493778937,658,Quarter,2017 Q1,K04000001,,,Less than 3 hrs,,Incidence rate,,Common assault,,35-44,,Female
9.234695258,3.273467577,912,Quarter,2017 Q1,K04000001,,,3-7 hours,,Incidence rate,,Common assault,,45-54,,Female
26.74865384,7.912864543,1755,Quarter,2017 Q1,K04000001,,,7 plus hrs,,Incidence rate,,Common assault,,45-54,,Female
26.19840946,11.86174118,586,Quarter,2017 Q1,K04000001,,,Less than 3 hrs,,Incidence rate,,Common assault,,45-54,,Female
5.794202299,2.685320008,987,Quarter,2017 Q1,K04000001,,,3-7 hours,,Incidence rate,,Common assault,,55-64,,Female
21.69287519,7.353540573,1005,Quarter,2017 Q1,K04000001,,,7 plus hrs,,Incidence rate,,Common assault,,55-64,,Female
8.907949468,3.680239146,931,Quarter,2017 Q1,K04000001,,,Less than 3 hrs,,Incidence rate,,Common assault,,55-64,,Female
5.667314616,2.687737685,1118,Quarter,2017 Q1,K04000001,,,3-7 hours,,Incidence rate,,Common assault,,65-74,,Female
2.004429287,2.007727525,184,Quarter,2017 Q1,K04000001,,,7 plus hrs,,Incidence rate,,Common assault,,65-74,,Female
3.837684439,2.407941628,1559,Quarter,2017 Q1,K04000001,,,Less than 3 hrs,,Incidence rate,,Common assault,,65-74,,Female
1.073258444,1.074016291,591,Quarter,2017 Q1,K04000001,,,3-7 hours,,Incidence rate,,Common assault,,75+,,Female
0,0,40,Quarter,2017 Q1,K04000001,,,7 plus hrs,,Incidence rate,,Common assault,,75+,,Female
0.957830907,0.691584346,1715,Quarter,2017 Q1,K04000001,,,Less than 3 hrs,,Incidence rate,,Common assault,,75+,,Female
96.81381547,28.54855699,337,Quarter,2017 Q1,K04000001,,,3-7 hours,,Incidence rate,,Common assault,,16-24,,Male
52.57669036,11.05131259,784,Quarter,2017 Q1,K04000001,,,7 plus hrs,,Incidence rate,,Common assault,,16-24,,Male
52.6877494,52.62704108,103,Quarter,2017 Q1,K04000001,,,Less than 3 hrs,,Incidence rate,,Common assault,,16-24,,Male
30.98011507,6.054217905,3529,Quarter,2017 Q1,K04000001,,,3-7 hours,,Incidence rate,,Common assault,,16+,,Male
30.16983886,3.050408005,8527,Quarter,2017 Q1,K04000001,,,7 plus hrs,,Incidence rate,,Common assault,,16+,,Male
11.9582679,3.514780464,4326,Quarter,2017 Q1,K04000001,,,Less than 3 hrs,,Incidence rate,,Common assault,,16+,,Male
22.25835119,10.58791109,286,Quarter,2017 Q1,K04000001,,,3-7 hours,,Incidence rate,,Common assault,,25-34,,Male
31.32247073,6.188028493,1816,Quarter,2017 Q1,K04000001,,,7 plus hrs,,Incidence rate,,Common assault,,25-34,,Male
14.747897,14.74959415,156,Quarter,2017 Q1,K04000001,,,Less than 3 hrs,,Incidence rate,,Common assault,,25-34,,Male
10.57047706,6.038232356,333,Quarter,2017 Q1,K04000001,,,3-7 hours,,Incidence rate,,Common assault,,35-44,,Male
24.3988244,5.466134846,2038,Quarter,2017 Q1,K04000001,,,7 plus hrs,,Incidence rate,,Common assault,,35-44,,Male
31.73439555,16.86832395,307,Quarter,2017 Q1,K04000001,,,Less than 3 hrs,,Incidence rate,,Common assault,,35-44,,Male
40.5748068,13.62800827,429,Quarter,2017 Q1,K04000001,,,3-7 hours,,Incidence rate,,Common assault,,45-54,,Male
29.39419619,6.392243699,2104,Quarter,2017 Q1,K04000001,,,7 plus hrs,,Incidence rate,,Common assault,,45-54,,Male
