V4_2,Standard Error,Unweighted Count,Time_codelist,Time,Geography_codelist,Geography,Tenure_codelist,Tenure,Measurement Type_codelist,Measurement Type,Crime Type_codelist,Crime Type,Age_codelist,Age,Sex_codelist,Sex
3.135491165,1.527757355,1882,Quarter,2017 Q1,K04000001,,,Owners,,Incidence rate,,Acquaintance violence,,35-44,,Female
10.54743467,4.455014837,680,Quarter,2017 Q1,K04000001,,,Private rented sector,,Incidence rate,,Acquaintance violence,,35-44,,Female
13.01589995,4.1889643030000006,1234,Quarter,2017 Q1,K04000001,,,Renters,,Incidence rate,,Acquaintance violence,,35-44,,Female
16.16047592,7.642494253,554,Quarter,2017 Q1,K04000001,,,Social rented sector,,Incidence rate,,Acquaintance violence,,35-44,,Female
17.60598355,5.7984706720000005,2229,Quarter,2017 Q1,K04000001,,,Owners,,Incidence rate,,Acquaintance violence,,45-54,,Female
11.05875651,8.538876777,390,Quarter,2017 Q1,K04000001,,,Private rented sector,,Incidence rate,,Acquaintance violence,,45-54,,Female
7.35395097,4.3138874430000005,1016,Quarter,2017 Q1,K04000001,,,Renters,,Incidence rate,,Acquaintance violence,,45-54,,Female
5.177935553999999,4.668139859,626,Quarter,2017 Q1,K04000001,,,Social rented sector,,Incidence rate,,Acquaintance violence,,45-54,,Female
9.332913487999999,3.220218002,2172,Quarter,2017 Q1,K04000001,,,Owners,,Incidence rate,,Acquaintance violence,,55-64,,Female
7.255381429,7.2208835,285,Quarter,2017 Q1,K04000001,,,Private rented sector,,Incidence rate,,Acquaintance violence,,55-64,,Female
9.15878252,4.285335283,755,Quarter,2017 Q1,K04000001,,,Renters,,Incidence rate,,Acquaintance violence,,55-64,,Female
10.38936631,5.291706894,470,Quarter,2017 Q1,K04000001,,,Social rented sector,,Incidence rate,,Acquaintance violence,,55-64,,Female
0.573818002,0.40625014,2254,Quarter,2017 Q1,K04000001,,,Owners,,Incidence rate,,Acquaintance violence,,65-74,,Female
0.0,0.0,151,Quarter,2017 Q1,K04000001,,,Private rented sector,,Incidence rate,,Acquaintance violence,,65-74,,Female
0.0,0.0,608,Quarter,2017 Q1,K04000001,,,Renters,,Incidence rate,,Acquaintance violence,,65-74,,Female
0.0,0.0,457,Quarter,2017 Q1,K04000001,,,Social rented sector,,Incidence rate,,Acquaintance violence,,65-74,,Female
0.8766353720000001,0.635124351,1825,Quarter,2017 Q1,K04000001,,,Owners,,Incidence rate,,Acquaintance violence,,75+,,Female
0.0,0.0,107,Quarter,2017 Q1,K04000001,,,Private rented sector,,Incidence rate,,Acquaintance violence,,75+,,Female
0.0,0.0,516,Quarter,2017 Q1,K04000001,,,Renters,,Incidence rate,,Acquaintance violence,,75+,,Female
0.0,0.0,409,Quarter,2017 Q1,K04000001,,,Social rented sector,,Incidence rate,,Acquaintance violence,,75+,,Female
13.72666161,7.732167696,395,Quarter,2017 Q1,K04000001,,,Owners,,Incidence rate,,Acquaintance violence,,16-24,,Male
17.68231552,9.072852625,584,Quarter,2017 Q1,K04000001,,,Private rented sector,,Incidence rate,,Acquaintance violence,,16-24,,Male
37.91314872,11.15415917,811,Quarter,2017 Q1,K04000001,,,Renters,,Incidence rate,,Acquaintance violence,,16-24,,Male
97.1592155,34.3651598,227,Quarter,2017 Q1,K04000001,,,Social rented sector,,Incidence rate,,Acquaintance violence,,16-24,,Male
7.675181936,1.375801961,10666,Quarter,2017 Q1,K04000001,,,Owners,,Incidence rate,,Acquaintance violence,,16+,,Male
15.0302446,4.319242203,3210,Quarter,2017 Q1,K04000001,,,Private rented sector,,Incidence rate,,Acquaintance violence,,16+,,Male
17.89482728,3.551386196,5664,Quarter,2017 Q1,K04000001,,,Renters,,Incidence rate,,Acquaintance violence,,16+,,Male
22.79542339,6.175645127,2454,Quarter,2017 Q1,K04000001,,,Social rented sector,,Incidence rate,,Acquaintance violence,,16+,,Male
8.057465106,3.4196123060000003,988,Quarter,2017 Q1,K04000001,,,Owners,,Incidence rate,,Acquaintance violence,,25-34,,Male
14.99338956,8.206323682999999,952,Quarter,2017 Q1,K04000001,,,Private rented sector,,Incidence rate,,Acquaintance violence,,25-34,,Male
13.73492292,6.566638967,1265,Quarter,2017 Q1,K04000001,,,Renters,,Incidence rate,,Acquaintance violence,,25-34,,Male
9.621613267999999,8.054344607,313,Quarter,2017 Q1,K04000001,,,Social rented sector,,Incidence rate,,Acquaintance violence,,25-34,,Male
9.566936916,3.649659717,1610,Quarter,2017 Q1,K04000001,,,Owners,,Incidence rate,,Acquaintance violence,,35-44,,Male
19.2455333,11.26169063,684,Quarter,2017 Q1,K04000001,,,Private rented sector,,Incidence rate,,Acquaintance violence,,35-44,,Male
14.52135911,7.511243297,1058,Quarter,2017 Q1,K04000001,,,Renters,,Incidence rate,,Acquaintance violence,,35-44,,Male
5.386631387,3.370918712,374,Quarter,2017 Q1,K04000001,,,Social rented sector,,Incidence rate,,Acquaintance violence,,35-44,,Male
11.8099762,4.084164889,2031,Quarter,2017 Q1,K04000001,,,Owners,,Incidence rate,,Acquaintance violence,,45-54,,Male
14.65715921,7.423376144,460,Quarter,2017 Q1,K04000001,,,Private rented sector,,Incidence rate,,Acquaintance violence,,45-54,,Male
12.47022442,4.42638085,888,Quarter,2017 Q1,K04000001,,,Renters,,Incidence rate,,Acquaintance violence,,45-54,,Male
10.18719477,4.704649446,428,Quarter,2017 Q1,K04000001,,,Social rented sector,,Incidence rate,,Acquaintance violence,,45-54,,Male
6.005998709,3.146114906,2012,Quarter,2017 Q1,K04000001,,,Owners,,Incidence rate,,Acquaintance violence,,55-64,,Male
0.0,0.0,265,Quarter,2017 Q1,K04000001,,,Private rented sector,,Incidence rate,,Acquaintance violence,,55-64,,Male
5.413405026,2.904953424,687,Quarter,2017 Q1,K04000001,,,Renters,,Incidence rate,,Acquaintance violence,,55-64,,Male
9.335739938,4.991699204,422,Quarter,2017 Q1,K04000001,,,Social rented sector,,Incidence rate,,Acquaintance violence,,55-64,,Male
3.669616919,1.287245912,2116,Quarter,2017 Q1,K04000001,,,Owners,,Incidence rate,,Acquaintance violence,,65-74,,Male
2.210361878,2.213269694,172,Quarter,2017 Q1,K04000001,,,Private rented sector,,Incidence rate,,Acquaintance violence,,65-74,,Male
6.674330414,3.985672462,574,Quarter,2017 Q1,K04000001,,,Renters,,Incidence rate,,Acquaintance violence,,65-74,,Male
8.607622799,5.624670856,402,Quarter,2017 Q1,K04000001,,,Social rented sector,,Incidence rate,,Acquaintance violence,,65-74,,Male
1.452568128,1.078798452,1514,Quarter,2017 Q1,K04000001,,,Owners,,Incidence rate,,Acquaintance violence,,75+,,Male
0.0,0.0,93,Quarter,2017 Q1,K04000001,,,Private rented sector,,Incidence rate,,Acquaintance violence,,75+,,Male
0.0,0.0,381,Quarter,2017 Q1,K04000001,,,Renters,,Incidence rate,,Acquaintance violence,,75+,,Male
0.0,0.0,288,Quarter,2017 Q1,K04000001,,,Social rented sector,,Incidence rate,,Acquaintance violence,,75+,,Male
10.5750226,4.755207459,775,Quarter,2017 Q1,K04000001,,,Owners,,Incidence rate,,Common assault with injury,,16-24,,All adults
18.27682212,5.780244276,1220,Quarter,2017 Q1,K04000001,,,Private rented sector,,Incidence rate,,Common assault with injury,,16-24,,All adults
19.76802577,5.151027012,1769,Quarter,2017 Q1,K04000001,,,Renters,,Incidence rate,,Common assault with injury,,16-24,,All adults
23.75160003,10.51326633,549,Quarter,2017 Q1,K04000001,,,Social rented sector,,Incidence rate,,Common assault with injury,,16-24,,All adults
4.202534684,0.703890806,22626,Quarter,2017 Q1,K04000001,,,Owners,,Incidence rate,,Common assault with injury,,16+,,All adults
9.930590056,1.995202174,6626,Quarter,2017 Q1,K04000001,,,Private rented sector,,Incidence rate,,Common assault with injury,,16+,,All adults
9.837608129,1.469647568,12566,Quarter,2017 Q1,K04000001,,,Renters,,Incidence rate,,Common assault with injury,,16+,,All adults
9.704013834,2.123530994,5940,Quarter,2017 Q1,K04000001,,,Social rented sector,,Incidence rate,,Common assault with injury,,16+,,All adults
4.754268752,2.080201253,2206,Quarter,2017 Q1,K04000001,,,Owners,,Incidence rate,,Common assault with injury,,25-34,,All adults
6.524136902,2.29084557,2119,Quarter,2017 Q1,K04000001,,,Private rented sector,,Incidence rate,,Common assault with injury,,25-34,,All adults
8.890166024,2.26631366,3080,Quarter,2017 Q1,K04000001,,,Renters,,Incidence rate,,Common assault with injury,,25-34,,All adults
15.27825637,5.659935698,961,Quarter,2017 Q1,K04000001,,,Social rented sector,,Incidence rate,,Common assault with injury,,25-34,,All adults
4.963057226,1.821288043,3492,Quarter,2017 Q1,K04000001,,,Owners,,Incidence rate,,Common assault with injury,,35-44,,All adults
4.620628281,2.09767183,1364,Quarter,2017 Q1,K04000001,,,Private rented sector,,Incidence rate,,Common assault with injury,,35-44,,All adults
7.159369539,2.161749617,2292,Quarter,2017 Q1,K04000001,,,Renters,,Incidence rate,,Common assault with injury,,35-44,,All adults
11.13343312,4.4882553430000005,928,Quarter,2017 Q1,K04000001,,,Social rented sector,,Incidence rate,,Common assault with injury,,35-44,,All adults
7.80560753,2.408482375,4260,Quarter,2017 Q1,K04000001,,,Owners,,Incidence rate,,Common assault with injury,,45-54,,All adults
12.87595244,5.58523419,850,Quarter,2017 Q1,K04000001,,,Private rented sector,,Incidence rate,,Common assault with injury,,45-54,,All adults
7.951247521,2.695526586,1904,Quarter,2017 Q1,K04000001,,,Renters,,Incidence rate,,Common assault with injury,,45-54,,All adults
4.099668833,2.003938017,1054,Quarter,2017 Q1,K04000001,,,Social rented sector,,Incidence rate,,Common assault with injury,,45-54,,All adults
2.527581553,0.902694089,4184,Quarter,2017 Q1,K04000001,,,Owners,,Incidence rate,,Common assault with injury,,55-64,,All adults
3.68266471,3.673916273,550,Quarter,2017 Q1,K04000001,,,Private rented sector,,Incidence rate,,Common assault with injury,,55-64,,All adults
4.444573307,2.327110056,1442,Quarter,2017 Q1,K04000001,,,Renters,,Incidence rate,,Common assault with injury,,55-64,,All adults
4.964750466,3.0052588160000004,892,Quarter,2017 Q1,K04000001,,,Social rented sector,,Incidence rate,,Common assault with injury,,55-64,,All adults
0.8620614409999999,0.460547371,4370,Quarter,2017 Q1,K04000001,,,Owners,,Incidence rate,,Common assault with injury,,65-74,,All adults
5.854496709,3.534092541,323,Quarter,2017 Q1,K04000001,,,Private rented sector,,Incidence rate,,Common assault with injury,,65-74,,All adults
2.889413783,1.368190141,1182,Quarter,2017 Q1,K04000001,,,Renters,,Incidence rate,,Common assault with injury,,65-74,,All adults
1.719265269,1.301499109,859,Quarter,2017 Q1,K04000001,,,Social rented sector,,Incidence rate,,Common assault with injury,,65-74,,All adults
0.0,0.0,3339,Quarter,2017 Q1,K04000001,,,Owners,,Incidence rate,,Common assault with injury,,75+,,All adults
0.0,0.0,200,Quarter,2017 Q1,K04000001,,,Private rented sector,,Incidence rate,,Common assault with injury,,75+,,All adults
0.0,0.0,897,Quarter,2017 Q1,K04000001,,,Renters,,Incidence rate,,Common assault with injury,,75+,,All adults
0.0,0.0,697,Quarter,2017 Q1,K04000001,,,Social rented sector,,Incidence rate,,Common assault with injury,,75+,,All adults
3.999759258,3.963016782,380,Quarter,2017 Q1,K04000001,,,Owners,,Incidence rate,,Common assault with injury,,16-24,,Female
9.166377276,3.813763457,636,Quarter,2017 Q1,K04000001,,,Private rented sector,,Incidence rate,,Common assault with injury,,16-24,,Female
8.369823579,2.960352189,958,Quarter,2017 Q1,K04000001,,,Renters,,Incidence rate,,Common assault with injury,,16-24,,Female
6.426528895,4.160439298,322,Quarter,2017 Q1,K04000001,,,Social rented sector,,Incidence rate,,Common assault with injury,,16-24,,Female
3.652774342,0.921874039,11960,Quarter,2017 Q1,K04000001,,,Owners,,Incidence rate,,Common assault with injury,,16+,,Female
6.616132693,1.817919485,3416,Quarter,2017 Q1,K04000001,,,Private rented sector,,Incidence rate,,Common assault with injury,,16+,,Female
7.445642935,1.42712691,6902,Quarter,2017 Q1,K04000001,,,Renters,,Incidence rate,,Common assault with injury,,16+,,Female
8.456217339,2.268630581,3486,Quarter,2017 Q1,K04000001,,,Social rented sector,,Incidence rate,,Common assault with injury,,16+,,Female
4.040263878,3.058200464,1218,Quarter,2017 Q1,K04000001,,,Owners,,Incidence rate,,Common assault with injury,,25-34,,Female
2.755889266,2.498296779,1167,Quarter,2017 Q1,K04000001,,,Private rented sector,,Incidence rate,,Common assault with injury,,25-34,,Female
9.832856432,3.517585155,1815,Quarter,2017 Q1,K04000001,,,Renters,,Incidence rate,,Common assault with injury,,25-34,,Female
25.80983561,9.936152455,648,Quarter,2017 Q1,K04000001,,,Social rented sector,,Incidence rate,,Common assault with injury,,25-34,,Female
5.666915554,2.64557049,1882,Quarter,2017 Q1,K04000001,,,Owners,,Incidence rate,,Common assault with injury,,35-44,,Female
5.596847296,3.295951863,680,Quarter,2017 Q1,K04000001,,,Private rented sector,,Incidence rate,,Common assault with injury,,35-44,,Female
8.731771085,3.61214528,1234,Quarter,2017 Q1,K04000001,,,Renters,,Incidence rate,,Common assault with injury,,35-44,,Female
12.72534803,7.064159553,554,Quarter,2017 Q1,K04000001,,,Social rented sector,,Incidence rate,,Common assault with injury,,35-44,,Female
6.548389064,3.26121097,2229,Quarter,2017 Q1,K04000001,,,Owners,,Incidence rate,,Common assault with injury,,45-54,,Female
16.013966,9.979781321,390,Quarter,2017 Q1,K04000001,,,Private rented sector,,Incidence rate,,Common assault with injury,,45-54,,Female
7.437030223,3.984593472,1016,Quarter,2017 Q1,K04000001,,,Renters,,Incidence rate,,Common assault with injury,,45-54,,Female
2.399371902,2.394191957,626,Quarter,2017 Q1,K04000001,,,Social rented sector,,Incidence rate,,Common assault with injury,,45-54,,Female
3.760696919,1.533871327,2172,Quarter,2017 Q1,K04000001,,,Owners,,Incidence rate,,Common assault with injury,,55-64,,Female
7.255381429,7.2208835,285,Quarter,2017 Q1,K04000001,,,Private rented sector,,Incidence rate,,Common assault with injury,,55-64,,Female
5.372114149,3.792563385,755,Quarter,2017 Q1,K04000001,,,Renters,,Incidence rate,,Common assault with injury,,55-64,,Female
4.154547235,4.14356489,470,Quarter,2017 Q1,K04000001,,,Social rented sector,,Incidence rate,,Common assault with injury,,55-64,,Female
0.615445337,0.482121227,2254,Quarter,2017 Q1,K04000001,,,Owners,,Incidence rate,,Common assault with injury,,65-74,,Female
4.73480824,4.745775262,151,Quarter,2017 Q1,K04000001,,,Private rented sector,,Incidence rate,,Common assault with injury,,65-74,,Female
1.257282011,1.258339856,608,Quarter,2017 Q1,K04000001,,,Renters,,Incidence rate,,Common assault with injury,,65-74,,Female
0.0,0.0,457,Quarter,2017 Q1,K04000001,,,Social rented sector,,Incidence rate,,Common assault with injury,,65-74,,Female
0.0,0.0,1825,Quarter,2017 Q1,K04000001,,,Owners,,Incidence rate,,Common assault with injury,,75+,,Female
0.0,0.0,107,Quarter,2017 Q1,K04000001,,,Private rented sector,,Incidence rate,,Common assault with injury,,75+,,Female
0.0,0.0,516,Quarter,2017 Q1,K04000001,,,Renters,,Incidence rate,,Common assault with injury,,75+,,Female
0.0,0.0,409,Quarter,2017 Q1,K04000001,,,Social rented sector,,Incidence rate,,Common assault with injury,,75+,,Female
16.60400681,8.385510189,395,Quarter,2017 Q1,K04000001,,,Owners,,Incidence rate,,Common assault with injury,,16-24,,Male
26.6971584,10.54439186,584,Quarter,2017 Q1,K04000001,,,Private rented sector,,Incidence rate,,Common assault with injury,,16-24,,Male
30.84019417,9.59076221,811,Quarter,2017 Q1,K04000001,,,Renters,,Incidence rate,,Common assault with injury,,16-24,,Male
42.9730891,21.63427703,227,Quarter,2017 Q1,K04000001,,,Social rented sector,,Incidence rate,,Common assault with injury,,16-24,,Male
4.781786543,1.096504135,10666,Quarter,2017 Q1,K04000001,,,Owners,,Incidence rate,,Common assault with injury,,16+,,Male
12.89021575,3.366720715,3210,Quarter,2017 Q1,K04000001,,,Private rented sector,,Incidence rate,,Common assault with injury,,16+,,Male
12.29201279,2.547344034,5664,Quarter,2017 Q1,K04000001,,,Renters,,Incidence rate,,Common assault with injury,,16+,,Male
11.26863472,3.84954484,2454,Quarter,2017 Q1,K04000001,,,Social rented sector,,Incidence rate,,Common assault with injury,,16+,,Male
5.497572172999999,2.809270568,988,Quarter,2017 Q1,K04000001,,,Owners,,Incidence rate,,Common assault with injury,,25-34,,Male
9.869944383,3.710832186,952,Quarter,2017 Q1,K04000001,,,Private rented sector,,Incidence rate,,Common assault with injury,,25-34,,Male
7.965351384,2.873035831,1265,Quarter,2017 Q1,K04000001,,,Renters,,Incidence rate,,Common assault with injury,,25-34,,Male
1.74017185,1.741185449,313,Quarter,2017 Q1,K04000001,,,Social rented sector,,Incidence rate,,Common assault with injury,,25-34,,Male
4.224882647,2.504701464,1610,Quarter,2017 Q1,K04000001,,,Owners,,Incidence rate,,Common assault with injury,,35-44,,Male
3.80806165,2.691108551,684,Quarter,2017 Q1,K04000001,,,Private rented sector,,Incidence rate,,Common assault with injury,,35-44,,Male
5.619520625,2.420430304,1058,Quarter,2017 Q1,K04000001,,,Renters,,Incidence rate,,Common assault with injury,,35-44,,Male
9.122182432,4.840078572,374,Quarter,2017 Q1,K04000001,,,Social rented sector,,Incidence rate,,Common assault with injury,,35-44,,Male
9.092176432,3.54952237,2031,Quarter,2017 Q1,K04000001,,,Owners,,Incidence rate,,Common assault with injury,,45-54,,Male
10.50206733,6.267405448,460,Quarter,2017 Q1,K04000001,,,Private rented sector,,Incidence rate,,Common assault with injury,,45-54,,Male
8.488198991,3.604470955,888,Quarter,2017 Q1,K04000001,,,Renters,,Incidence rate,,Common assault with injury,,45-54,,Male
6.385840406,3.4166952489999995,428,Quarter,2017 Q1,K04000001,,,Social rented sector,,Incidence rate,,Common assault with injury,,45-54,,Male
1.272296454,0.935877187,2012,Quarter,2017 Q1,K04000001,,,Owners,,Incidence rate,,Common assault with injury,,55-64,,Male
0.0,0.0,265,Quarter,2017 Q1,K04000001,,,Private rented sector,,Incidence rate,,Common assault with injury,,55-64,,Male
3.421567086,2.53283668,687,Quarter,2017 Q1,K04000001,,,Renters,,Incidence rate,,Common assault with injury,,55-64,,Male
5.900696574,4.357977785,422,Quarter,2017 Q1,K04000001,,,Social rented sector,,Incidence rate,,Common assault with injury,,55-64,,Male
1.125105561,0.801031473,2116,Quarter,2017 Q1,K04000001,,,Owners,,Incidence rate,,Common assault with injury,,65-74,,Male
6.940245152999999,5.217173133,172,Quarter,2017 Q1,K04000001,,,Private rented sector,,Incidence rate,,Common assault with injury,,65-74,,Male
4.6906073930000005,2.518121462,574,Quarter,2017 Q1,K04000001,,,Renters,,Incidence rate,,Common assault with injury,,65-74,,Male
3.716315681,2.8125156010000003,402,Quarter,2017 Q1,K04000001,,,Social rented sector,,Incidence rate,,Common assault with injury,,65-74,,Male
0.0,0.0,1514,Quarter,2017 Q1,K04000001,,,Owners,,Incidence rate,,Common assault with injury,,75+,,Male
0.0,0.0,93,Quarter,2017 Q1,K04000001,,,Private rented sector,,Incidence rate,,Common assault with injury,,75+,,Male
0.0,0.0,381,Quarter,2017 Q1,K04000001,,,Renters,,Incidence rate,,Common assault with injury,,75+,,Male
0.0,0.0,288,Quarter,2017 Q1,K04000001,,,Social rented sector,,Incidence rate,,Common assault with injury,,75+,,Male
25.21546339,6.655878934,775,Quarter,2017 Q1,K04000001,,,Owners,,Incidence rate,,Common assault,,16-24,,All adults
48.46094759,10.52389707,1220,Quarter,2017 Q1,K04000001,,,Private rented sector,,Incidence rate,,Common assault,,16-24,,All adults
52.29615688,9.206782573,1769,Quarter,2017 Q1,K04000001,,,Renters,,Incidence rate,,Common assault,,16-24,,All adults
62.54146506,18.59747492,549,Quarter,2017 Q1,K04000001,,,Social rented sector,,Incidence rate,,Common assault,,16-24,,All adults
15.93407012,1.411775071,22626,Quarter,2017 Q1,K04000001,,,Owners,,Incidence rate,,Common assault,,16+,,All adults
28.57143682,3.766171317,6626,Quarter,2017 Q1,K04000001,,,Private rented sector,,Incidence rate,,Common assault,,16+,,All adults
28.15448474,2.745445969,12566,Quarter,2017 Q1,K04000001,,,Renters,,Incidence rate,,Common assault,,16+,,All adults
27.55541757,3.997906735,5940,Quarter,2017 Q1,K04000001,,,Social rented sector,,Incidence rate,,Common assault,,16+,,All adults
22.79282946,4.688620413,2206,Quarter,2017 Q1,K04000001,,,Owners,,Incidence rate,,Common assault,,25-34,,All adults
18.63922088,3.959807576,2119,Quarter,2017 Q1,K04000001,,,Private rented sector,,Incidence rate,,Common assault,,25-34,,All adults
25.85612522,4.32722334,3080,Quarter,2017 Q1,K04000001,,,Renters,,Incidence rate,,Common assault,,25-34,,All adults
45.34119263,11.95508282,961,Quarter,2017 Q1,K04000001,,,Social rented sector,,Incidence rate,,Common assault,,25-34,,All adults
16.15315929,3.062820041,3492,Quarter,2017 Q1,K04000001,,,Owners,,Incidence rate,,Common assault,,35-44,,All adults
26.73205017,7.427775334,1364,Quarter,2017 Q1,K04000001,,,Private rented sector,,Incidence rate,,Common assault,,35-44,,All adults
27.45241105,5.489688482,2292,Quarter,2017 Q1,K04000001,,,Renters,,Incidence rate,,Common assault,,35-44,,All adults
28.58004072,8.102387288,928,Quarter,2017 Q1,K04000001,,,Social rented sector,,Incidence rate,,Common assault,,35-44,,All adults
29.16420239,4.649798525,4260,Quarter,2017 Q1,K04000001,,,Owners,,Incidence rate,,Common assault,,45-54,,All adults
23.75365824,7.088749076,850,Quarter,2017 Q1,K04000001,,,Private rented sector,,Incidence rate,,Common assault,,45-54,,All adults
18.48532171,3.94764903,1904,Quarter,2017 Q1,K04000001,,,Renters,,Incidence rate,,Common assault,,45-54,,All adults
