V4_2,Standard Error,Unweighted Count,Time_codelist,Time,Geography_codelist,Geography,Accommodation type_codelist,Accommodation type,Measurement Type_codelist,Measurement Type,Crime Type_codelist,Crime Type,Age_codelist,Age,Sex_codelist,Sex
35.09702823,34.68594387,31,Quarter,2017 Q1,K04000001,,,Other accommodation,,Incidence rate,,Acquaintance violence,,65-74,,All adults
1.524355152,0.762234266,1681,Quarter,2017 Q1,K04000001,,,Semi-detached house,,Incidence rate,,Acquaintance violence,,65-74,,All adults
2.590008041,1.66928032,1322,Quarter,2017 Q1,K04000001,,,Terraced house,,Incidence rate,,Acquaintance violence,,65-74,,All adults
1.014711101,1.015032378,1412,Quarter,2017 Q1,K04000001,,,Detached house,,Incidence rate,,Acquaintance violence,,75+,,All adults
3.416779134,2.435721266,549,Quarter,2017 Q1,K04000001,,,Flats/maisonettes,,Incidence rate,,Acquaintance violence,,75+,,All adults
0.564343036,0.428059697,3674,Quarter,2017 Q1,K04000001,,,House,,Incidence rate,,Acquaintance violence,,75+,,All adults
0,0,23,Quarter,2017 Q1,K04000001,,,Other accommodation,,Incidence rate,,Acquaintance violence,,75+,,All adults
0.461400293,0.461313729,1395,Quarter,2017 Q1,K04000001,,,Semi-detached house,,Incidence rate,,Acquaintance violence,,75+,,All adults
0,0,867,Quarter,2017 Q1,K04000001,,,Terraced house,,Incidence rate,,Acquaintance violence,,75+,,All adults
0,0,211,Quarter,2017 Q1,K04000001,,,Detached house,,Incidence rate,,Acquaintance violence,,16-24,,Female
39.02550038,23.76121456,273,Quarter,2017 Q1,K04000001,,,Flats/maisonettes,,Incidence rate,,Acquaintance violence,,16-24,,Female
10.29198627,3.304800299,1086,Quarter,2017 Q1,K04000001,,,House,,Incidence rate,,Acquaintance violence,,16-24,,Female
-,-,-,Quarter,2017 Q1,K04000001,,,Other accommodation,,Incidence rate,,Acquaintance violence,,16-24,,Female
15.91787211,7.125544415,393,Quarter,2017 Q1,K04000001,,,Semi-detached house,,Incidence rate,,Acquaintance violence,,16-24,,Female
10.53867555,4.802733374,482,Quarter,2017 Q1,K04000001,,,Terraced house,,Incidence rate,,Acquaintance violence,,16-24,,Female
7.51595145,2.42980498,4622,Quarter,2017 Q1,K04000001,,,Detached house,,Incidence rate,,Acquaintance violence,,16+,,Female
14.65955184,4.668199603,2634,Quarter,2017 Q1,K04000001,,,Flats/maisonettes,,Incidence rate,,Acquaintance violence,,16+,,Female
7.743986941,1.237369569,16260,Quarter,2017 Q1,K04000001,,,House,,Incidence rate,,Acquaintance violence,,16+,,Female
0,0,37,Quarter,2017 Q1,K04000001,,,Other accommodation,,Incidence rate,,Acquaintance violence,,16+,,Female
8.382781708,2.131107269,5985,Quarter,2017 Q1,K04000001,,,Semi-detached house,,Incidence rate,,Acquaintance violence,,16+,,Female
7.252276757,1.617612483,5653,Quarter,2017 Q1,K04000001,,,Terraced house,,Incidence rate,,Acquaintance violence,,16+,,Female
2.008796422,2.008794287,302,Quarter,2017 Q1,K04000001,,,Detached house,,Incidence rate,,Acquaintance violence,,25-34,,Female
10.03906744,6.655464399,638,Quarter,2017 Q1,K04000001,,,Flats/maisonettes,,Incidence rate,,Acquaintance violence,,25-34,,Female
9.692429916,3.286020251,2399,Quarter,2017 Q1,K04000001,,,House,,Incidence rate,,Acquaintance violence,,25-34,,Female
14.58691139,4.964762522,897,Quarter,2017 Q1,K04000001,,,Semi-detached house,,Incidence rate,,Acquaintance violence,,25-34,,Female
8.206486484,4.65003345,1200,Quarter,2017 Q1,K04000001,,,Terraced house,,Incidence rate,,Acquaintance violence,,25-34,,Female
2.005238285,1.425182453,660,Quarter,2017 Q1,K04000001,,,Detached house,,Incidence rate,,Acquaintance violence,,35-44,,Female
16.11990922,8.123470894,444,Quarter,2017 Q1,K04000001,,,Flats/maisonettes,,Incidence rate,,Acquaintance violence,,35-44,,Female
5.44193755,1.722644567,2667,Quarter,2017 Q1,K04000001,,,House,,Incidence rate,,Acquaintance violence,,35-44,,Female
-,-,-,Quarter,2017 Q1,K04000001,,,Other accommodation,,Incidence rate,,Acquaintance violence,,35-44,,Female
1.286516491,1.003374887,1003,Quarter,2017 Q1,K04000001,,,Semi-detached house,,Incidence rate,,Acquaintance violence,,35-44,,Female
11.85763367,4.3694191,1004,Quarter,2017 Q1,K04000001,,,Terraced house,,Incidence rate,,Acquaintance violence,,35-44,,Female
19.19043679,9.387203266,842,Quarter,2017 Q1,K04000001,,,Detached house,,Incidence rate,,Acquaintance violence,,45-54,,Female
19.1409843,11.02721969,337,Quarter,2017 Q1,K04000001,,,Flats/maisonettes,,Incidence rate,,Acquaintance violence,,45-54,,Female
14.22407197,4.615891057,2916,Quarter,2017 Q1,K04000001,,,House,,Incidence rate,,Acquaintance violence,,45-54,,Female
-,-,-,Quarter,2017 Q1,K04000001,,,Other accommodation,,Incidence rate,,Acquaintance violence,,45-54,,Female
17.05465176,9.32783392,1077,Quarter,2017 Q1,K04000001,,,Semi-detached house,,Incidence rate,,Acquaintance violence,,45-54,,Female
6.519463341,3.436409527,997,Quarter,2017 Q1,K04000001,,,Terraced house,,Incidence rate,,Acquaintance violence,,45-54,,Female
18.43692133,7.363604353,906,Quarter,2017 Q1,K04000001,,,Detached house,,Incidence rate,,Acquaintance violence,,55-64,,Female
5.065032244,5.052482185,303,Quarter,2017 Q1,K04000001,,,Flats/maisonettes,,Incidence rate,,Acquaintance violence,,55-64,,Female
9.694186281,2.875854265,2624,Quarter,2017 Q1,K04000001,,,House,,Incidence rate,,Acquaintance violence,,55-64,,Female
-,-,-,Quarter,2017 Q1,K04000001,,,Other accommodation,,Incidence rate,,Acquaintance violence,,55-64,,Female
3.921543266,1.996930301,946,Quarter,2017 Q1,K04000001,,,Semi-detached house,,Incidence rate,,Acquaintance violence,,55-64,,Female
6.497074748,3.798208928,772,Quarter,2017 Q1,K04000001,,,Terraced house,,Incidence rate,,Acquaintance violence,,55-64,,Female
0,0,964,Quarter,2017 Q1,K04000001,,,Detached house,,Incidence rate,,Acquaintance violence,,65-74,,Female
0,0,308,Quarter,2017 Q1,K04000001,,,Flats/maisonettes,,Incidence rate,,Acquaintance violence,,65-74,,Female
0.512483416,0.362858005,2557,Quarter,2017 Q1,K04000001,,,House,,Incidence rate,,Acquaintance violence,,65-74,,Female
0,0,15,Quarter,2017 Q1,K04000001,,,Other accommodation,,Incidence rate,,Acquaintance violence,,65-74,,Female
1.492105244,1.05737076,871,Quarter,2017 Q1,K04000001,,,Semi-detached house,,Incidence rate,,Acquaintance violence,,65-74,,Female
0,0,722,Quarter,2017 Q1,K04000001,,,Terraced house,,Incidence rate,,Acquaintance violence,,65-74,,Female
0,0,737,Quarter,2017 Q1,K04000001,,,Detached house,,Incidence rate,,Acquaintance violence,,75+,,Female
3.120275537,3.100892789,331,Quarter,2017 Q1,K04000001,,,Flats/maisonettes,,Incidence rate,,Acquaintance violence,,75+,,Female
0.310200939,0.310427758,2011,Quarter,2017 Q1,K04000001,,,House,,Incidence rate,,Acquaintance violence,,75+,,Female
-,-,-,Quarter,2017 Q1,K04000001,,,Other accommodation,,Incidence rate,,Acquaintance violence,,75+,,Female
0.779775285,0.78030626,798,Quarter,2017 Q1,K04000001,,,Semi-detached house,,Incidence rate,,Acquaintance violence,,75+,,Female
0,0,476,Quarter,2017 Q1,K04000001,,,Terraced house,,Incidence rate,,Acquaintance violence,,75+,,Female
38.24473272,24.72277637,209,Quarter,2017 Q1,K04000001,,,Detached house,,Incidence rate,,Acquaintance violence,,16-24,,Male
17.30282246,7.023111641,226,Quarter,2017 Q1,K04000001,,,Flats/maisonettes,,Incidence rate,,Acquaintance violence,,16-24,,Male
31.68574189,9.032033517,993,Quarter,2017 Q1,K04000001,,,House,,Incidence rate,,Acquaintance violence,,16-24,,Male
51.77260362,17.84667987,345,Quarter,2017 Q1,K04000001,,,Semi-detached house,,Incidence rate,,Acquaintance violence,,16-24,,Male
13.40030396,9.299013296,439,Quarter,2017 Q1,K04000001,,,Terraced house,,Incidence rate,,Acquaintance violence,,16-24,,Male
13.39037291,4.014209993,4211,Quarter,2017 Q1,K04000001,,,Detached house,,Incidence rate,,Acquaintance violence,,16+,,Male
12.55839089,3.435100961,2660,Quarter,2017 Q1,K04000001,,,Flats/maisonettes,,Incidence rate,,Acquaintance violence,,16+,,Male
11.2141624,1.73322846,13693,Quarter,2017 Q1,K04000001,,,House,,Incidence rate,,Acquaintance violence,,16+,,Male
27.76340678,27.40984324,44,Quarter,2017 Q1,K04000001,,,Other accommodation,,Incidence rate,,Acquaintance violence,,16+,,Male
10.5934557,2.704795098,4919,Quarter,2017 Q1,K04000001,,,Semi-detached house,,Incidence rate,,Acquaintance violence,,16+,,Male
10.07030585,2.456792428,4563,Quarter,2017 Q1,K04000001,,,Terraced house,,Incidence rate,,Acquaintance violence,,16+,,Male
49.0611918,32.30425943,241,Quarter,2017 Q1,K04000001,,,Detached house,,Incidence rate,,Acquaintance violence,,25-34,,Male
13.30072735,6.602167843,589,Quarter,2017 Q1,K04000001,,,Flats/maisonettes,,Incidence rate,,Acquaintance violence,,25-34,,Male
10.65518437,4.960677028,1669,Quarter,2017 Q1,K04000001,,,House,,Incidence rate,,Acquaintance violence,,25-34,,Male
-,-,-,Quarter,2017 Q1,K04000001,,,Other accommodation,,Incidence rate,,Acquaintance violence,,25-34,,Male
1.684706663,1.684533146,608,Quarter,2017 Q1,K04000001,,,Semi-detached house,,Incidence rate,,Acquaintance violence,,25-34,,Male
5.973422351,3.068873801,820,Quarter,2017 Q1,K04000001,,,Terraced house,,Incidence rate,,Acquaintance violence,,25-34,,Male
15.54005831,8.155358171,536,Quarter,2017 Q1,K04000001,,,Detached house,,Incidence rate,,Acquaintance violence,,35-44,,Male
18.740169,13.77585143,486,Quarter,2017 Q1,K04000001,,,Flats/maisonettes,,Incidence rate,,Acquaintance violence,,35-44,,Male
9.950169773,3.402726042,2195,Quarter,2017 Q1,K04000001,,,House,,Incidence rate,,Acquaintance violence,,35-44,,Male
-,-,-,Quarter,2017 Q1,K04000001,,,Other accommodation,,Incidence rate,,Acquaintance violence,,35-44,,Male
5.61222378,4.361172365,829,Quarter,2017 Q1,K04000001,,,Semi-detached house,,Incidence rate,,Acquaintance violence,,35-44,,Male
10.6724681,5.823324463,830,Quarter,2017 Q1,K04000001,,,Terraced house,,Incidence rate,,Acquaintance violence,,35-44,,Male
2.093372622,1.48507357,748,Quarter,2017 Q1,K04000001,,,Detached house,,Incidence rate,,Acquaintance violence,,45-54,,Male
6.960984915,3.665647239,430,Quarter,2017 Q1,K04000001,,,Flats/maisonettes,,Incidence rate,,Acquaintance violence,,45-54,,Male
12.65277066,3.583340253,2487,Quarter,2017 Q1,K04000001,,,House,,Incidence rate,,Acquaintance violence,,45-54,,Male
-,-,-,Quarter,2017 Q1,K04000001,,,Other accommodation,,Incidence rate,,Acquaintance violence,,45-54,,Male
11.51422973,6.242275817,928,Quarter,2017 Q1,K04000001,,,Semi-detached house,,Incidence rate,,Acquaintance violence,,45-54,,Male
23.65902865,8.211539423,811,Quarter,2017 Q1,K04000001,,,Terraced house,,Incidence rate,,Acquaintance violence,,45-54,,Male
11.38040603,7.362080496,856,Quarter,2017 Q1,K04000001,,,Detached house,,Incidence rate,,Acquaintance violence,,55-64,,Male
11.28867677,6.034366071,381,Quarter,2017 Q1,K04000001,,,Flats/maisonettes,,Incidence rate,,Acquaintance violence,,55-64,,Male
5.203583684,2.723985589,2330,Quarter,2017 Q1,K04000001,,,House,,Incidence rate,,Acquaintance violence,,55-64,,Male
-,-,-,Quarter,2017 Q1,K04000001,,,Other accommodation,,Incidence rate,,Acquaintance violence,,55-64,,Male
2.276058213,1.479217382,802,Quarter,2017 Q1,K04000001,,,Semi-detached house,,Incidence rate,,Acquaintance violence,,55-64,,Male
0.987236042,0.987857383,672,Quarter,2017 Q1,K04000001,,,Terraced house,,Incidence rate,,Acquaintance violence,,55-64,,Male
4.395442345,2.067140814,946,Quarter,2017 Q1,K04000001,,,Detached house,,Incidence rate,,Acquaintance violence,,65-74,,Male
4.59536471,3.475383525,330,Quarter,2017 Q1,K04000001,,,Flats/maisonettes,,Incidence rate,,Acquaintance violence,,65-74,,Male
3.739528089,1.296953648,2356,Quarter,2017 Q1,K04000001,,,House,,Incidence rate,,Acquaintance violence,,65-74,,Male
71.74532457,69.10050343,16,Quarter,2017 Q1,K04000001,,,Other accommodation,,Incidence rate,,Acquaintance violence,,65-74,,Male
1.559247807,1.09855085,810,Quarter,2017 Q1,K04000001,,,Semi-detached house,,Incidence rate,,Acquaintance violence,,65-74,,Male
5.706182205,3.671067059,600,Quarter,2017 Q1,K04000001,,,Terraced house,,Incidence rate,,Acquaintance violence,,65-74,,Male
2.146296127,2.144692625,675,Quarter,2017 Q1,K04000001,,,Detached house,,Incidence rate,,Acquaintance violence,,75+,,Male
3.932742078,3.928892449,218,Quarter,2017 Q1,K04000001,,,Flats/maisonettes,,Incidence rate,,Acquaintance violence,,75+,,Male
0.885601954,0.885413085,1663,Quarter,2017 Q1,K04000001,,,House,,Incidence rate,,Acquaintance violence,,75+,,Male
0,0,16,Quarter,2017 Q1,K04000001,,,Other accommodation,,Incidence rate,,Acquaintance violence,,75+,,Male
0,0,597,Quarter,2017 Q1,K04000001,,,Semi-detached house,,Incidence rate,,Acquaintance violence,,75+,,Male
0,0,391,Quarter,2017 Q1,K04000001,,,Terraced house,,Incidence rate,,Acquaintance violence,,75+,,Male
18.47589469,12.75468537,420,Quarter,2017 Q1,K04000001,,,Detached house,,Incidence rate,,Common assault with injury,,16-24,,All adults
25.21912424,9.02192936,499,Quarter,2017 Q1,K04000001,,,Flats/maisonettes,,Incidence rate,,Common assault with injury,,16-24,,All adults
14.63283453,4.028728529,2079,Quarter,2017 Q1,K04000001,,,House,,Incidence rate,,Common assault with injury,,16-24,,All adults
-,-,-,Quarter,2017 Q1,K04000001,,,Other accommodation,,Incidence rate,,Common assault with injury,,16-24,,All adults
15.50667719,7.084766816,738,Quarter,2017 Q1,K04000001,,,Semi-detached house,,Incidence rate,,Common assault with injury,,16-24,,All adults
12.06981646,3.930340915,921,Quarter,2017 Q1,K04000001,,,Terraced house,,Incidence rate,,Common assault with injury,,16-24,,All adults
5.410971646,1.654048783,8833,Quarter,2017 Q1,K04000001,,,Detached house,,Incidence rate,,Common assault with injury,,16+,,All adults
9.529347819,1.909762751,5294,Quarter,2017 Q1,K04000001,,,Flats/maisonettes,,Incidence rate,,Common assault with injury,,16+,,All adults
5.729290615,0.74563856,29953,Quarter,2017 Q1,K04000001,,,House,,Incidence rate,,Common assault with injury,,16+,,All adults
0,0,81,Quarter,2017 Q1,K04000001,,,Other accommodation,,Incidence rate,,Common assault with injury,,16+,,All adults
5.037018001,1.212713157,10904,Quarter,2017 Q1,K04000001,,,Semi-detached house,,Incidence rate,,Common assault with injury,,16+,,All adults
6.69942021,1.112212956,10216,Quarter,2017 Q1,K04000001,,,Terraced house,,Incidence rate,,Common assault with injury,,16+,,All adults
4.770752618,3.750348784,543,Quarter,2017 Q1,K04000001,,,Detached house,,Incidence rate,,Common assault with injury,,25-34,,All adults
8.830839563,3.218749003,1227,Quarter,2017 Q1,K04000001,,,Flats/maisonettes,,Incidence rate,,Common assault with injury,,25-34,,All adults
6.597677123,1.796777112,4068,Quarter,2017 Q1,K04000001,,,House,,Incidence rate,,Common assault with injury,,25-34,,All adults
-,-,-,Quarter,2017 Q1,K04000001,,,Other accommodation,,Incidence rate,,Common assault with injury,,25-34,,All adults
3.540503829,2.094499293,1505,Quarter,2017 Q1,K04000001,,,Semi-detached house,,Incidence rate,,Common assault with injury,,25-34,,All adults
9.333912043,3.101006744,2020,Quarter,2017 Q1,K04000001,,,Terraced house,,Incidence rate,,Common assault with injury,,25-34,,All adults
6.570509624,3.802544985,1196,Quarter,2017 Q1,K04000001,,,Detached house,,Incidence rate,,Common assault with injury,,35-44,,All adults
7.812328145,3.615263988,930,Quarter,2017 Q1,K04000001,,,Flats/maisonettes,,Incidence rate,,Common assault with injury,,35-44,,All adults
5.434130316,1.506528331,4862,Quarter,2017 Q1,K04000001,,,House,,Incidence rate,,Common assault with injury,,35-44,,All adults
-,-,-,Quarter,2017 Q1,K04000001,,,Other accommodation,,Incidence rate,,Common assault with injury,,35-44,,All adults
4.840662073,2.286560007,1832,Quarter,2017 Q1,K04000001,,,Semi-detached house,,Incidence rate,,Common assault with injury,,35-44,,All adults
5.275197398,2.147700283,1834,Quarter,2017 Q1,K04000001,,,Terraced house,,Incidence rate,,Common assault with injury,,35-44,,All adults
7.386930817,4.384582799,1590,Quarter,2017 Q1,K04000001,,,Detached house,,Incidence rate,,Common assault with injury,,45-54,,All adults
7.986094228,4.809266198,767,Quarter,2017 Q1,K04000001,,,Flats/maisonettes,,Incidence rate,,Common assault with injury,,45-54,,All adults
7.81208616,2.021725811,5403,Quarter,2017 Q1,K04000001,,,House,,Incidence rate,,Common assault with injury,,45-54,,All adults
-,-,-,Quarter,2017 Q1,K04000001,,,Other accommodation,,Incidence rate,,Common assault with injury,,45-54,,All adults
8.32110029,3.518214651,2005,Quarter,2017 Q1,K04000001,,,Semi-detached house,,Incidence rate,,Common assault with injury,,45-54,,All adults
7.608776762,2.471008026,1808,Quarter,2017 Q1,K04000001,,,Terraced house,,Incidence rate,,Common assault with injury,,45-54,,All adults
4.490567665,1.91955335,1762,Quarter,2017 Q1,K04000001,,,Detached house,,Incidence rate,,Common assault with injury,,55-64,,All adults
4.947208879,3.035763675,684,Quarter,2017 Q1,K04000001,,,Flats/maisonettes,,Incidence rate,,Common assault with injury,,55-64,,All adults
2.743223355,0.912607639,4954,Quarter,2017 Q1,K04000001,,,House,,Incidence rate,,Common assault with injury,,55-64,,All adults
0,0,11,Quarter,2017 Q1,K04000001,,,Other accommodation,,Incidence rate,,Common assault with injury,,55-64,,All adults
1.242464738,0.975243951,1748,Quarter,2017 Q1,K04000001,,,Semi-detached house,,Incidence rate,,Common assault with injury,,55-64,,All adults
2.477125023,1.754933682,1444,Quarter,2017 Q1,K04000001,,,Terraced house,,Incidence rate,,Common assault with injury,,55-64,,All adults
0.548097491,0.547837771,1910,Quarter,2017 Q1,K04000001,,,Detached house,,Incidence rate,,Common assault with injury,,65-74,,All adults
3.624831627,2.186784504,638,Quarter,2017 Q1,K04000001,,,Flats/maisonettes,,Incidence rate,,Common assault with injury,,65-74,,All adults
0.980671091,0.442314108,4913,Quarter,2017 Q1,K04000001,,,House,,Incidence rate,,Common assault with injury,,65-74,,All adults
0,0,31,Quarter,2017 Q1,K04000001,,,Other accommodation,,Incidence rate,,Common assault with injury,,65-74,,All adults
0.216717397,0.216635319,1681,Quarter,2017 Q1,K04000001,,,Semi-detached house,,Incidence rate,,Common assault with injury,,65-74,,All adults
2.636840675,1.446088506,1322,Quarter,2017 Q1,K04000001,,,Terraced house,,Incidence rate,,Common assault with injury,,65-74,,All adults
0,0,1412,Quarter,2017 Q1,K04000001,,,Detached house,,Incidence rate,,Common assault with injury,,75+,,All adults
0,0,549,Quarter,2017 Q1,K04000001,,,Flats/maisonettes,,Incidence rate,,Common assault with injury,,75+,,All adults
0,0,3674,Quarter,2017 Q1,K04000001,,,House,,Incidence rate,,Common assault with injury,,75+,,All adults
0,0,23,Quarter,2017 Q1,K04000001,,,Other accommodation,,Incidence rate,,Common assault with injury,,75+,,All adults
0,0,1395,Quarter,2017 Q1,K04000001,,,Semi-detached house,,Incidence rate,,Common assault with injury,,75+,,All adults
0,0,867,Quarter,2017 Q1,K04000001,,,Terraced house,,Incidence rate,,Common assault with injury,,75+,,All adults
0,0,211,Quarter,2017 Q1,K04000001,,,Detached house,,Incidence rate,,Common assault with injury,,16-24,,Female
12.23435616,5.961978105,273,Quarter,2017 Q1,K04000001,,,Flats/maisonettes,,Incidence rate,,Common assault with injury,,16-24,,Female
5.558133006,2.524419667,1086,Quarter,2017 Q1,K04000001,,,House,,Incidence rate,,Common assault with injury,,16-24,,Female
-,-,-,Quarter,2017 Q1,K04000001,,,Other accommodation,,Incidence rate,,Common assault with injury,,16-24,,Female
3.148658528,3.146357186,393,Quarter,2017 Q1,K04000001,,,Semi-detached house,,Incidence rate,,Common assault with injury,,16-24,,Female
10.27981839,5.251173926,482,Quarter,2017 Q1,K04000001,,,Terraced house,,Incidence rate,,Common assault with injury,,16-24,,Female
3.490607574,1.72742153,4622,Quarter,2017 Q1,K04000001,,,Detached house,,Incidence rate,,Common assault with injury,,16+,,Female
9.979275881,2.588967617,2634,Quarter,2017 Q1,K04000001,,,Flats/maisonettes,,Incidence rate,,Common assault with injury,,16+,,Female
4.262027599,0.810215032,16260,Quarter,2017 Q1,K04000001,,,House,,Incidence rate,,Common assault with injury,,16+,,Female
0,0,37,Quarter,2017 Q1,K04000001,,,Other accommodation,,Incidence rate,,Common assault with injury,,16+,,Female
3.724414571,1.078751872,5985,Quarter,2017 Q1,K04000001,,,Semi-detached house,,Incidence rate,,Common assault with injury,,16+,,Female
5.444098897,1.467906553,5653,Quarter,2017 Q1,K04000001,,,Terraced house,,Incidence rate,,Common assault with injury,,16+,,Female
0,0,302,Quarter,2017 Q1,K04000001,,,Detached house,,Incidence rate,,Common assault with injury,,25-34,,Female
14.35050747,6.319278521,638,Quarter,2017 Q1,K04000001,,,Flats/maisonettes,,Incidence rate,,Common assault with injury,,25-34,,Female
5.448997851,2.516456062,2399,Quarter,2017 Q1,K04000001,,,House,,Incidence rate,,Common assault with injury,,25-34,,Female
5.251730482,3.713823332,897,Quarter,2017 Q1,K04000001,,,Semi-detached house,,Incidence rate,,Common assault with injury,,25-34,,Female
7.09238038,4.256218749,1200,Quarter,2017 Q1,K04000001,,,Terraced house,,Incidence rate,,Common assault with injury,,25-34,,Female
2.720275229,2.720521746,660,Quarter,2017 Q1,K04000001,,,Detached house,,Incidence rate,,Common assault with injury,,35-44,,Female
12.96429784,7.171432746,444,Quarter,2017 Q1,K04000001,,,Flats/maisonettes,,Incidence rate,,Common assault with injury,,35-44,,Female
5.875572009,2.20569404,2667,Quarter,2017 Q1,K04000001,,,House,,Incidence rate,,Common assault with injury,,35-44,,Female
-,-,-,Quarter,2017 Q1,K04000001,,,Other accommodation,,Incidence rate,,Common assault with injury,,35-44,,Female
7.616463774,4.271687316,1003,Quarter,2017 Q1,K04000001,,,Semi-detached house,,Incidence rate,,Common assault with injury,,35-44,,Female
