V4_2,Standard Error,Unweighted Count,Time_codelist,Time,Geography_codelist,Geography,Total household income_codelist,Total household income,Measurement Type_codelist,Measurement Type,Crime Type_codelist,Crime Type,Age_codelist,Age,Sex_codelist,Sex
38.10066978,31.8037343,169,Quarter,2017 Q1,K04000001,,,"20,000-29,999",,Incidence rate,,Acquaintance violence,,16-24,,Female
0.0,0.0,119,Quarter,2017 Q1,K04000001,,,"30,000-39,999",,Incidence rate,,Acquaintance violence,,16-24,,Female
25.95055402,18.74809337,75,Quarter,2017 Q1,K04000001,,,"40,000-49,999",,Incidence rate,,Acquaintance violence,,16-24,,Female
6.49036563,6.473755242,178,Quarter,2017 Q1,K04000001,,,"50,000 or more",,Incidence rate,,Acquaintance violence,,16-24,,Female
11.05150769,5.819167216,405,Quarter,2017 Q1,K04000001,,,No income stated or not enough information provided,,Incidence rate,,Acquaintance violence,,16-24,,Female
17.69275264,17.68915003,174,Quarter,2017 Q1,K04000001,,,"Under 10,000",,Incidence rate,,Acquaintance violence,,16-24,,Female
6.550019746,1.521894853,3979,Quarter,2017 Q1,K04000001,,,"10,000-19,999",,Incidence rate,,Acquaintance violence,,16+,,Female
15.07355129,5.173536633,2782,Quarter,2017 Q1,K04000001,,,"20,000-29,999",,Incidence rate,,Acquaintance violence,,16+,,Female
11.34765355,4.491752605,2029,Quarter,2017 Q1,K04000001,,,"30,000-39,999",,Incidence rate,,Acquaintance violence,,16+,,Female
10.83760354,3.952460501000001,1406,Quarter,2017 Q1,K04000001,,,"40,000-49,999",,Incidence rate,,Acquaintance violence,,16+,,Female
6.7855451539999985,2.242130581,3259,Quarter,2017 Q1,K04000001,,,"50,000 or more",,Incidence rate,,Acquaintance violence,,16+,,Female
4.173771413,1.472960619,3396,Quarter,2017 Q1,K04000001,,,No income stated or not enough information provided,,Incidence rate,,Acquaintance violence,,16+,,Female
12.26624706,4.497989875,2129,Quarter,2017 Q1,K04000001,,,"Under 10,000",,Incidence rate,,Acquaintance violence,,16+,,Female
6.71447513,3.588188125,598,Quarter,2017 Q1,K04000001,,,"10,000-19,999",,Incidence rate,,Acquaintance violence,,25-34,,Female
24.29322459,12.65457159,486,Quarter,2017 Q1,K04000001,,,"20,000-29,999",,Incidence rate,,Acquaintance violence,,25-34,,Female
6.757735824,6.7589404910000015,417,Quarter,2017 Q1,K04000001,,,"30,000-39,999",,Incidence rate,,Acquaintance violence,,25-34,,Female
7.169551619,5.060735117,318,Quarter,2017 Q1,K04000001,,,"40,000-49,999",,Incidence rate,,Acquaintance violence,,25-34,,Female
3.830502603,2.2852547480000003,612,Quarter,2017 Q1,K04000001,,,"50,000 or more",,Incidence rate,,Acquaintance violence,,25-34,,Female
2.5281254680000003,2.527467922,354,Quarter,2017 Q1,K04000001,,,No income stated or not enough information provided,,Incidence rate,,Acquaintance violence,,25-34,,Female
34.6775158,22.851472,258,Quarter,2017 Q1,K04000001,,,"Under 10,000",,Incidence rate,,Acquaintance violence,,25-34,,Female
14.82047079,6.48195275,464,Quarter,2017 Q1,K04000001,,,"10,000-19,999",,Incidence rate,,Acquaintance violence,,35-44,,Female
5.136570216,5.141034089,440,Quarter,2017 Q1,K04000001,,,"20,000-29,999",,Incidence rate,,Acquaintance violence,,35-44,,Female
13.95033442,7.785982975,396,Quarter,2017 Q1,K04000001,,,"30,000-39,999",,Incidence rate,,Acquaintance violence,,35-44,,Female
0.0,0.0,309,Quarter,2017 Q1,K04000001,,,"40,000-49,999",,Incidence rate,,Acquaintance violence,,35-44,,Female
2.876492008,1.690265173,915,Quarter,2017 Q1,K04000001,,,"50,000 or more",,Incidence rate,,Acquaintance violence,,35-44,,Female
4.225472528,4.232037008,397,Quarter,2017 Q1,K04000001,,,No income stated or not enough information provided,,Incidence rate,,Acquaintance violence,,35-44,,Female
21.24081744,16.59625186,207,Quarter,2017 Q1,K04000001,,,"Under 10,000",,Incidence rate,,Acquaintance violence,,35-44,,Female
6.6494299460000015,4.047533701,525,Quarter,2017 Q1,K04000001,,,"10,000-19,999",,Incidence rate,,Acquaintance violence,,45-54,,Female
25.44890213,16.31077975,491,Quarter,2017 Q1,K04000001,,,"20,000-29,999",,Incidence rate,,Acquaintance violence,,45-54,,Female
29.09938174,21.06621226,377,Quarter,2017 Q1,K04000001,,,"30,000-39,999",,Incidence rate,,Acquaintance violence,,45-54,,Female
11.41068115,9.030787276,304,Quarter,2017 Q1,K04000001,,,"40,000-49,999",,Incidence rate,,Acquaintance violence,,45-54,,Female
12.18340683,7.268296374,861,Quarter,2017 Q1,K04000001,,,"50,000 or more",,Incidence rate,,Acquaintance violence,,45-54,,Female
4.371180658,3.206696297,465,Quarter,2017 Q1,K04000001,,,No income stated or not enough information provided,,Incidence rate,,Acquaintance violence,,45-54,,Female
24.44350227,18.55156493,241,Quarter,2017 Q1,K04000001,,,"Under 10,000",,Incidence rate,,Acquaintance violence,,45-54,,Female
4.9199248980000005,2.886422492,596,Quarter,2017 Q1,K04000001,,,"10,000-19,999",,Incidence rate,,Acquaintance violence,,55-64,,Female
10.22123739,10.22555301,450,Quarter,2017 Q1,K04000001,,,"20,000-29,999",,Incidence rate,,Acquaintance violence,,55-64,,Female
12.9295474,6.801657929,349,Quarter,2017 Q1,K04000001,,,"30,000-39,999",,Incidence rate,,Acquaintance violence,,55-64,,Female
29.78978243,18.67272029,231,Quarter,2017 Q1,K04000001,,,"40,000-49,999",,Incidence rate,,Acquaintance violence,,55-64,,Female
10.80221333,5.474567219,468,Quarter,2017 Q1,K04000001,,,"50,000 or more",,Incidence rate,,Acquaintance violence,,55-64,,Female
2.122443437,2.123145967,521,Quarter,2017 Q1,K04000001,,,No income stated or not enough information provided,,Incidence rate,,Acquaintance violence,,55-64,,Female
3.346354312,3.342217086,329,Quarter,2017 Q1,K04000001,,,"Under 10,000",,Incidence rate,,Acquaintance violence,,55-64,,Female
0.0,0.0,795,Quarter,2017 Q1,K04000001,,,"10,000-19,999",,Incidence rate,,Acquaintance violence,,65-74,,Female
1.385605574,1.385401235,482,Quarter,2017 Q1,K04000001,,,"20,000-29,999",,Incidence rate,,Acquaintance violence,,65-74,,Female
0.0,0.0,262,Quarter,2017 Q1,K04000001,,,"30,000-39,999",,Incidence rate,,Acquaintance violence,,65-74,,Female
0.0,0.0,123,Quarter,2017 Q1,K04000001,,,"40,000-49,999",,Incidence rate,,Acquaintance violence,,65-74,,Female
0.0,0.0,173,Quarter,2017 Q1,K04000001,,,"50,000 or more",,Incidence rate,,Acquaintance violence,,65-74,,Female
0.975513806,0.975996697,603,Quarter,2017 Q1,K04000001,,,No income stated or not enough information provided,,Incidence rate,,Acquaintance violence,,65-74,,Female
0.0,0.0,446,Quarter,2017 Q1,K04000001,,,"Under 10,000",,Incidence rate,,Acquaintance violence,,65-74,,Female
0.857113373,0.856635835,760,Quarter,2017 Q1,K04000001,,,"10,000-19,999",,Incidence rate,,Acquaintance violence,,75+,,Female
0.0,0.0,264,Quarter,2017 Q1,K04000001,,,"20,000-29,999",,Incidence rate,,Acquaintance violence,,75+,,Female
0.0,0.0,109,Quarter,2017 Q1,K04000001,,,"30,000-39,999",,Incidence rate,,Acquaintance violence,,75+,,Female
0.0,0.0,46,Quarter,2017 Q1,K04000001,,,"40,000-49,999",,Incidence rate,,Acquaintance violence,,75+,,Female
0.0,0.0,52,Quarter,2017 Q1,K04000001,,,"50,000 or more",,Incidence rate,,Acquaintance violence,,75+,,Female
0.0,0.0,651,Quarter,2017 Q1,K04000001,,,No income stated or not enough information provided,,Incidence rate,,Acquaintance violence,,75+,,Female
2.4656866230000003,2.465744551,474,Quarter,2017 Q1,K04000001,,,"Under 10,000",,Incidence rate,,Acquaintance violence,,75+,,Female
52.58066707,33.1233353,165,Quarter,2017 Q1,K04000001,,,"10,000-19,999",,Incidence rate,,Acquaintance violence,,16-24,,Male
56.92769299,33.94123975,153,Quarter,2017 Q1,K04000001,,,"20,000-29,999",,Incidence rate,,Acquaintance violence,,16-24,,Male
22.24310159,13.99944597,108,Quarter,2017 Q1,K04000001,,,"30,000-39,999",,Incidence rate,,Acquaintance violence,,16-24,,Male
49.58700838,30.44557798,93,Quarter,2017 Q1,K04000001,,,"40,000-49,999",,Incidence rate,,Acquaintance violence,,16-24,,Male
31.26835958,21.7151574,199,Quarter,2017 Q1,K04000001,,,"50,000 or more",,Incidence rate,,Acquaintance violence,,16-24,,Male
14.77950167,7.949704112,421,Quarter,2017 Q1,K04000001,,,No income stated or not enough information provided,,Incidence rate,,Acquaintance violence,,16-24,,Male
2.472921842,2.487936272,86,Quarter,2017 Q1,K04000001,,,"Under 10,000",,Incidence rate,,Acquaintance violence,,16-24,,Male
12.21615602,3.958314701,2920,Quarter,2017 Q1,K04000001,,,"10,000-19,999",,Incidence rate,,Acquaintance violence,,16+,,Male
8.998996288999999,3.999934921,2504,Quarter,2017 Q1,K04000001,,,"20,000-29,999",,Incidence rate,,Acquaintance violence,,16+,,Male
13.25437737,4.252220076,2016,Quarter,2017 Q1,K04000001,,,"30,000-39,999",,Incidence rate,,Acquaintance violence,,16+,,Male
13.4487329,4.884843438,1554,Quarter,2017 Q1,K04000001,,,"40,000-49,999",,Incidence rate,,Acquaintance violence,,16+,,Male
7.832376516,2.745117668,3557,Quarter,2017 Q1,K04000001,,,"50,000 or more",,Incidence rate,,Acquaintance violence,,16+,,Male
14.85778934,4.794682739,2649,Quarter,2017 Q1,K04000001,,,No income stated or not enough information provided,,Incidence rate,,Acquaintance violence,,16+,,Male
12.20320203,3.389647376,1234,Quarter,2017 Q1,K04000001,,,"Under 10,000",,Incidence rate,,Acquaintance violence,,16+,,Male
21.39529144,11.8611209,295,Quarter,2017 Q1,K04000001,,,"10,000-19,999",,Incidence rate,,Acquaintance violence,,25-34,,Male
2.675127824,2.673048537,376,Quarter,2017 Q1,K04000001,,,"20,000-29,999",,Incidence rate,,Acquaintance violence,,25-34,,Male
3.630912952,3.624494914,344,Quarter,2017 Q1,K04000001,,,"30,000-39,999",,Incidence rate,,Acquaintance violence,,25-34,,Male
2.29725134,2.297239283,274,Quarter,2017 Q1,K04000001,,,"40,000-49,999",,Incidence rate,,Acquaintance violence,,25-34,,Male
5.573038011,3.5807135860000003,568,Quarter,2017 Q1,K04000001,,,"50,000 or more",,Incidence rate,,Acquaintance violence,,25-34,,Male
30.187285600000006,19.93306516,319,Quarter,2017 Q1,K04000001,,,No income stated or not enough information provided,,Incidence rate,,Acquaintance violence,,25-34,,Male
20.25082046,14.81759897,88,Quarter,2017 Q1,K04000001,,,"Under 10,000",,Incidence rate,,Acquaintance violence,,25-34,,Male
5.912159404,4.35097301,292,Quarter,2017 Q1,K04000001,,,"10,000-19,999",,Incidence rate,,Acquaintance violence,,35-44,,Male
0.0,0.0,345,Quarter,2017 Q1,K04000001,,,"20,000-29,999",,Incidence rate,,Acquaintance violence,,35-44,,Male
20.54946863,14.52258378,365,Quarter,2017 Q1,K04000001,,,"30,000-39,999",,Incidence rate,,Acquaintance violence,,35-44,,Male
22.77572658,15.86629697,314,Quarter,2017 Q1,K04000001,,,"40,000-49,999",,Incidence rate,,Acquaintance violence,,35-44,,Male
5.8949222610000005,2.681084599,896,Quarter,2017 Q1,K04000001,,,"50,000 or more",,Incidence rate,,Acquaintance violence,,35-44,,Male
21.65457667,17.34367393,338,Quarter,2017 Q1,K04000001,,,No income stated or not enough information provided,,Incidence rate,,Acquaintance violence,,35-44,,Male
14.564549800000002,12.18988457,136,Quarter,2017 Q1,K04000001,,,"Under 10,000",,Incidence rate,,Acquaintance violence,,35-44,,Male
1.378400659,1.380167394,330,Quarter,2017 Q1,K04000001,,,"10,000-19,999",,Incidence rate,,Acquaintance violence,,45-54,,Male
6.997519934,4.481237165,366,Quarter,2017 Q1,K04000001,,,"20,000-29,999",,Incidence rate,,Acquaintance violence,,45-54,,Male
32.58226538,15.45994459,393,Quarter,2017 Q1,K04000001,,,"30,000-39,999",,Incidence rate,,Acquaintance violence,,45-54,,Male
14.01095059,8.625399124,346,Quarter,2017 Q1,K04000001,,,"40,000-49,999",,Incidence rate,,Acquaintance violence,,45-54,,Male
0.0,0.0,904,Quarter,2017 Q1,K04000001,,,"50,000 or more",,Incidence rate,,Acquaintance violence,,45-54,,Male
24.18209429,14.23624459,394,Quarter,2017 Q1,K04000001,,,No income stated or not enough information provided,,Incidence rate,,Acquaintance violence,,45-54,,Male
33.17973446,14.10430839,199,Quarter,2017 Q1,K04000001,,,"Under 10,000",,Incidence rate,,Acquaintance violence,,45-54,,Male
1.774238117,1.775891752,456,Quarter,2017 Q1,K04000001,,,"10,000-19,999",,Incidence rate,,Acquaintance violence,,55-64,,Male
7.209239927,5.143448357,398,Quarter,2017 Q1,K04000001,,,"20,000-29,999",,Incidence rate,,Acquaintance violence,,55-64,,Male
1.674765475,1.677995602,314,Quarter,2017 Q1,K04000001,,,"30,000-39,999",,Incidence rate,,Acquaintance violence,,55-64,,Male
2.195808374,2.198794144,282,Quarter,2017 Q1,K04000001,,,"40,000-49,999",,Incidence rate,,Acquaintance violence,,55-64,,Male
11.90823119,8.454219413999999,622,Quarter,2017 Q1,K04000001,,,"50,000 or more",,Incidence rate,,Acquaintance violence,,55-64,,Male
0.0,0.0,390,Quarter,2017 Q1,K04000001,,,No income stated or not enough information provided,,Incidence rate,,Acquaintance violence,,55-64,,Male
13.77609931,8.566352415,258,Quarter,2017 Q1,K04000001,,,"Under 10,000",,Incidence rate,,Acquaintance violence,,55-64,,Male
11.01803459,4.190010965,764,Quarter,2017 Q1,K04000001,,,"10,000-19,999",,Incidence rate,,Acquaintance violence,,65-74,,Male
0.608202067,0.608551873,538,Quarter,2017 Q1,K04000001,,,"20,000-29,999",,Incidence rate,,Acquaintance violence,,65-74,,Male
1.5035159930000002,1.50394296,317,Quarter,2017 Q1,K04000001,,,"30,000-39,999",,Incidence rate,,Acquaintance violence,,65-74,,Male
0.0,0.0,160,Quarter,2017 Q1,K04000001,,,"40,000-49,999",,Incidence rate,,Acquaintance violence,,65-74,,Male
6.679782033,4.722189272,262,Quarter,2017 Q1,K04000001,,,"50,000 or more",,Incidence rate,,Acquaintance violence,,65-74,,Male
0.0,0.0,429,Quarter,2017 Q1,K04000001,,,No income stated or not enough information provided,,Incidence rate,,Acquaintance violence,,65-74,,Male
3.526345579,3.526079618,238,Quarter,2017 Q1,K04000001,,,"Under 10,000",,Incidence rate,,Acquaintance violence,,65-74,,Male
2.568221933,2.566446391,618,Quarter,2017 Q1,K04000001,,,"10,000-19,999",,Incidence rate,,Acquaintance violence,,75+,,Male
0.0,0.0,328,Quarter,2017 Q1,K04000001,,,"20,000-29,999",,Incidence rate,,Acquaintance violence,,75+,,Male
0.0,0.0,175,Quarter,2017 Q1,K04000001,,,"30,000-39,999",,Incidence rate,,Acquaintance violence,,75+,,Male
0.0,0.0,85,Quarter,2017 Q1,K04000001,,,"40,000-49,999",,Incidence rate,,Acquaintance violence,,75+,,Male
0.0,0.0,106,Quarter,2017 Q1,K04000001,,,"50,000 or more",,Incidence rate,,Acquaintance violence,,75+,,Male
1.962576852,1.962574141,358,Quarter,2017 Q1,K04000001,,,No income stated or not enough information provided,,Incidence rate,,Acquaintance violence,,75+,,Male
0.0,0.0,229,Quarter,2017 Q1,K04000001,,,"Under 10,000",,Incidence rate,,Acquaintance violence,,75+,,Male
9.870584464,5.422010507,406,Quarter,2017 Q1,K04000001,,,"10,000-19,999",,Incidence rate,,Common assault with injury,,16-24,,All adults
33.84439115,16.33540033,322,Quarter,2017 Q1,K04000001,,,"20,000-29,999",,Incidence rate,,Common assault with injury,,16-24,,All adults
11.90956863,8.436416742,227,Quarter,2017 Q1,K04000001,,,"30,000-39,999",,Incidence rate,,Common assault with injury,,16-24,,All adults
40.27255158,20.00623613,168,Quarter,2017 Q1,K04000001,,,"40,000-49,999",,Incidence rate,,Common assault with injury,,16-24,,All adults
15.54374775,11.64141203,377,Quarter,2017 Q1,K04000001,,,"50,000 or more",,Incidence rate,,Common assault with injury,,16-24,,All adults
5.885536382000001,3.85542682,826,Quarter,2017 Q1,K04000001,,,No income stated or not enough information provided,,Incidence rate,,Common assault with injury,,16-24,,All adults
39.05907563,17.15758463,260,Quarter,2017 Q1,K04000001,,,"Under 10,000",,Incidence rate,,Common assault with injury,,16-24,,All adults
3.888456637,0.971333731,6899,Quarter,2017 Q1,K04000001,,,"10,000-19,999",,Incidence rate,,Common assault with injury,,16+,,All adults
7.832348819,2.090868084,5286,Quarter,2017 Q1,K04000001,,,"20,000-29,999",,Incidence rate,,Common assault with injury,,16+,,All adults
10.38547207,2.708972555,4045,Quarter,2017 Q1,K04000001,,,"30,000-39,999",,Incidence rate,,Common assault with injury,,16+,,All adults
6.137678436,2.292686812,2960,Quarter,2017 Q1,K04000001,,,"40,000-49,999",,Incidence rate,,Common assault with injury,,16+,,All adults
4.630286432,1.487605871,6816,Quarter,2017 Q1,K04000001,,,"50,000 or more",,Incidence rate,,Common assault with injury,,16+,,All adults
3.291233632,1.300131723,6045,Quarter,2017 Q1,K04000001,,,No income stated or not enough information provided,,Incidence rate,,Common assault with injury,,16+,,All adults
15.79879488,3.639967002,3363,Quarter,2017 Q1,K04000001,,,"Under 10,000",,Incidence rate,,Common assault with injury,,16+,,All adults
6.860536947999999,3.183808672,893,Quarter,2017 Q1,K04000001,,,"10,000-19,999",,Incidence rate,,Common assault with injury,,25-34,,All adults
7.858496679,4.448511543,862,Quarter,2017 Q1,K04000001,,,"20,000-29,999",,Incidence rate,,Common assault with injury,,25-34,,All adults
13.45907402,6.342211002999999,761,Quarter,2017 Q1,K04000001,,,"30,000-39,999",,Incidence rate,,Common assault with injury,,25-34,,All adults
3.256510239,2.383500449,592,Quarter,2017 Q1,K04000001,,,"40,000-49,999",,Incidence rate,,Common assault with injury,,25-34,,All adults
3.014389067,2.126712651,1180,Quarter,2017 Q1,K04000001,,,"50,000 or more",,Incidence rate,,Common assault with injury,,25-34,,All adults
0.912999572,0.913177486,673,Quarter,2017 Q1,K04000001,,,No income stated or not enough information provided,,Incidence rate,,Common assault with injury,,25-34,,All adults
39.0141001,17.34883175,346,Quarter,2017 Q1,K04000001,,,"Under 10,000",,Incidence rate,,Common assault with injury,,25-34,,All adults
4.348939803,3.563713873,756,Quarter,2017 Q1,K04000001,,,"10,000-19,999",,Incidence rate,,Common assault with injury,,35-44,,All adults
4.779062528,2.9080729260000004,785,Quarter,2017 Q1,K04000001,,,"20,000-29,999",,Incidence rate,,Common assault with injury,,35-44,,All adults
16.76103772,7.155225695,761,Quarter,2017 Q1,K04000001,,,"30,000-39,999",,Incidence rate,,Common assault with injury,,35-44,,All adults
0.0,0.0,623,Quarter,2017 Q1,K04000001,,,"40,000-49,999",,Incidence rate,,Common assault with injury,,35-44,,All adults
3.5444613410000003,1.977319899,1811,Quarter,2017 Q1,K04000001,,,"50,000 or more",,Incidence rate,,Common assault with injury,,35-44,,All adults
1.264442651,1.264091075,735,Quarter,2017 Q1,K04000001,,,No income stated or not enough information provided,,Incidence rate,,Common assault with injury,,35-44,,All adults
25.66992231,12.20777179,343,Quarter,2017 Q1,K04000001,,,"Under 10,000",,Incidence rate,,Common assault with injury,,35-44,,All adults
4.6027233160000005,2.750574068,855,Quarter,2017 Q1,K04000001,,,"10,000-19,999",,Incidence rate,,Common assault with injury,,45-54,,All adults
10.07423114,3.658118262,857,Quarter,2017 Q1,K04000001,,,"20,000-29,999",,Incidence rate,,Common assault with injury,,45-54,,All adults
