V4_2,Standard Error,Unweighted Count,Time_codelist,Time,Geography_codelist,Geography,Type of area (urban/rural)_codelist,Type of area (urban/rural),Measurement Type_codelist,Measurement Type,Crime Type_codelist,Crime Type,Age_codelist,Age,Sex_codelist,Sex
3.867772867,3.872429984,421,Quarter,2017 Q1,K04000001,,,Rural,,Incidence rate,,Acquaintance violence,,25-34,,Female
10.48896614,3.281722114,2623,Quarter,2017 Q1,K04000001,,,Urban,,Incidence rate,,Acquaintance violence,,25-34,,Female
4.297081661,4.287627914,575,Quarter,2017 Q1,K04000001,,,Rural,,Incidence rate,,Acquaintance violence,,35-44,,Female
7.332445218,2.037882415,2553,Quarter,2017 Q1,K04000001,,,Urban,,Incidence rate,,Acquaintance violence,,35-44,,Female
25.79176109,11.69513894,740,Quarter,2017 Q1,K04000001,,,Rural,,Incidence rate,,Acquaintance violence,,45-54,,Female
11.78257706,4.501736187,2524,Quarter,2017 Q1,K04000001,,,Urban,,Incidence rate,,Acquaintance violence,,45-54,,Female
16.69213035,8.431289116,728,Quarter,2017 Q1,K04000001,,,Rural,,Incidence rate,,Acquaintance violence,,55-64,,Female
7.109577515,2.397051259,2216,Quarter,2017 Q1,K04000001,,,Urban,,Incidence rate,,Acquaintance violence,,55-64,,Female
0.915801212,0.915638352,756,Quarter,2017 Q1,K04000001,,,Rural,,Incidence rate,,Acquaintance violence,,65-74,,Female
0.31880396,0.318818163,2128,Quarter,2017 Q1,K04000001,,,Urban,,Incidence rate,,Acquaintance violence,,65-74,,Female
0,0,586,Quarter,2017 Q1,K04000001,,,Rural,,Incidence rate,,Acquaintance violence,,75+,,Female
0.887699007,0.64316966,1770,Quarter,2017 Q1,K04000001,,,Urban,,Incidence rate,,Acquaintance violence,,75+,,Female
54.67110107,32.61778783,178,Quarter,2017 Q1,K04000001,,,Rural,,Incidence rate,,Acquaintance violence,,16-24,,Male
25.49846231,7.447856618,1047,Quarter,2017 Q1,K04000001,,,Urban,,Incidence rate,,Acquaintance violence,,16-24,,Male
14.98949967,4.418550706,3453,Quarter,2017 Q1,K04000001,,,Rural,,Incidence rate,,Acquaintance violence,,16+,,Male
10.66129286,1.649601643,12984,Quarter,2017 Q1,K04000001,,,Urban,,Incidence rate,,Acquaintance violence,,16+,,Male
12.13983249,10.01026617,310,Quarter,2017 Q1,K04000001,,,Rural,,Incidence rate,,Acquaintance violence,,25-34,,Male
11.1784227,4.382833407,1955,Quarter,2017 Q1,K04000001,,,Urban,,Incidence rate,,Acquaintance violence,,25-34,,Male
26.08991766,15.89997784,430,Quarter,2017 Q1,K04000001,,,Rural,,Incidence rate,,Acquaintance violence,,35-44,,Male
9.101710305,3.44737505,2258,Quarter,2017 Q1,K04000001,,,Urban,,Incidence rate,,Acquaintance violence,,35-44,,Male
6.091454215,2.766024738,650,Quarter,2017 Q1,K04000001,,,Rural,,Incidence rate,,Acquaintance violence,,45-54,,Male
13.40122814,3.917605452,2282,Quarter,2017 Q1,K04000001,,,Urban,,Incidence rate,,Acquaintance violence,,45-54,,Male
13.62456382,10.91085431,637,Quarter,2017 Q1,K04000001,,,Rural,,Incidence rate,,Acquaintance violence,,55-64,,Male
3.781493617,1.341473162,2083,Quarter,2017 Q1,K04000001,,,Urban,,Incidence rate,,Acquaintance violence,,55-64,,Male
6.895967098,3.629682021,762,Quarter,2017 Q1,K04000001,,,Rural,,Incidence rate,,Acquaintance violence,,65-74,,Male
3.265964944,1.162052137,1946,Quarter,2017 Q1,K04000001,,,Urban,,Incidence rate,,Acquaintance violence,,65-74,,Male
0,0,486,Quarter,2017 Q1,K04000001,,,Rural,,Incidence rate,,Acquaintance violence,,75+,,Male
1.544211224,1.146684873,1413,Quarter,2017 Q1,K04000001,,,Urban,,Incidence rate,,Acquaintance violence,,75+,,Male
19.31984805,15.11193336,394,Quarter,2017 Q1,K04000001,,,Rural,,Incidence rate,,Common assault with injury,,16-24,,All adults
15.94489687,3.621547973,2194,Quarter,2017 Q1,K04000001,,,Urban,,Incidence rate,,Common assault with injury,,16-24,,All adults
6.024711268,1.881437813,7475,Quarter,2017 Q1,K04000001,,,Rural,,Incidence rate,,Common assault with injury,,16+,,All adults
6.2987042,0.741790186,27945,Quarter,2017 Q1,K04000001,,,Urban,,Incidence rate,,Common assault with injury,,16+,,All adults
3.140671915,2.287010044,731,Quarter,2017 Q1,K04000001,,,Rural,,Incidence rate,,Common assault with injury,,25-34,,All adults
7.586694,1.735059948,4578,Quarter,2017 Q1,K04000001,,,Urban,,Incidence rate,,Common assault with injury,,25-34,,All adults
6.33674507,4.938357992,1005,Quarter,2017 Q1,K04000001,,,Rural,,Incidence rate,,Common assault with injury,,35-44,,All adults
5.683016893,1.384025501,4811,Quarter,2017 Q1,K04000001,,,Urban,,Incidence rate,,Common assault with injury,,35-44,,All adults
8.734578088,3.963002398,1390,Quarter,2017 Q1,K04000001,,,Rural,,Incidence rate,,Common assault with injury,,45-54,,All adults
7.568633735,2.118478523,4806,Quarter,2017 Q1,K04000001,,,Urban,,Incidence rate,,Common assault with injury,,45-54,,All adults
6.085387714,2.738370608,1365,Quarter,2017 Q1,K04000001,,,Rural,,Incidence rate,,Common assault with injury,,55-64,,All adults
2.084230073,0.815290631,4299,Quarter,2017 Q1,K04000001,,,Urban,,Incidence rate,,Common assault with injury,,55-64,,All adults
0.995502446,0.993543801,1518,Quarter,2017 Q1,K04000001,,,Rural,,Incidence rate,,Common assault with injury,,65-74,,All adults
1.31068117,0.501218243,4074,Quarter,2017 Q1,K04000001,,,Urban,,Incidence rate,,Common assault with injury,,65-74,,All adults
0,0,1072,Quarter,2017 Q1,K04000001,,,Rural,,Incidence rate,,Common assault with injury,,75+,,All adults
0,0,3183,Quarter,2017 Q1,K04000001,,,Urban,,Incidence rate,,Common assault with injury,,75+,,All adults
5.845993146,4.924674071,216,Quarter,2017 Q1,K04000001,,,Rural,,Incidence rate,,Common assault with injury,,16-24,,Female
6.950112755,2.571755962,1147,Quarter,2017 Q1,K04000001,,,Urban,,Incidence rate,,Common assault with injury,,16-24,,Female
5.034874672,1.419583473,4022,Quarter,2017 Q1,K04000001,,,Rural,,Incidence rate,,Common assault with injury,,16+,,Female
5.008513078,0.902723471,14961,Quarter,2017 Q1,K04000001,,,Urban,,Incidence rate,,Common assault with injury,,16+,,Female
3.867772867,3.872429984,421,Quarter,2017 Q1,K04000001,,,Rural,,Incidence rate,,Common assault with injury,,25-34,,Female
7.734710506,2.640473839,2623,Quarter,2017 Q1,K04000001,,,Urban,,Incidence rate,,Common assault with injury,,25-34,,Female
3.122991394,3.115880677,575,Quarter,2017 Q1,K04000001,,,Rural,,Incidence rate,,Common assault with injury,,35-44,,Female
7.492049291,2.461458264,2553,Quarter,2017 Q1,K04000001,,,Urban,,Incidence rate,,Common assault with injury,,35-44,,Female
9.753009281,4.440331305,740,Quarter,2017 Q1,K04000001,,,Rural,,Incidence rate,,Common assault with injury,,45-54,,Female
6.000119184,3.027143287,2524,Quarter,2017 Q1,K04000001,,,Urban,,Incidence rate,,Common assault with injury,,45-54,,Female
10.07108376,4.984470974,728,Quarter,2017 Q1,K04000001,,,Rural,,Incidence rate,,Common assault with injury,,55-64,,Female
2.414536397,1.232733976,2216,Quarter,2017 Q1,K04000001,,,Urban,,Incidence rate,,Common assault with injury,,55-64,,Female
0,0,756,Quarter,2017 Q1,K04000001,,,Rural,,Incidence rate,,Common assault with injury,,65-74,,Female
0.961121824,0.597317324,2128,Quarter,2017 Q1,K04000001,,,Urban,,Incidence rate,,Common assault with injury,,65-74,,Female
0,0,586,Quarter,2017 Q1,K04000001,,,Rural,,Incidence rate,,Common assault with injury,,75+,,Female
0,0,1770,Quarter,2017 Q1,K04000001,,,Urban,,Incidence rate,,Common assault with injury,,75+,,Female
32.97634891,29.90422784,178,Quarter,2017 Q1,K04000001,,,Rural,,Incidence rate,,Common assault with injury,,16-24,,Male
24.48138891,6.514553206,1047,Quarter,2017 Q1,K04000001,,,Urban,,Incidence rate,,Common assault with injury,,16-24,,Male
7.096056327,3.623121605,3453,Quarter,2017 Q1,K04000001,,,Rural,,Incidence rate,,Common assault with injury,,16+,,Male
7.633819309,1.182209101,12984,Quarter,2017 Q1,K04000001,,,Urban,,Incidence rate,,Common assault with injury,,16+,,Male
2.391387275,2.392438913,310,Quarter,2017 Q1,K04000001,,,Rural,,Incidence rate,,Common assault with injury,,25-34,,Male
7.438731147,2.260376228,1955,Quarter,2017 Q1,K04000001,,,Urban,,Incidence rate,,Common assault with injury,,25-34,,Male
10.08961033,10.09136583,430,Quarter,2017 Q1,K04000001,,,Rural,,Incidence rate,,Common assault with injury,,35-44,,Male
3.886809155,1.28597532,2258,Quarter,2017 Q1,K04000001,,,Urban,,Incidence rate,,Common assault with injury,,35-44,,Male
7.677093974,6.649226869,650,Quarter,2017 Q1,K04000001,,,Rural,,Incidence rate,,Common assault with injury,,45-54,,Male
9.182121605,2.969126584,2282,Quarter,2017 Q1,K04000001,,,Urban,,Incidence rate,,Common assault with injury,,45-54,,Male
1.681874139,1.68609399,637,Quarter,2017 Q1,K04000001,,,Rural,,Incidence rate,,Common assault with injury,,55-64,,Male
1.748502629,1.063094926,2083,Quarter,2017 Q1,K04000001,,,Urban,,Incidence rate,,Common assault with injury,,55-64,,Male
1.99140283,1.985429622,762,Quarter,2017 Q1,K04000001,,,Rural,,Incidence rate,,Common assault with injury,,65-74,,Male
1.69582454,0.822395535,1946,Quarter,2017 Q1,K04000001,,,Urban,,Incidence rate,,Common assault with injury,,65-74,,Male
0,0,486,Quarter,2017 Q1,K04000001,,,Rural,,Incidence rate,,Common assault with injury,,75+,,Male
0,0,1413,Quarter,2017 Q1,K04000001,,,Urban,,Incidence rate,,Common assault with injury,,75+,,Male
23.89086841,15.50606247,394,Quarter,2017 Q1,K04000001,,,Rural,,Incidence rate,,Common assault,,16-24,,All adults
45.69091921,6.990843497,2194,Quarter,2017 Q1,K04000001,,,Urban,,Incidence rate,,Common assault,,16-24,,All adults
18.19764063,3.041638893,7475,Quarter,2017 Q1,K04000001,,,Rural,,Incidence rate,,Common assault,,16+,,All adults
20.83409363,1.509061108,27945,Quarter,2017 Q1,K04000001,,,Urban,,Incidence rate,,Common assault,,16+,,All adults
18.12932256,7.209367969,731,Quarter,2017 Q1,K04000001,,,Rural,,Incidence rate,,Common assault,,25-34,,All adults
25.2074938,3.559646707,4578,Quarter,2017 Q1,K04000001,,,Urban,,Incidence rate,,Common assault,,25-34,,All adults
20.068104,8.094896311,1005,Quarter,2017 Q1,K04000001,,,Rural,,Incidence rate,,Common assault,,35-44,,All adults
20.46576528,2.996155731,4811,Quarter,2017 Q1,K04000001,,,Urban,,Incidence rate,,Common assault,,35-44,,All adults
32.82275023,9.533506824,1390,Quarter,2017 Q1,K04000001,,,Rural,,Incidence rate,,Common assault,,45-54,,All adults
24.30258736,3.707271755,4806,Quarter,2017 Q1,K04000001,,,Urban,,Incidence rate,,Common assault,,45-54,,All adults
16.94388012,6.895784263,1365,Quarter,2017 Q1,K04000001,,,Rural,,Incidence rate,,Common assault,,55-64,,All adults
10.90900259,2.404602876,4299,Quarter,2017 Q1,K04000001,,,Urban,,Incidence rate,,Common assault,,55-64,,All adults
10.81785533,4.87147466,1518,Quarter,2017 Q1,K04000001,,,Rural,,Incidence rate,,Common assault,,65-74,,All adults
5.10042543,1.282103168,4074,Quarter,2017 Q1,K04000001,,,Urban,,Incidence rate,,Common assault,,65-74,,All adults
0,0,1072,Quarter,2017 Q1,K04000001,,,Rural,,Incidence rate,,Common assault,,75+,,All adults
2.017599789,0.747785627,3183,Quarter,2017 Q1,K04000001,,,Urban,,Incidence rate,,Common assault,,75+,,All adults
5.845993146,4.924674071,216,Quarter,2017 Q1,K04000001,,,Rural,,Incidence rate,,Common assault,,16-24,,Female
21.68493126,5.864879301,1147,Quarter,2017 Q1,K04000001,,,Urban,,Incidence rate,,Common assault,,16-24,,Female
14.25787675,3.126385511,4022,Quarter,2017 Q1,K04000001,,,Rural,,Incidence rate,,Common assault,,16+,,Female
14.81230507,1.638266837,14961,Quarter,2017 Q1,K04000001,,,Urban,,Incidence rate,,Common assault,,16+,,Female
11.80291657,5.992893571,421,Quarter,2017 Q1,K04000001,,,Rural,,Incidence rate,,Common assault,,25-34,,Female
21.14255777,4.403447624,2623,Quarter,2017 Q1,K04000001,,,Urban,,Incidence rate,,Common assault,,25-34,,Female
11.09507858,5.915625169,575,Quarter,2017 Q1,K04000001,,,Rural,,Incidence rate,,Common assault,,35-44,,Female
18.6011163,3.607231785,2553,Quarter,2017 Q1,K04000001,,,Urban,,Incidence rate,,Common assault,,35-44,,Female
34.56437386,12.5459877,740,Quarter,2017 Q1,K04000001,,,Rural,,Incidence rate,,Common assault,,45-54,,Female
18.22841778,5.098237575,2524,Quarter,2017 Q1,K04000001,,,Urban,,Incidence rate,,Common assault,,45-54,,Female
19.50313715,8.648779511,728,Quarter,2017 Q1,K04000001,,,Rural,,Incidence rate,,Common assault,,55-64,,Female
9.95408864,2.740166791,2216,Quarter,2017 Q1,K04000001,,,Urban,,Incidence rate,,Common assault,,55-64,,Female
5.184662993,3.641325934,756,Quarter,2017 Q1,K04000001,,,Rural,,Incidence rate,,Common assault,,65-74,,Female
4.13506608,1.874631793,2128,Quarter,2017 Q1,K04000001,,,Urban,,Incidence rate,,Common assault,,65-74,,Female
0,0,586,Quarter,2017 Q1,K04000001,,,Rural,,Incidence rate,,Common assault,,75+,,Female
1.246979616,0.736588903,1770,Quarter,2017 Q1,K04000001,,,Urban,,Incidence rate,,Common assault,,75+,,Female
42.18035247,30.68773299,178,Quarter,2017 Q1,K04000001,,,Rural,,Incidence rate,,Common assault,,16-24,,Male
68.47378116,12.43632397,1047,Quarter,2017 Q1,K04000001,,,Urban,,Incidence rate,,Common assault,,16-24,,Male
22.46182584,5.38828581,3453,Quarter,2017 Q1,K04000001,,,Rural,,Incidence rate,,Common assault,,16+,,Male
27.06555868,2.513717917,12984,Quarter,2017 Q1,K04000001,,,Urban,,Incidence rate,,Common assault,,16+,,Male
24.6487458,11.85261862,310,Quarter,2017 Q1,K04000001,,,Rural,,Incidence rate,,Common assault,,25-34,,Male
29.2709564,5.659495262,1955,Quarter,2017 Q1,K04000001,,,Urban,,Incidence rate,,Common assault,,25-34,,Male
30.54636673,16.23469436,430,Quarter,2017 Q1,K04000001,,,Rural,,Incidence rate,,Common assault,,35-44,,Male
22.31719532,4.702837736,2258,Quarter,2017 Q1,K04000001,,,Urban,,Incidence rate,,Common assault,,35-44,,Male
31.01434202,14.54488846,650,Quarter,2017 Q1,K04000001,,,Rural,,Incidence rate,,Common assault,,45-54,,Male
30.55091889,5.397418491,2282,Quarter,2017 Q1,K04000001,,,Urban,,Incidence rate,,Common assault,,45-54,,Male
14.11633809,10.91719304,637,Quarter,2017 Q1,K04000001,,,Rural,,Incidence rate,,Common assault,,55-64,,Male
11.87958897,3.961341119,2083,Quarter,2017 Q1,K04000001,,,Urban,,Incidence rate,,Common assault,,55-64,,Male
16.45329946,9.066723006,762,Quarter,2017 Q1,K04000001,,,Rural,,Incidence rate,,Common assault,,65-74,,Male
6.164055274,1.783441715,1946,Quarter,2017 Q1,K04000001,,,Urban,,Incidence rate,,Common assault,,65-74,,Male
0,0,486,Quarter,2017 Q1,K04000001,,,Rural,,Incidence rate,,Common assault,,75+,,Male
3.034787558,1.436052059,1413,Quarter,2017 Q1,K04000001,,,Urban,,Incidence rate,,Common assault,,75+,,Male
4.571020361,2.724575562,394,Quarter,2017 Q1,K04000001,,,Rural,,Incidence rate,,Common assault with no injury,,16-24,,All adults
29.74602234,5.740237149,2194,Quarter,2017 Q1,K04000001,,,Urban,,Incidence rate,,Common assault with no injury,,16-24,,All adults
12.17292936,2.413421615,7475,Quarter,2017 Q1,K04000001,,,Rural,,Incidence rate,,Common assault with no injury,,16+,,All adults
14.53538943,1.262330276,27945,Quarter,2017 Q1,K04000001,,,Urban,,Incidence rate,,Common assault with no injury,,16+,,All adults
14.98865065,6.175208761,731,Quarter,2017 Q1,K04000001,,,Rural,,Incidence rate,,Common assault with no injury,,25-34,,All adults
17.6207998,2.984715479,4578,Quarter,2017 Q1,K04000001,,,Urban,,Incidence rate,,Common assault with no injury,,25-34,,All adults
13.73135893,6.452977678,1005,Quarter,2017 Q1,K04000001,,,Rural,,Incidence rate,,Common assault with no injury,,35-44,,All adults
14.78274839,2.657027375,4811,Quarter,2017 Q1,K04000001,,,Urban,,Incidence rate,,Common assault with no injury,,35-44,,All adults
24.08817214,8.68883991,1390,Quarter,2017 Q1,K04000001,,,Rural,,Incidence rate,,Common assault with no injury,,45-54,,All adults
16.73395362,2.988905684,4806,Quarter,2017 Q1,K04000001,,,Urban,,Incidence rate,,Common assault with no injury,,45-54,,All adults
10.85849241,6.303214743,1365,Quarter,2017 Q1,K04000001,,,Rural,,Incidence rate,,Common assault with no injury,,55-64,,All adults
8.824772518,2.25533082,4299,Quarter,2017 Q1,K04000001,,,Urban,,Incidence rate,,Common assault with no injury,,55-64,,All adults
9.822352883,4.562122694,1518,Quarter,2017 Q1,K04000001,,,Rural,,Incidence rate,,Common assault with no injury,,65-74,,All adults
3.78974426,1.199786566,4074,Quarter,2017 Q1,K04000001,,,Urban,,Incidence rate,,Common assault with no injury,,65-74,,All adults
0,0,1072,Quarter,2017 Q1,K04000001,,,Rural,,Incidence rate,,Common assault with no injury,,75+,,All adults
2.017599789,0.747785627,3183,Quarter,2017 Q1,K04000001,,,Urban,,Incidence rate,,Common assault with no injury,,75+,,All adults
0,0,216,Quarter,2017 Q1,K04000001,,,Rural,,Incidence rate,,Common assault with no injury,,16-24,,Female
14.73481851,5.295673782,1147,Quarter,2017 Q1,K04000001,,,Urban,,Incidence rate,,Common assault with no injury,,16-24,,Female
9.223002075,2.772973237,4022,Quarter,2017 Q1,K04000001,,,Rural,,Incidence rate,,Common assault with no injury,,16+,,Female
9.803791996,1.298932675,14961,Quarter,2017 Q1,K04000001,,,Urban,,Incidence rate,,Common assault with no injury,,16+,,Female
7.9351437,4.566050377,421,Quarter,2017 Q1,K04000001,,,Rural,,Incidence rate,,Common assault with no injury,,25-34,,Female
13.40784727,3.340607096,2623,Quarter,2017 Q1,K04000001,,,Urban,,Incidence rate,,Common assault with no injury,,25-34,,Female
7.972087189,5.050747208,575,Quarter,2017 Q1,K04000001,,,Rural,,Incidence rate,,Common assault with no injury,,35-44,,Female
11.10906701,2.638112602,2553,Quarter,2017 Q1,K04000001,,,Urban,,Incidence rate,,Common assault with no injury,,35-44,,Female
24.81136458,11.74327414,740,Quarter,2017 Q1,K04000001,,,Rural,,Incidence rate,,Common assault with no injury,,45-54,,Female
12.22829859,3.971936174,2524,Quarter,2017 Q1,K04000001,,,Urban,,Incidence rate,,Common assault with no injury,,45-54,,Female
9.432053391,6.971016967,728,Quarter,2017 Q1,K04000001,,,Rural,,Incidence rate,,Common assault with no injury,,55-64,,Female
7.539552243,2.451034448,2216,Quarter,2017 Q1,K04000001,,,Urban,,Incidence rate,,Common assault with no injury,,55-64,,Female
5.184662993,3.641325934,756,Quarter,2017 Q1,K04000001,,,Rural,,Incidence rate,,Common assault with no injury,,65-74,,Female
3.173944256,1.776880495,2128,Quarter,2017 Q1,K04000001,,,Urban,,Incidence rate,,Common assault with no injury,,65-74,,Female
0,0,586,Quarter,2017 Q1,K04000001,,,Rural,,Incidence rate,,Common assault with no injury,,75+,,Female
1.246979616,0.736588903,1770,Quarter,2017 Q1,K04000001,,,Urban,,Incidence rate,,Common assault with no injury,,75+,,Female
9.204003566,5.496342497,178,Quarter,2017 Q1,K04000001,,,Rural,,Incidence rate,,Common assault with no injury,,16-24,,Male
43.99239225,10.04850978,1047,Quarter,2017 Q1,K04000001,,,Urban,,Incidence rate,,Common assault with no injury,,16-24,,Male
15.36576951,4.073537785,3453,Quarter,2017 Q1,K04000001,,,Rural,,Incidence rate,,Common assault with no injury,,16+,,Male
19.43173937,2.14134767,12984,Quarter,2017 Q1,K04000001,,,Urban,,Incidence rate,,Common assault with no injury,,16+,,Male
22.25735853,11.61842291,310,Quarter,2017 Q1,K04000001,,,Rural,,Incidence rate,,Common assault with no injury,,25-34,,Male
21.83222525,4.980964321,1955,Quarter,2017 Q1,K04000001,,,Urban,,Incidence rate,,Common assault with no injury,,25-34,,Male
20.4567564,12.7352277,430,Quarter,2017 Q1,K04000001,,,Rural,,Incidence rate,,Common assault with no injury,,35-44,,Male
18.43038617,4.509636027,2258,Quarter,2017 Q1,K04000001,,,Urban,,Incidence rate,,Common assault with no injury,,35-44,,Male
23.33724805,12.94907782,650,Quarter,2017 Q1,K04000001,,,Rural,,Incidence rate,,Common assault with no injury,,45-54,,Male
21.36879729,4.473721911,2282,Quarter,2017 Q1,K04000001,,,Urban,,Incidence rate,,Common assault with no injury,,45-54,,Male
12.43446395,10.78997475,637,Quarter,2017 Q1,K04000001,,,Rural,,Incidence rate,,Common assault with no injury,,55-64,,Male
10.13108634,3.791304355,2083,Quarter,2017 Q1,K04000001,,,Urban,,Incidence rate,,Common assault with no injury,,55-64,,Male
14.46189663,8.39715088,762,Quarter,2017 Q1,K04000001,,,Rural,,Incidence rate,,Common assault with no injury,,65-74,,Male
4.468230734,1.638857888,1946,Quarter,2017 Q1,K04000001,,,Urban,,Incidence rate,,Common assault with no injury,,65-74,,Male
0,0,486,Quarter,2017 Q1,K04000001,,,Rural,,Incidence rate,,Common assault with no injury,,75+,,Male
3.034787558,1.436052059,1413,Quarter,2017 Q1,K04000001,,,Urban,,Incidence rate,,Common assault with no injury,,75+,,Male
3.664715858,3.114621971,394,Quarter,2017 Q1,K04000001,,,Rural,,Incidence rate,,Domestic violence,,16-24,,All adults
11.07316624,3.746338615,2194,Quarter,2017 Q1,K04000001,,,Urban,,Incidence rate,,Domestic violence,,16-24,,All adults
3.904892355,0.981931588,7475,Quarter,2017 Q1,K04000001,,,Rural,,Incidence rate,,Domestic violence,,16+,,All adults
5.618296256,0.833975587,27945,Quarter,2017 Q1,K04000001,,,Urban,,Incidence rate,,Domestic violence,,16+,,All adults
8.833240191,4.652601975,731,Quarter,2017 Q1,K04000001,,,Rural,,Incidence rate,,Domestic violence,,25-34,,All adults
6.68731637,1.521165457,4578,Quarter,2017 Q1,K04000001,,,Urban,,Incidence rate,,Domestic violence,,25-34,,All adults
5.299901886,2.74229979,1005,Quarter,2017 Q1,K04000001,,,Rural,,Incidence rate,,Domestic violence,,35-44,,All adults
4.192028855,1.358588343,4811,Quarter,2017 Q1,K04000001,,,Urban,,Incidence rate,,Domestic violence,,35-44,,All adults
7.325399104,3.210488148,1390,Quarter,2017 Q1,K04000001,,,Rural,,Incidence rate,,Domestic violence,,45-54,,All adults
9.71502481,2.986444016,4806,Quarter,2017 Q1,K04000001,,,Urban,,Incidence rate,,Domestic violence,,45-54,,All adults
0.971121106,0.97142324,1365,Quarter,2017 Q1,K04000001,,,Rural,,Incidence rate,,Domestic violence,,55-64,,All adults
2.05031587,1.045509433,4299,Quarter,2017 Q1,K04000001,,,Urban,,Incidence rate,,Domestic violence,,55-64,,All adults
1.704837094,1.706469872,1518,Quarter,2017 Q1,K04000001,,,Rural,,Incidence rate,,Domestic violence,,65-74,,All adults
1.791703174,0.945887763,4074,Quarter,2017 Q1,K04000001,,,Urban,,Incidence rate,,Domestic violence,,65-74,,All adults
0,0,1072,Quarter,2017 Q1,K04000001,,,Rural,,Incidence rate,,Domestic violence,,75+,,All adults
0,0,3183,Quarter,2017 Q1,K04000001,,,Urban,,Incidence rate,,Domestic violence,,75+,,All adults
1.220948721,1.224550179,216,Quarter,2017 Q1,K04000001,,,Rural,,Incidence rate,,Domestic violence,,16-24,,Female
15.87336259,6.835885028,1147,Quarter,2017 Q1,K04000001,,,Urban,,Incidence rate,,Domestic violence,,16-24,,Female
4.750803285,1.46620422,4022,Quarter,2017 Q1,K04000001,,,Rural,,Incidence rate,,Domestic violence,,16+,,Female
8.338913523,1.490148065,14961,Quarter,2017 Q1,K04000001,,,Urban,,Incidence rate,,Domestic violence,,16+,,Female
13.04456112,8.614430389,421,Quarter,2017 Q1,K04000001,,,Rural,,Incidence rate,,Domestic violence,,25-34,,Female
11.59172706,2.934155581,2623,Quarter,2017 Q1,K04000001,,,Urban,,Incidence rate,,Domestic violence,,25-34,,Female
5.24631608,3.469973221,575,Quarter,2017 Q1,K04000001,,,Rural,,Incidence rate,,Domestic violence,,35-44,,Female
5.582659739,2.234276403,2553,Quarter,2017 Q1,K04000001,,,Urban,,Incidence rate,,Domestic violence,,35-44,,Female
8.688973729,4.326372811,740,Quarter,2017 Q1,K04000001,,,Rural,,Incidence rate,,Domestic violence,,45-54,,Female
13.85745082,5.375227461,2524,Quarter,2017 Q1,K04000001,,,Urban,,Incidence rate,,Domestic violence,,45-54,,Female
1.85009956,1.850054877,728,Quarter,2017 Q1,K04000001,,,Rural,,Incidence rate,,Domestic violence,,55-64,,Female
