V4_2,Standard Error,Unweighted Count,Time_codelist,Time,Geography_codelist,Geography,Long-standing illness or disability _codelist,Long-standing illness or disability ,Measurement Type_codelist,Measurement Type,Crime Type_codelist,Crime Type,Age_codelist,Age,Sex_codelist,Sex
16.49327517,6.263026381,1034,Quarter,2017 Q1,K04000001,,,Limiting disability/illness,,Incidence rate,,Acquaintance violence,,45-54,,All adults
12.15937251,3.0472514580000003,4853,Quarter,2017 Q1,K04000001,,,No disability/illness,,Incidence rate,,Acquaintance violence,,45-54,,All adults
8.632870197999999,6.093042316,294,Quarter,2017 Q1,K04000001,,,Non-limiting disability/illness,,Incidence rate,,Acquaintance violence,,45-54,,All adults
12.7531769,4.086773086,1590,Quarter,2017 Q1,K04000001,,,Disability/illness ONS,,Incidence rate,,Acquaintance violence,,55-64,,All adults
7.694880647000001,2.6738324490000003,1268,Quarter,2017 Q1,K04000001,,,Limiting disability/illness,,Incidence rate,,Acquaintance violence,,55-64,,All adults
5.8063617270000005,2.011758313,4050,Quarter,2017 Q1,K04000001,,,No disability/illness,,Incidence rate,,Acquaintance violence,,55-64,,All adults
31.38565463,16.32588927,319,Quarter,2017 Q1,K04000001,,,Non-limiting disability/illness,,Incidence rate,,Acquaintance violence,,55-64,,All adults
2.185570695,1.073926522,1874,Quarter,2017 Q1,K04000001,,,Disability/illness ONS,,Incidence rate,,Acquaintance violence,,65-74,,All adults
2.318092867,1.285101057,1483,Quarter,2017 Q1,K04000001,,,Limiting disability/illness,,Incidence rate,,Acquaintance violence,,65-74,,All adults
2.310618051,0.7942966229999999,3698,Quarter,2017 Q1,K04000001,,,No disability/illness,,Incidence rate,,Acquaintance violence,,65-74,,All adults
1.712076291,1.7132209369999998,390,Quarter,2017 Q1,K04000001,,,Non-limiting disability/illness,,Incidence rate,,Acquaintance violence,,65-74,,All adults
1.099616331,0.817570407,1997,Quarter,2017 Q1,K04000001,,,Disability/illness ONS,,Incidence rate,,Acquaintance violence,,75+,,All adults
1.3280991009999998,0.987204023,1669,Quarter,2017 Q1,K04000001,,,Limiting disability/illness,,Incidence rate,,Acquaintance violence,,75+,,All adults
0.738112573,0.534513211,2246,Quarter,2017 Q1,K04000001,,,No disability/illness,,Incidence rate,,Acquaintance violence,,75+,,All adults
0.0,0.0,327,Quarter,2017 Q1,K04000001,,,Non-limiting disability/illness,,Incidence rate,,Acquaintance violence,,75+,,All adults
49.02925213,30.83011374,184,Quarter,2017 Q1,K04000001,,,Disability/illness ONS,,Incidence rate,,Acquaintance violence,,16-24,,Female
28.20370591,18.63564458,144,Quarter,2017 Q1,K04000001,,,Limiting disability/illness,,Incidence rate,,Acquaintance violence,,16-24,,Female
10.29501983,3.185950048,1175,Quarter,2017 Q1,K04000001,,,No disability/illness,,Incidence rate,,Acquaintance violence,,16-24,,Female
109.9283619,105.5769101,40,Quarter,2017 Q1,K04000001,,,Non-limiting disability/illness,,Incidence rate,,Acquaintance violence,,16-24,,Female
12.15643627,3.033748894,4755,Quarter,2017 Q1,K04000001,,,Disability/illness ONS,,Incidence rate,,Acquaintance violence,,16+,,Female
9.255523723,2.336677442,3893,Quarter,2017 Q1,K04000001,,,Limiting disability/illness,,Incidence rate,,Acquaintance violence,,16+,,Female
7.519263996,1.305738979,14173,Quarter,2017 Q1,K04000001,,,No disability/illness,,Incidence rate,,Acquaintance violence,,16+,,Female
24.65822676,12.38802374,858,Quarter,2017 Q1,K04000001,,,Non-limiting disability/illness,,Incidence rate,,Acquaintance violence,,16+,,Female
24.67105623,12.97461251,407,Quarter,2017 Q1,K04000001,,,Disability/illness ONS,,Incidence rate,,Acquaintance violence,,25-34,,Female
28.54097653,16.84501212,306,Quarter,2017 Q1,K04000001,,,Limiting disability/illness,,Incidence rate,,Acquaintance violence,,25-34,,Female
7.815936279,2.564100285,2633,Quarter,2017 Q1,K04000001,,,No disability/illness,,Incidence rate,,Acquaintance violence,,25-34,,Female
13.79971618,13.72203104,100,Quarter,2017 Q1,K04000001,,,Non-limiting disability/illness,,Incidence rate,,Acquaintance violence,,25-34,,Female
17.22459638,7.314623256,481,Quarter,2017 Q1,K04000001,,,Disability/illness ONS,,Incidence rate,,Acquaintance violence,,35-44,,Female
18.50534702,9.008527452000001,380,Quarter,2017 Q1,K04000001,,,Limiting disability/illness,,Incidence rate,,Acquaintance violence,,35-44,,Female
4.917228528,1.762293029,2639,Quarter,2017 Q1,K04000001,,,No disability/illness,,Incidence rate,,Acquaintance violence,,35-44,,Female
12.62889419,8.944256057999999,101,Quarter,2017 Q1,K04000001,,,Non-limiting disability/illness,,Incidence rate,,Acquaintance violence,,35-44,,Female
8.253020001,4.707291137,751,Quarter,2017 Q1,K04000001,,,Disability/illness ONS,,Incidence rate,,Acquaintance violence,,45-54,,Female
10.36330812,5.922413187999999,601,Quarter,2017 Q1,K04000001,,,Limiting disability/illness,,Incidence rate,,Acquaintance violence,,45-54,,Female
15.83403412,5.305478736,2505,Quarter,2017 Q1,K04000001,,,No disability/illness,,Incidence rate,,Acquaintance violence,,45-54,,Female
0.0,0.0,150,Quarter,2017 Q1,K04000001,,,Non-limiting disability/illness,,Incidence rate,,Acquaintance violence,,45-54,,Female
19.18142658,7.393200500000002,841,Quarter,2017 Q1,K04000001,,,Disability/illness ONS,,Incidence rate,,Acquaintance violence,,55-64,,Female
8.830794312,4.006641636,687,Quarter,2017 Q1,K04000001,,,Limiting disability/illness,,Incidence rate,,Acquaintance violence,,55-64,,Female
5.686441211,2.423022773,2091,Quarter,2017 Q1,K04000001,,,No disability/illness,,Incidence rate,,Acquaintance violence,,55-64,,Female
63.00936814,34.32897176,153,Quarter,2017 Q1,K04000001,,,Non-limiting disability/illness,,Incidence rate,,Acquaintance violence,,55-64,,Female
0.692891588,0.6934156340000001,965,Quarter,2017 Q1,K04000001,,,Disability/illness ONS,,Incidence rate,,Acquaintance violence,,65-74,,Female
0.8552312209999999,0.855911595,786,Quarter,2017 Q1,K04000001,,,Limiting disability/illness,,Incidence rate,,Acquaintance violence,,65-74,,Female
0.357288333,0.357291536,1907,Quarter,2017 Q1,K04000001,,,No disability/illness,,Incidence rate,,Acquaintance violence,,65-74,,Female
0.0,0.0,178,Quarter,2017 Q1,K04000001,,,Non-limiting disability/illness,,Incidence rate,,Acquaintance violence,,65-74,,Female
0.0,0.0,1126,Quarter,2017 Q1,K04000001,,,Disability/illness ONS,,Incidence rate,,Acquaintance violence,,75+,,Female
0.0,0.0,989,Quarter,2017 Q1,K04000001,,,Limiting disability/illness,,Incidence rate,,Acquaintance violence,,75+,,Female
1.339962376,0.970893753,1223,Quarter,2017 Q1,K04000001,,,No disability/illness,,Incidence rate,,Acquaintance violence,,75+,,Female
0.0,0.0,136,Quarter,2017 Q1,K04000001,,,Non-limiting disability/illness,,Incidence rate,,Acquaintance violence,,75+,,Female
74.60760526,37.7509343,133,Quarter,2017 Q1,K04000001,,,Disability/illness ONS,,Incidence rate,,Acquaintance violence,,16-24,,Male
80.9406373,54.52885235,87,Quarter,2017 Q1,K04000001,,,Limiting disability/illness,,Incidence rate,,Acquaintance violence,,16-24,,Male
24.12871278,7.417299512,1092,Quarter,2017 Q1,K04000001,,,No disability/illness,,Incidence rate,,Acquaintance violence,,16-24,,Male
64.06684153,43.52510766,46,Quarter,2017 Q1,K04000001,,,Non-limiting disability/illness,,Incidence rate,,Acquaintance violence,,16-24,,Male
16.44072352,4.544542573999999,3797,Quarter,2017 Q1,K04000001,,,Disability/illness ONS,,Incidence rate,,Acquaintance violence,,16+,,Male
17.69005986,5.920562915,2871,Quarter,2017 Q1,K04000001,,,Limiting disability/illness,,Incidence rate,,Acquaintance violence,,16+,,Male
10.05589745,1.5852293990000002,12597,Quarter,2017 Q1,K04000001,,,No disability/illness,,Incidence rate,,Acquaintance violence,,16+,,Male
13.09125201,5.195687634,923,Quarter,2017 Q1,K04000001,,,Non-limiting disability/illness,,Incidence rate,,Acquaintance violence,,16+,,Male
55.20450358,40.96415816,199,Quarter,2017 Q1,K04000001,,,Disability/illness ONS,,Incidence rate,,Acquaintance violence,,25-34,,Male
84.1925676,62.18772915,133,Quarter,2017 Q1,K04000001,,,Limiting disability/illness,,Incidence rate,,Acquaintance violence,,25-34,,Male
7.290529293,2.331805912,2064,Quarter,2017 Q1,K04000001,,,No disability/illness,,Incidence rate,,Acquaintance violence,,25-34,,Male
0.0,0.0,66,Quarter,2017 Q1,K04000001,,,Non-limiting disability/illness,,Incidence rate,,Acquaintance violence,,25-34,,Male
7.627679476,4.068733167,358,Quarter,2017 Q1,K04000001,,,Disability/illness ONS,,Incidence rate,,Acquaintance violence,,35-44,,Male
1.192229601,1.194330787,260,Quarter,2017 Q1,K04000001,,,Limiting disability/illness,,Incidence rate,,Acquaintance violence,,35-44,,Male
12.02234148,4.168160184,2320,Quarter,2017 Q1,K04000001,,,No disability/illness,,Incidence rate,,Acquaintance violence,,35-44,,Male
23.78043122,13.92278787,98,Quarter,2017 Q1,K04000001,,,Non-limiting disability/illness,,Incidence rate,,Acquaintance violence,,35-44,,Male
22.80272395,9.660839438,578,Quarter,2017 Q1,K04000001,,,Disability/illness ONS,,Incidence rate,,Acquaintance violence,,45-54,,Male
24.87885823,12.39088404,433,Quarter,2017 Q1,K04000001,,,Limiting disability/illness,,Incidence rate,,Acquaintance violence,,45-54,,Male
8.559629737,3.0784282339999995,2348,Quarter,2017 Q1,K04000001,,,No disability/illness,,Incidence rate,,Acquaintance violence,,45-54,,Male
17.08548465,12.00383905,144,Quarter,2017 Q1,K04000001,,,Non-limiting disability/illness,,Incidence rate,,Acquaintance violence,,45-54,,Male
5.638562828,2.702777208,749,Quarter,2017 Q1,K04000001,,,Disability/illness ONS,,Incidence rate,,Acquaintance violence,,55-64,,Male
6.35130851,3.403680605,581,Quarter,2017 Q1,K04000001,,,Limiting disability/illness,,Incidence rate,,Acquaintance violence,,55-64,,Male
5.927622688,3.235582216,1959,Quarter,2017 Q1,K04000001,,,No disability/illness,,Incidence rate,,Acquaintance violence,,55-64,,Male
3.5082096560000005,3.508945529,166,Quarter,2017 Q1,K04000001,,,Non-limiting disability/illness,,Incidence rate,,Acquaintance violence,,55-64,,Male
3.777336158,2.08996731,909,Quarter,2017 Q1,K04000001,,,Disability/illness ONS,,Incidence rate,,Acquaintance violence,,65-74,,Male
3.986790319,2.568110697,697,Quarter,2017 Q1,K04000001,,,Limiting disability/illness,,Incidence rate,,Acquaintance violence,,65-74,,Male
4.412169742,1.602364982,1791,Quarter,2017 Q1,K04000001,,,No disability/illness,,Incidence rate,,Acquaintance violence,,65-74,,Male
3.123450652,3.126891903,212,Quarter,2017 Q1,K04000001,,,Non-limiting disability/illness,,Incidence rate,,Acquaintance violence,,65-74,,Male
2.646377411,1.965619341,871,Quarter,2017 Q1,K04000001,,,Disability/illness ONS,,Incidence rate,,Acquaintance violence,,75+,,Male
3.502445717,2.599190304,680,Quarter,2017 Q1,K04000001,,,Limiting disability/illness,,Incidence rate,,Acquaintance violence,,75+,,Male
0.0,0.0,1023,Quarter,2017 Q1,K04000001,,,No disability/illness,,Incidence rate,,Acquaintance violence,,75+,,Male
0.0,0.0,191,Quarter,2017 Q1,K04000001,,,Non-limiting disability/illness,,Incidence rate,,Acquaintance violence,,75+,,Male
35.50327129,17.3638779,317,Quarter,2017 Q1,K04000001,,,Disability/illness ONS,,Incidence rate,,Common assault with injury,,16-24,,All adults
47.82726273,24.86242889,231,Quarter,2017 Q1,K04000001,,,Limiting disability/illness,,Incidence rate,,Common assault with injury,,16-24,,All adults
13.96275795,3.543016601,2267,Quarter,2017 Q1,K04000001,,,No disability/illness,,Incidence rate,,Common assault with injury,,16-24,,All adults
7.988733327,7.984251024,86,Quarter,2017 Q1,K04000001,,,Non-limiting disability/illness,,Incidence rate,,Common assault with injury,,16-24,,All adults
8.39095418,1.7496018169999998,8552,Quarter,2017 Q1,K04000001,,,Disability/illness ONS,,Incidence rate,,Common assault with injury,,16+,,All adults
9.491370946,2.194749682,6764,Quarter,2017 Q1,K04000001,,,Limiting disability/illness,,Incidence rate,,Common assault with injury,,16+,,All adults
5.599057912999999,0.749047042,26770,Quarter,2017 Q1,K04000001,,,No disability/illness,,Incidence rate,,Common assault with injury,,16+,,All adults
4.637223574,1.902962497,1781,Quarter,2017 Q1,K04000001,,,Non-limiting disability/illness,,Incidence rate,,Common assault with injury,,16+,,All adults
20.55186585,8.859707192,606,Quarter,2017 Q1,K04000001,,,Disability/illness ONS,,Incidence rate,,Common assault with injury,,25-34,,All adults
29.14584679,12.5359905,439,Quarter,2017 Q1,K04000001,,,Limiting disability/illness,,Incidence rate,,Common assault with injury,,25-34,,All adults
5.616954844,1.435179884,4697,Quarter,2017 Q1,K04000001,,,No disability/illness,,Incidence rate,,Common assault with injury,,25-34,,All adults
0.0,0.0,166,Quarter,2017 Q1,K04000001,,,Non-limiting disability/illness,,Incidence rate,,Common assault with injury,,25-34,,All adults
20.09843456,7.209718883,839,Quarter,2017 Q1,K04000001,,,Disability/illness ONS,,Incidence rate,,Common assault with injury,,35-44,,All adults
20.09327014,8.954270647000001,640,Quarter,2017 Q1,K04000001,,,Limiting disability/illness,,Incidence rate,,Common assault with injury,,35-44,,All adults
3.407919869,1.146820044,4959,Quarter,2017 Q1,K04000001,,,No disability/illness,,Incidence rate,,Common assault with injury,,35-44,,All adults
20.11402554,10.32756128,199,Quarter,2017 Q1,K04000001,,,Non-limiting disability/illness,,Incidence rate,,Common assault with injury,,35-44,,All adults
5.42861788,2.822048404,1329,Quarter,2017 Q1,K04000001,,,Disability/illness ONS,,Incidence rate,,Common assault with injury,,45-54,,All adults
7.052895175,3.667093115,1034,Quarter,2017 Q1,K04000001,,,Limiting disability/illness,,Incidence rate,,Common assault with injury,,45-54,,All adults
7.9745197710000015,2.19332762,4853,Quarter,2017 Q1,K04000001,,,No disability/illness,,Incidence rate,,Common assault with injury,,45-54,,All adults
0.0,0.0,294,Quarter,2017 Q1,K04000001,,,Non-limiting disability/illness,,Incidence rate,,Common assault with injury,,45-54,,All adults
4.734498634,2.176086232,1590,Quarter,2017 Q1,K04000001,,,Disability/illness ONS,,Incidence rate,,Common assault with injury,,55-64,,All adults
3.527096918,1.860717476,1268,Quarter,2017 Q1,K04000001,,,Limiting disability/illness,,Incidence rate,,Common assault with injury,,55-64,,All adults
2.341854582,0.905808638,4050,Quarter,2017 Q1,K04000001,,,No disability/illness,,Incidence rate,,Common assault with injury,,55-64,,All adults
9.20661347,7.536045445,319,Quarter,2017 Q1,K04000001,,,Non-limiting disability/illness,,Incidence rate,,Common assault with injury,,55-64,,All adults
1.847000239,1.018679874,1874,Quarter,2017 Q1,K04000001,,,Disability/illness ONS,,Incidence rate,,Common assault with injury,,65-74,,All adults
2.353965499,1.298435423,1483,Quarter,2017 Q1,K04000001,,,Limiting disability/illness,,Incidence rate,,Common assault with injury,,65-74,,All adults
0.952095523,0.462336654,3698,Quarter,2017 Q1,K04000001,,,No disability/illness,,Incidence rate,,Common assault with injury,,65-74,,All adults
0.0,0.0,390,Quarter,2017 Q1,K04000001,,,Non-limiting disability/illness,,Incidence rate,,Common assault with injury,,65-74,,All adults
0.0,0.0,1997,Quarter,2017 Q1,K04000001,,,Disability/illness ONS,,Incidence rate,,Common assault with injury,,75+,,All adults
0.0,0.0,1669,Quarter,2017 Q1,K04000001,,,Limiting disability/illness,,Incidence rate,,Common assault with injury,,75+,,All adults
0.0,0.0,2246,Quarter,2017 Q1,K04000001,,,No disability/illness,,Incidence rate,,Common assault with injury,,75+,,All adults
0.0,0.0,327,Quarter,2017 Q1,K04000001,,,Non-limiting disability/illness,,Incidence rate,,Common assault with injury,,75+,,All adults
5.10782845,5.099458412,184,Quarter,2017 Q1,K04000001,,,Disability/illness ONS,,Incidence rate,,Common assault with injury,,16-24,,Female
6.854542283,6.838460476,144,Quarter,2017 Q1,K04000001,,,Limiting disability/illness,,Incidence rate,,Common assault with injury,,16-24,,Female
7.095202781,2.568228505,1175,Quarter,2017 Q1,K04000001,,,No disability/illness,,Incidence rate,,Common assault with injury,,16-24,,Female
0.0,0.0,40,Quarter,2017 Q1,K04000001,,,Non-limiting disability/illness,,Incidence rate,,Common assault with injury,,16-24,,Female
7.737014362999999,1.991516986,4755,Quarter,2017 Q1,K04000001,,,Disability/illness ONS,,Incidence rate,,Common assault with injury,,16+,,Female
7.91910956,2.320698492,3893,Quarter,2017 Q1,K04000001,,,Limiting disability/illness,,Incidence rate,,Common assault with injury,,16+,,Female
4.248334072,0.8359404020000001,14173,Quarter,2017 Q1,K04000001,,,No disability/illness,,Incidence rate,,Common assault with injury,,16+,,Female
7.006280785,3.5080635460000003,858,Quarter,2017 Q1,K04000001,,,Non-limiting disability/illness,,Incidence rate,,Common assault with injury,,16+,,Female
24.45493712,13.43647838,407,Quarter,2017 Q1,K04000001,,,Disability/illness ONS,,Incidence rate,,Common assault with injury,,25-34,,Female
33.00607216,18.11698227,306,Quarter,2017 Q1,K04000001,,,Limiting disability/illness,,Incidence rate,,Common assault with injury,,25-34,,Female
5.077896773,2.053950907,2633,Quarter,2017 Q1,K04000001,,,No disability/illness,,Incidence rate,,Common assault with injury,,25-34,,Female
0.0,0.0,100,Quarter,2017 Q1,K04000001,,,Non-limiting disability/illness,,Incidence rate,,Common assault with injury,,25-34,,Female
31.06125639,12.73281594,481,Quarter,2017 Q1,K04000001,,,Disability/illness ONS,,Incidence rate,,Common assault with injury,,35-44,,Female
30.92025094,15.40229935,380,Quarter,2017 Q1,K04000001,,,Limiting disability/illness,,Incidence rate,,Common assault with injury,,35-44,,Female
2.801938678,1.298608015,2639,Quarter,2017 Q1,K04000001,,,No disability/illness,,Incidence rate,,Common assault with injury,,35-44,,Female
31.56722456,18.89228097,101,Quarter,2017 Q1,K04000001,,,Non-limiting disability/illness,,Incidence rate,,Common assault with injury,,35-44,,Female
5.805065657999999,4.237157657,751,Quarter,2017 Q1,K04000001,,,Disability/illness ONS,,Incidence rate,,Common assault with injury,,45-54,,Female
7.289414551,5.330638831,601,Quarter,2017 Q1,K04000001,,,Limiting disability/illness,,Incidence rate,,Common assault with injury,,45-54,,Female
7.045618308,3.080893137,2505,Quarter,2017 Q1,K04000001,,,No disability/illness,,Incidence rate,,Common assault with injury,,45-54,,Female
0.0,0.0,150,Quarter,2017 Q1,K04000001,,,Non-limiting disability/illness,,Incidence rate,,Common assault with injury,,45-54,,Female
6.2734334920000006,3.609265061,841,Quarter,2017 Q1,K04000001,,,Disability/illness ONS,,Incidence rate,,Common assault with injury,,55-64,,Female
3.115132579,2.340941532,687,Quarter,2017 Q1,K04000001,,,Limiting disability/illness,,Incidence rate,,Common assault with injury,,55-64,,Female
3.357522777,1.525399797,2091,Quarter,2017 Q1,K04000001,,,No disability/illness,,Incidence rate,,Common assault with injury,,55-64,,Female
19.65044385,16.05518593,153,Quarter,2017 Q1,K04000001,,,Non-limiting disability/illness,,Incidence rate,,Common assault with injury,,55-64,,Female
0.7474332029999999,0.748085047,965,Quarter,2017 Q1,K04000001,,,Disability/illness ONS,,Incidence rate,,Common assault with injury,,65-74,,Female
0.922551555,0.923569498,786,Quarter,2017 Q1,K04000001,,,Limiting disability/illness,,Incidence rate,,Common assault with injury,,65-74,,Female
0.7291802009999999,0.570900054,1907,Quarter,2017 Q1,K04000001,,,No disability/illness,,Incidence rate,,Common assault with injury,,65-74,,Female
0.0,0.0,178,Quarter,2017 Q1,K04000001,,,Non-limiting disability/illness,,Incidence rate,,Common assault with injury,,65-74,,Female
0.0,0.0,1126,Quarter,2017 Q1,K04000001,,,Disability/illness ONS,,Incidence rate,,Common assault with injury,,75+,,Female
0.0,0.0,989,Quarter,2017 Q1,K04000001,,,Limiting disability/illness,,Incidence rate,,Common assault with injury,,75+,,Female
0.0,0.0,1223,Quarter,2017 Q1,K04000001,,,No disability/illness,,Incidence rate,,Common assault with injury,,75+,,Female
0.0,0.0,136,Quarter,2017 Q1,K04000001,,,Non-limiting disability/illness,,Incidence rate,,Common assault with injury,,75+,,Female
72.27976017,37.76576442,133,Quarter,2017 Q1,K04000001,,,Disability/illness ONS,,Incidence rate,,Common assault with injury,,16-24,,Male
106.963698,59.72885809,87,Quarter,2017 Q1,K04000001,,,Limiting disability/illness,,Incidence rate,,Common assault with injury,,16-24,,Male
20.29964272,6.275972524,1092,Quarter,2017 Q1,K04000001,,,No disability/illness,,Incidence rate,,Common assault with injury,,16-24,,Male
14.55145696,14.51677714,46,Quarter,2017 Q1,K04000001,,,Non-limiting disability/illness,,Incidence rate,,Common assault with injury,,16-24,,Male
9.187626001,3.0345001860000003,3797,Quarter,2017 Q1,K04000001,,,Disability/illness ONS,,Incidence rate,,Common assault with injury,,16+,,Male
11.61220319,4.092918707,2871,Quarter,2017 Q1,K04000001,,,Limiting disability/illness,,Incidence rate,,Common assault with injury,,16+,,Male
6.949755251,1.247748636,12597,Quarter,2017 Q1,K04000001,,,No disability/illness,,Incidence rate,,Common assault with injury,,16+,,Male
2.598444141,1.853532128,923,Quarter,2017 Q1,K04000001,,,Non-limiting disability/illness,,Incidence rate,,Common assault with injury,,16+,,Male
15.15864293,10.01041943,199,Quarter,2017 Q1,K04000001,,,Disability/illness ONS,,Incidence rate,,Common assault with injury,,25-34,,Male
23.11849554,15.17179855,133,Quarter,2017 Q1,K04000001,,,Limiting disability/illness,,Incidence rate,,Common assault with injury,,25-34,,Male
6.138798062,2.01714023,2064,Quarter,2017 Q1,K04000001,,,No disability/illness,,Incidence rate,,Common assault with injury,,25-34,,Male
0.0,0.0,66,Quarter,2017 Q1,K04000001,,,Non-limiting disability/illness,,Incidence rate,,Common assault with injury,,25-34,,Male
7.2879485,4.572157767,358,Quarter,2017 Q1,K04000001,,,Disability/illness ONS,,Incidence rate,,Common assault with injury,,35-44,,Male
6.256893377000001,5.046607103,260,Quarter,2017 Q1,K04000001,,,Limiting disability/illness,,Incidence rate,,Common assault with injury,,35-44,,Male
4.012577875,1.893888199,2320,Quarter,2017 Q1,K04000001,,,No disability/illness,,Incidence rate,,Common assault with injury,,35-44,,Male
9.875860419,9.85005077,98,Quarter,2017 Q1,K04000001,,,Non-limiting disability/illness,,Incidence rate,,Common assault with injury,,35-44,,Male
4.952697408,3.488852227,578,Quarter,2017 Q1,K04000001,,,Disability/illness ONS,,Incidence rate,,Common assault with injury,,45-54,,Male
6.729344844,4.730816861,433,Quarter,2017 Q1,K04000001,,,Limiting disability/illness,,Incidence rate,,Common assault with injury,,45-54,,Male
8.884482831,3.123110814,2348,Quarter,2017 Q1,K04000001,,,No disability/illness,,Incidence rate,,Common assault with injury,,45-54,,Male
0.0,0.0,144,Quarter,2017 Q1,K04000001,,,Non-limiting disability/illness,,Incidence rate,,Common assault with injury,,45-54,,Male
3.0312468710000005,2.24321581,749,Quarter,2017 Q1,K04000001,,,Disability/illness ONS,,Incidence rate,,Common assault with injury,,55-64,,Male
4.014373217,2.96857614,581,Quarter,2017 Q1,K04000001,,,Limiting disability/illness,,Incidence rate,,Common assault with injury,,55-64,,Male
1.314833473,0.967107952,1959,Quarter,2017 Q1,K04000001,,,No disability/illness,,Incidence rate,,Common assault with injury,,55-64,,Male
0.0,0.0,166,Quarter,2017 Q1,K04000001,,,Non-limiting disability/illness,,Incidence rate,,Common assault with injury,,55-64,,Male
3.019558242,1.946731593,909,Quarter,2017 Q1,K04000001,,,Disability/illness ONS,,Incidence rate,,Common assault with injury,,65-74,,Male
3.986790319,2.568110697,697,Quarter,2017 Q1,K04000001,,,Limiting disability/illness,,Incidence rate,,Common assault with injury,,65-74,,Male
1.191926037,0.737793247,1791,Quarter,2017 Q1,K04000001,,,No disability/illness,,Incidence rate,,Common assault with injury,,65-74,,Male
0.0,0.0,212,Quarter,2017 Q1,K04000001,,,Non-limiting disability/illness,,Incidence rate,,Common assault with injury,,65-74,,Male
0.0,0.0,871,Quarter,2017 Q1,K04000001,,,Disability/illness ONS,,Incidence rate,,Common assault with injury,,75+,,Male
0.0,0.0,680,Quarter,2017 Q1,K04000001,,,Limiting disability/illness,,Incidence rate,,Common assault with injury,,75+,,Male
0.0,0.0,1023,Quarter,2017 Q1,K04000001,,,No disability/illness,,Incidence rate,,Common assault with injury,,75+,,Male
0.0,0.0,191,Quarter,2017 Q1,K04000001,,,Non-limiting disability/illness,,Incidence rate,,Common assault with injury,,75+,,Male
95.57810184,30.24677966,317,Quarter,2017 Q1,K04000001,,,Disability/illness ONS,,Incidence rate,,Common assault,,16-24,,All adults
112.6037937,37.94412831,231,Quarter,2017 Q1,K04000001,,,Limiting disability/illness,,Incidence rate,,Common assault,,16-24,,All adults
36.09240698,6.0679567689999985,2267,Quarter,2017 Q1,K04000001,,,No disability/illness,,Incidence rate,,Common assault,,16-24,,All adults
57.56654952,49.18761407,86,Quarter,2017 Q1,K04000001,,,Non-limiting disability/illness,,Incidence rate,,Common assault,,16-24,,All adults
26.11453332,3.440603312,8552,Quarter,2017 Q1,K04000001,,,Disability/illness ONS,,Incidence rate,,Common assault,,16+,,All adults
